,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time
Exp#263,0,5,10,20,0,5,5,0,15,5,5,-1.2,90
Exp#264,0,10,15,0,15,0,5,5,10,5,5,-1.4,120
Exp#265,0,0,0,0,0,15,5,5,5,10,30,-1.1,120
Exp#266,0,5,0,0,5,10,0,10,15,25,0,-1.2,90
Exp#267,5,5,5,20,0,0,0,15,10,5,5,-1.5,60
Exp#268,0,0,0,0,5,15,10,5,10,10,15,-1.4,120
Exp#269,10,15,0,10,0,0,10,5,0,20,0,-1.3,120
Exp#270,0,10,0,5,10,5,15,0,25,0,0,-1.3,120
Exp#271,10,0,0,10,5,15,0,0,15,10,5,-1.5,60
Exp#272,0,20,20,0,0,10,0,0,5,15,0,-1.5,60
Exp#273,5,0,10,5,10,0,5,10,10,0,15,-1.5,120
Exp#274,5,5,5,0,5,0,15,15,0,5,15,-1.1,150
Exp#275,0,5,0,0,15,10,10,20,0,0,10,-1.3,90
Exp#276,25,0,0,0,10,0,0,15,10,10,0,-1.3,60
Exp#277,15,0,0,0,0,5,0,5,20,0,25,-1.3,150
Exp#278,10,0,0,15,5,10,5,10,10,5,0,-1.5,120
Exp#279,5,0,0,5,25,0,10,5,5,10,5,-1.2,120
Exp#280,0,0,5,0,10,0,5,25,5,10,10,-1.4,60
Exp#281,5,0,5,10,0,25,0,0,15,5,5,-1.4,120
Exp#282,0,10,5,5,10,10,0,30,0,0,0,-1.1,120
Exp#283,0,5,20,0,0,15,10,15,0,5,0,-1.4,90
Exp#284,5,0,5,0,10,5,10,5,15,0,15,-1.3,90
Exp#285,5,0,0,0,15,0,10,0,5,15,20,-1.1,60
Exp#286,0,10,5,5,0,15,0,5,15,0,15,-1.4,150
Exp#287,0,5,20,10,10,0,0,5,5,10,5,-1.2,60
Exp#288,5,0,10,0,0,0,10,15,25,0,5,-1.3,90
Exp#289,0,5,0,25,5,0,0,0,10,15,10,-1.2,120
Exp#290,5,5,0,5,10,0,0,0,20,5,20,-1.3,150
Exp#291,10,5,0,10,0,0,0,25,10,5,5,-1.2,60
Exp#292,0,0,0,10,5,5,10,10,10,20,0,-1.1,150
Exp#293,15,5,0,0,0,0,5,10,5,30,0,-1.2,120
Exp#294,10,0,10,15,0,0,10,0,0,25,0,-1.3,120
Exp#295,10,0,0,5,5,0,5,15,15,5,10,-1.1,120
Exp#296,10,0,5,5,5,0,10,10,0,15,10,-1.2,60
Exp#297,0,0,0,5,20,0,5,0,40,0,0,-1.2,120
Exp#298,5,0,10,5,0,0,0,0,25,0,25,-1.1,60
Exp#299,5,0,5,0,5,10,5,15,5,0,20,-1.5,90
Exp#300,0,5,0,10,10,0,20,5,10,10,0,-1.5,90
Exp#301,5,25,0,0,0,0,0,15,5,15,5,-1.2,150
