May 6, 2025   08:50:19
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp1108_r5/2025-04-30-exp1257\exp1257deposition-2025-05-06t08_45_43-deposition\exp1257deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 106
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 14.6

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 8.040e-3
2.000e-1, 8.082e-3
3.000e-1, 8.127e-3
4.000e-1, 8.159e-3
5.000e-1, 8.180e-3
6.000e-1, 8.206e-3
7.000e-1, 8.231e-3
8.000e-1, 8.246e-3
9.000e-1, 8.250e-3
1.000e+0, 8.255e-3
1.100e+0, 8.267e-3
1.200e+0, 8.290e-3
1.300e+0, 8.304e-3
1.400e+0, 8.307e-3
1.500e+0, 8.313e-3
1.600e+0, 8.318e-3
1.700e+0, 8.334e-3
1.800e+0, 8.351e-3
1.900e+0, 8.360e-3
2.000e+0, 8.368e-3
2.100e+0, 8.377e-3
2.200e+0, 8.388e-3
2.300e+0, 8.390e-3
2.400e+0, 8.398e-3
2.500e+0, 8.409e-3
2.600e+0, 8.422e-3
2.700e+0, 8.425e-3
2.800e+0, 8.429e-3
2.900e+0, 8.443e-3
3.000e+0, 8.471e-3
3.100e+0, 8.495e-3
3.200e+0, 8.514e-3
3.300e+0, 8.528e-3
3.400e+0, 8.544e-3
3.500e+0, 8.573e-3
3.600e+0, 8.611e-3
3.700e+0, 8.660e-3
3.800e+0, 8.708e-3
3.900e+0, 8.761e-3
4.000e+0, 8.808e-3
4.100e+0, 8.847e-3
4.200e+0, 8.891e-3
4.300e+0, 8.923e-3
4.400e+0, 8.954e-3
4.500e+0, 8.987e-3
4.600e+0, 9.028e-3
4.700e+0, 9.070e-3
4.800e+0, 9.083e-3
4.900e+0, 9.110e-3
5.000e+0, 9.136e-3
5.100e+0, 9.171e-3
5.200e+0, 9.210e-3
5.300e+0, 9.249e-3
5.400e+0, 9.277e-3
5.500e+0, 9.307e-3
5.600e+0, 9.344e-3
5.700e+0, 9.376e-3
5.800e+0, 9.409e-3
5.900e+0, 9.436e-3
6.000e+0, 9.472e-3
6.100e+0, 9.499e-3
6.200e+0, 9.531e-3
6.300e+0, 9.555e-3
6.400e+0, 9.590e-3
6.500e+0, 9.616e-3
6.600e+0, 9.645e-3
6.700e+0, 9.673e-3
6.800e+0, 9.688e-3
6.900e+0, 9.718e-3
7.000e+0, 9.741e-3
7.100e+0, 9.776e-3
7.200e+0, 9.803e-3
7.300e+0, 9.824e-3
7.400e+0, 9.856e-3
7.500e+0, 9.899e-3
7.600e+0, 9.943e-3
7.700e+0, 9.970e-3
7.800e+0, 9.994e-3
7.900e+0, 1.001e-2
8.000e+0, 1.004e-2
8.100e+0, 1.006e-2
8.200e+0, 1.009e-2
8.300e+0, 1.010e-2
8.400e+0, 1.011e-2
8.500e+0, 1.011e-2
8.600e+0, 1.011e-2
8.700e+0, 1.011e-2
8.800e+0, 1.011e-2
8.900e+0, 1.011e-2
9.000e+0, 1.011e-2
9.100e+0, 1.011e-2
9.200e+0, 1.011e-2
9.300e+0, 1.011e-2
9.400e+0, 1.011e-2
9.500e+0, 1.011e-2
9.600e+0, 1.011e-2
9.700e+0, 1.011e-2
9.800e+0, 1.011e-2
9.900e+0, 1.011e-2
1.000e+1, 1.011e-2
1.010e+1, 1.011e-2
1.020e+1, 1.011e-2
1.030e+1, 1.011e-2
1.040e+1, 1.011e-2
1.050e+1, 1.011e-2
1.060e+1, 1.011e-2
1.070e+1, 1.011e-2
1.080e+1, 1.011e-2
1.090e+1, 1.011e-2
1.100e+1, 1.011e-2
1.110e+1, 1.011e-2
1.120e+1, 1.011e-2
1.130e+1, 1.011e-2
1.140e+1, 1.011e-2
1.150e+1, 1.011e-2
1.160e+1, 1.011e-2
1.170e+1, 1.011e-2
1.180e+1, 1.011e-2
1.190e+1, 1.011e-2
1.200e+1, 1.011e-2
1.210e+1, 1.011e-2
1.220e+1, 1.011e-2
1.230e+1, 1.011e-2
1.240e+1, 1.011e-2
