Potential V vs RHE, Current mA cm-2
0.013299999999999867,-0.14826174422585583
0.012299999999999978,-0.33373039563816215
0.011299999999999866,-0.3942800392723857
0.010299999999999976,-0.4248378033494705
0.009299999999999864,-0.4627520661858534
0.008299999999999974,-0.5037786938819395
0.007299999999999862,-0.5419758989782956
0.006299999999999972,-0.5633380396062576
0.00529999999999986,-0.5715433651454748
0.0042999999999999705,-0.5924810923834773
0.0032999999999998586,-0.6279903460100897
0.0022999999999999687,-0.6595384079970801
0.0012999999999998568,-0.674958761165609
0.00029999999999996696,-0.6801931929751097
-0.000700000000000145,-0.6991503243933012
-0.0017000000000000348,-0.7332448667200485
-0.0027000000000001467,-0.7616805638473357
-0.0037000000000000366,-0.7783741571857431
-0.0047000000000001485,-0.7857306559450413
-0.005700000000000038,-0.8032730760633678
-0.00670000000000015,-0.8370846761301421
-0.00770000000000004,-0.869905978287011
-0.008700000000000152,-0.887306927275351
-0.009700000000000042,-0.8990490310642308
-0.010700000000000154,-0.9194208737822873
-0.011700000000000044,-0.9540813006289808
-0.012700000000000156,-0.9911467366854447
-0.013700000000000045,-1.007274445503906
-0.014700000000000157,-1.0236850965823405
-0.015700000000000047,-1.0463204773801813
-0.01670000000000016,-1.0832444423066585
-0.01770000000000005,-1.1273834348624476
-0.01870000000000016,-1.1471893930605581
-0.01970000000000005,-1.1627512173590735
-0.020700000000000163,-1.1930260391761855
-0.021700000000000053,-1.2329208978323796
-0.022700000000000164,-1.2801722552478716
-0.023700000000000054,-1.3063444142953748
-0.024700000000000166,-1.328555381703256
-0.025700000000000056,-1.3598205014302733
-0.026700000000000168,-1.4038180228560757
-0.027700000000000058,-1.4529085049613928
-0.02870000000000017,-1.4882762874580184
-0.02970000000000006,-1.510911668255859
-0.03070000000000017,-1.54769416205235
-0.03170000000000006,-1.5972090575476263
-0.03270000000000017,-1.6495533756426328
-0.03370000000000006,-1.690580003338719
-0.034700000000000175,-1.7132153841365596
-0.035700000000000065,-1.7570714344323757
-0.03670000000000018,-1.8122451751271118
-0.03770000000000007,-1.8702483384215782
-0.03870000000000018,-1.9155191000172598
-0.03970000000000007,-1.9466427486142908
-0.04070000000000018,-1.9890840876102414
-0.04170000000000007,-2.052746096104168
-0.04270000000000018,-2.113578681998365
-0.04370000000000007,-2.161678866193776
-0.044700000000000184,-2.201290782589997
-0.045700000000000074,-2.2437321215859485
-0.046700000000000186,-2.3130529752793345
-0.047700000000000076,-2.3767149837732613
-0.04870000000000019,-2.4290593018682682
-0.04970000000000008,-2.4700859295643536
-0.05070000000000019,-2.5196008250596305
-0.05170000000000008,-2.586092256153287
-0.05270000000000019,-2.659657243746269
-0.05370000000000008,-2.709172139241545
-0.05470000000000019,-2.754442900837226
-0.05570000000000008,-2.8053725076323675
-0.056700000000000195,-2.8761080726256196
-0.057700000000000085,-2.9539171941181968
-0.058700000000000196,-3.004846800913338
-0.059700000000000086,-3.050117562509019
-0.0607000000000002,-3.1038765919038904
-0.06170000000000009,-3.178856290796737
-0.0627000000000002,-3.253835989689584
-0.06370000000000009,-3.3061803077845906
-0.0647000000000002,-3.3500363580804073
-0.06570000000000009,-3.405210098775143
-0.0667000000000002,-3.473116241168665
-0.0677000000000001,-3.546681228761647
-0.0687000000000002,-3.6046843920561136
-0.0697000000000001,-3.644296308452334
-0.07070000000000021,-3.698055337847206
-0.0717000000000001,-3.764546768940863
-0.07270000000000021,-3.8366970452339793
-0.0737000000000001,-3.8975296311281755
-0.07470000000000021,-3.932897413624801
-0.0757000000000001,-3.979582886520348
-0.07670000000000021,-4.04183018371441
-0.0777000000000001,-4.108321614808066
-0.07870000000000021,-4.157836510303343
-0.0797000000000001,-4.190374870200238
-0.08070000000000022,-4.23564563179592
-0.0817000000000001,-4.297892928989982
-0.08270000000000022,-4.354481380984582
-0.08370000000000011,-4.402581565179994
-0.08470000000000022,-4.430875791177296
-0.08570000000000011,-4.463414151074191
-0.08670000000000022,-4.515758469169198
-0.08770000000000011,-4.569517498564068
-0.08870000000000022,-4.610544126260154
-0.08970000000000011,-4.633179507057995
-0.09070000000000022,-4.652985465256107
-0.09170000000000011,-4.698256226851787
-0.09270000000000023,-4.7463564110471985
-0.09370000000000012,-4.774650637044499
-0.09470000000000023,-4.788797750043149
-0.09570000000000012,-4.800115440442069
