Potential V vs RHE, Current mA cm-2
0.013299999999999867,-0.037801085932393785
0.012299999999999978,-0.04729379875448818
0.011299999999999866,-0.04841142068138156
0.010299999999999976,-0.04938757147828843
0.009299999999999864,-0.055668889649689184
0.008299999999999974,-0.05705530672355694
0.007299999999999862,-0.05900760831737068
0.006299999999999972,-0.06152579443113045
0.00529999999999986,-0.055668889649689184
0.0042999999999999705,-0.06138432330114395
0.0032999999999998586,-0.06473718908182408
0.0022999999999999687,-0.06110138104117093
0.0012999999999998568,-0.0637610382849172
0.00029999999999996696,-0.0636195671549307
-0.000700000000000145,-0.0675241703425582
-0.0017000000000000348,-0.06417130456187807
-0.0027000000000001467,-0.06683096180562433
-0.0037000000000000366,-0.06780711260253121
-0.0047000000000001485,-0.06654801954565133
-0.005700000000000038,-0.07101850725322485
-0.00670000000000015,-0.0679485837325177
-0.00770000000000004,-0.0690662056594111
-0.008700000000000152,-0.06835885000947857
-0.009700000000000042,-0.07087703612323834
-0.010700000000000154,-0.07213612918011822
-0.011700000000000044,-0.0717117157901587
-0.012700000000000156,-0.07548899496079836
-0.013700000000000045,-0.07756862057159995
-0.014700000000000157,-0.0732537511070116
-0.015700000000000047,-0.07534752383081185
-0.01670000000000016,-0.07492311044085233
-0.01770000000000005,-0.07771009170158645
-0.01870000000000016,-0.07492311044085233
-0.01970000000000005,-0.07394695964394547
-0.020700000000000163,-0.0765924697746931
-0.021700000000000053,-0.07437137303390498
-0.022700000000000164,-0.07855891848150548
-0.023700000000000054,-0.07966239329540022
-0.024700000000000166,-0.07911065588845285
-0.025700000000000056,-0.08106295748226659
-0.026700000000000168,-0.08203910827917348
-0.027700000000000058,-0.07980386442538671
-0.02870000000000017,-0.07953506927841236
-0.02970000000000006,-0.08036974894533275
-0.03070000000000017,-0.08427435213296022
-0.03170000000000006,-0.0812044286122531
-0.03270000000000017,-0.08358114359602638
-0.03370000000000006,-0.0849675606698941
-0.034700000000000175,-0.08246352166913298
-0.035700000000000065,-0.08246352166913298
-0.03670000000000018,-0.08539197405985362
