Apr. 7, 2025   15:03:38
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp994_r5/2025-03-28-exp1010\exp1010deposition-2025-04-07t15_00_20-deposition\exp1010deposition_it_edep_-100mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.4

Results:

Channel 1:

Time/sec, Current/A

1.960e+1, 2.660e-4
1.970e+1, 2.607e-4
1.980e+1, 2.592e-4
1.990e+1, 2.588e-4
2.000e+1, 2.647e-4
2.010e+1, 2.799e-4
2.020e+1, 2.865e-4
2.030e+1, 2.844e-4
2.040e+1, 2.845e-4
2.050e+1, 2.797e-4
2.060e+1, 2.764e-4
2.070e+1, 3.017e-4
2.080e+1, 3.001e-4
2.090e+1, 2.910e-4
2.100e+1, 2.834e-4
2.110e+1, 2.775e-4
2.120e+1, 2.946e-4
2.130e+1, 3.009e-4
2.140e+1, 2.944e-4
2.150e+1, 2.849e-4
2.160e+1, 2.771e-4
2.170e+1, 2.700e-4
2.180e+1, 2.659e-4
2.190e+1, 2.769e-4
2.200e+1, 2.942e-4
2.210e+1, 2.955e-4
2.220e+1, 2.883e-4
2.230e+1, 2.826e-4
2.240e+1, 2.766e-4
2.250e+1, 2.717e-4
2.260e+1, 2.686e-4
2.270e+1, 2.719e-4
2.280e+1, 3.056e-4
2.290e+1, 3.077e-4
2.300e+1, 3.101e-4
2.310e+1, 3.320e-4
2.320e+1, 3.283e-4
2.330e+1, 3.174e-4
2.340e+1, 3.072e-4
2.350e+1, 3.001e-4
2.360e+1, 2.865e-4
2.370e+1, 2.755e-4
2.380e+1, 2.708e-4
2.390e+1, 2.722e-4
2.400e+1, 2.839e-4
2.410e+1, 2.812e-4
2.420e+1, 2.718e-4
2.430e+1, 2.656e-4
2.440e+1, 2.696e-4
2.450e+1, 2.661e-4
2.460e+1, 2.603e-4
2.470e+1, 2.593e-4
2.480e+1, 2.597e-4
2.490e+1, 2.571e-4
2.500e+1, 2.556e-4
2.510e+1, 2.642e-4
2.520e+1, 2.669e-4
2.530e+1, 2.680e-4
2.540e+1, 2.697e-4
2.550e+1, 2.719e-4
2.560e+1, 2.731e-4
2.570e+1, 2.727e-4
2.580e+1, 2.777e-4
2.590e+1, 2.779e-4
2.600e+1, 2.826e-4
2.610e+1, 2.942e-4
2.620e+1, 2.925e-4
2.630e+1, 2.898e-4
2.640e+1, 2.964e-4
2.650e+1, 2.935e-4
2.660e+1, 2.837e-4
2.670e+1, 2.803e-4
2.680e+1, 2.767e-4
2.690e+1, 2.738e-4
2.700e+1, 2.783e-4
2.710e+1, 2.895e-4
2.720e+1, 2.890e-4
2.730e+1, 2.851e-4
2.740e+1, 3.161e-4
2.750e+1, 3.160e-4
2.760e+1, 3.171e-4
2.770e+1, 3.204e-4
2.780e+1, 3.224e-4
2.790e+1, 3.179e-4
2.800e+1, 3.105e-4
2.810e+1, 3.082e-4
2.820e+1, 2.990e-4
2.830e+1, 2.877e-4
2.840e+1, 2.793e-4
2.850e+1, 2.724e-4
2.860e+1, 2.712e-4
2.870e+1, 2.811e-4
2.880e+1, 2.788e-4
2.890e+1, 2.981e-4
2.900e+1, 3.059e-4
2.910e+1, 3.211e-4
2.920e+1, 3.124e-4
2.930e+1, 3.094e-4
2.940e+1, 3.098e-4
2.950e+1, 3.055e-4
2.960e+1, 2.969e-4
2.970e+1, 3.082e-4
2.980e+1, 3.554e-4
2.990e+1, 3.648e-4
3.000e+1, 3.766e-4
