Oct. 19, 2024   23:00:18
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround2/2024-10-18-exp579\exp579deposition-2024-10-19t22_56_30-deposition\exp579deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 9.1

Results:

Channel 1:

Time/sec, Current/A

1.970e+1, 3.679e-3
1.980e+1, 3.689e-3
1.990e+1, 3.756e-3
2.000e+1, 3.841e-3
2.010e+1, 3.915e-3
2.020e+1, 3.945e-3
2.030e+1, 3.939e-3
2.040e+1, 3.910e-3
2.050e+1, 3.878e-3
2.060e+1, 3.860e-3
2.070e+1, 3.856e-3
2.080e+1, 3.852e-3
2.090e+1, 3.839e-3
2.100e+1, 3.841e-3
2.110e+1, 3.792e-3
2.120e+1, 3.761e-3
2.130e+1, 3.721e-3
2.140e+1, 3.696e-3
2.150e+1, 3.674e-3
2.160e+1, 3.685e-3
2.170e+1, 3.707e-3
2.180e+1, 3.710e-3
2.190e+1, 3.653e-3
2.200e+1, 3.602e-3
2.210e+1, 3.557e-3
2.220e+1, 3.532e-3
2.230e+1, 3.540e-3
2.240e+1, 3.501e-3
2.250e+1, 3.501e-3
2.260e+1, 3.502e-3
2.270e+1, 3.515e-3
2.280e+1, 3.582e-3
2.290e+1, 3.615e-3
2.300e+1, 3.642e-3
2.310e+1, 3.614e-3
2.320e+1, 3.602e-3
2.330e+1, 3.583e-3
2.340e+1, 3.538e-3
2.350e+1, 3.502e-3
2.360e+1, 3.458e-3
2.370e+1, 3.429e-3
2.380e+1, 3.399e-3
2.390e+1, 3.368e-3
2.400e+1, 3.330e-3
2.410e+1, 3.354e-3
2.420e+1, 3.376e-3
2.430e+1, 3.399e-3
2.440e+1, 3.378e-3
2.450e+1, 3.341e-3
2.460e+1, 3.311e-3
2.470e+1, 3.268e-3
2.480e+1, 3.252e-3
2.490e+1, 3.273e-3
2.500e+1, 3.270e-3
2.510e+1, 3.292e-3
2.520e+1, 3.332e-3
2.530e+1, 3.295e-3
2.540e+1, 3.305e-3
