July 14, 2024   19:11:13
Amperometric i-t Curve
File: c:/users/guazh/data/20240709_batch67/2024-07-10-exp45\exp45deposition-2024-07-14t19_06_55-deposition\exp45deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 90
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 18.8

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 2.204e-3
2.000e-1, 2.166e-3
3.000e-1, 2.140e-3
4.000e-1, 2.108e-3
5.000e-1, 2.073e-3
6.000e-1, 2.031e-3
7.000e-1, 1.977e-3
8.000e-1, 1.937e-3
9.000e-1, 1.909e-3
1.000e+0, 1.883e-3
1.100e+0, 1.863e-3
1.200e+0, 1.856e-3
1.300e+0, 1.848e-3
1.400e+0, 1.853e-3
1.500e+0, 1.868e-3
1.600e+0, 1.887e-3
1.700e+0, 1.874e-3
1.800e+0, 1.848e-3
1.900e+0, 1.799e-3
2.000e+0, 1.766e-3
2.100e+0, 1.745e-3
2.200e+0, 1.721e-3
2.300e+0, 1.699e-3
2.400e+0, 1.667e-3
2.500e+0, 1.651e-3
2.600e+0, 1.666e-3
2.700e+0, 1.706e-3
2.800e+0, 1.724e-3
2.900e+0, 1.717e-3
3.000e+0, 1.712e-3
3.100e+0, 1.708e-3
3.200e+0, 1.716e-3
3.300e+0, 1.692e-3
3.400e+0, 1.685e-3
3.500e+0, 1.678e-3
3.600e+0, 1.681e-3
3.700e+0, 1.677e-3
3.800e+0, 1.671e-3
3.900e+0, 1.677e-3
4.000e+0, 1.683e-3
4.100e+0, 1.652e-3
4.200e+0, 1.624e-3
4.300e+0, 1.592e-3
4.400e+0, 1.559e-3
4.500e+0, 1.528e-3
4.600e+0, 1.507e-3
4.700e+0, 1.490e-3
4.800e+0, 1.478e-3
4.900e+0, 1.472e-3
5.000e+0, 1.468e-3
5.100e+0, 1.453e-3
5.200e+0, 1.438e-3
5.300e+0, 1.428e-3
5.400e+0, 1.431e-3
5.500e+0, 1.434e-3
5.600e+0, 1.457e-3
5.700e+0, 1.482e-3
5.800e+0, 1.520e-3
5.900e+0, 1.529e-3
6.000e+0, 1.529e-3
6.100e+0, 1.525e-3
6.200e+0, 1.534e-3
6.300e+0, 1.556e-3
6.400e+0, 1.583e-3
6.500e+0, 1.568e-3
6.600e+0, 1.559e-3
6.700e+0, 1.553e-3
6.800e+0, 1.565e-3
6.900e+0, 1.565e-3
7.000e+0, 1.536e-3
7.100e+0, 1.530e-3
7.200e+0, 1.547e-3
7.300e+0, 1.543e-3
7.400e+0, 1.540e-3
7.500e+0, 1.545e-3
7.600e+0, 1.563e-3
7.700e+0, 1.603e-3
7.800e+0, 1.668e-3
7.900e+0, 1.737e-3
8.000e+0, 1.757e-3
8.100e+0, 1.744e-3
8.200e+0, 1.709e-3
8.300e+0, 1.694e-3
8.400e+0, 1.681e-3
8.500e+0, 1.661e-3
8.600e+0, 1.631e-3
8.700e+0, 1.609e-3
8.800e+0, 1.605e-3
8.900e+0, 1.608e-3
9.000e+0, 1.604e-3
9.100e+0, 1.621e-3
9.200e+0, 1.630e-3
9.300e+0, 1.622e-3
9.400e+0, 1.613e-3
9.500e+0, 1.618e-3
9.600e+0, 1.624e-3
9.700e+0, 1.633e-3
9.800e+0, 1.642e-3
9.900e+0, 1.650e-3
1.000e+1, 1.697e-3
1.010e+1, 1.697e-3
1.020e+1, 1.709e-3
1.030e+1, 1.720e-3
1.040e+1, 1.737e-3
1.050e+1, 1.728e-3
1.060e+1, 1.749e-3
1.070e+1, 1.783e-3
1.080e+1, 1.814e-3
1.090e+1, 1.836e-3
1.100e+1, 1.860e-3
1.110e+1, 1.871e-3
1.120e+1, 1.894e-3
1.130e+1, 1.902e-3
1.140e+1, 1.909e-3
1.150e+1, 1.908e-3
1.160e+1, 1.878e-3
1.170e+1, 1.880e-3
1.180e+1, 1.893e-3
1.190e+1, 1.910e-3
1.200e+1, 1.905e-3
1.210e+1, 1.885e-3
1.220e+1, 1.892e-3
1.230e+1, 1.902e-3
1.240e+1, 1.910e-3
1.250e+1, 1.914e-3
1.260e+1, 1.914e-3
1.270e+1, 1.908e-3
1.280e+1, 1.898e-3
1.290e+1, 1.887e-3
1.300e+1, 1.878e-3
1.310e+1, 1.871e-3
1.320e+1, 1.866e-3
1.330e+1, 1.857e-3
1.340e+1, 1.856e-3
1.350e+1, 1.880e-3
1.360e+1, 1.884e-3
1.370e+1, 1.884e-3
1.380e+1, 1.888e-3
1.390e+1, 1.907e-3
1.400e+1, 2.371e-3
1.410e+1, 2.422e-3
1.420e+1, 2.381e-3
1.430e+1, 2.331e-3
1.440e+1, 2.322e-3
1.450e+1, 2.327e-3
1.460e+1, 2.354e-3
1.470e+1, 2.369e-3
1.480e+1, 2.380e-3
1.490e+1, 2.380e-3
1.500e+1, 2.381e-3
1.510e+1, 2.357e-3
1.520e+1, 2.332e-3
1.530e+1, 2.343e-3
1.540e+1, 2.336e-3
1.550e+1, 2.310e-3
1.560e+1, 2.315e-3
1.570e+1, 2.291e-3
1.580e+1, 2.266e-3
1.590e+1, 2.251e-3
1.600e+1, 2.231e-3
1.610e+1, 2.218e-3
1.620e+1, 2.201e-3
1.630e+1, 2.182e-3
1.640e+1, 2.172e-3
1.650e+1, 2.193e-3
1.660e+1, 2.262e-3
1.670e+1, 2.290e-3
1.680e+1, 2.307e-3
1.690e+1, 2.360e-3
1.700e+1, 2.367e-3
1.710e+1, 2.371e-3
1.720e+1, 2.356e-3
1.730e+1, 2.335e-3
1.740e+1, 2.310e-3
1.750e+1, 2.280e-3
1.760e+1, 2.238e-3
1.770e+1, 2.206e-3
1.780e+1, 2.162e-3
1.790e+1, 2.100e-3
1.800e+1, 2.052e-3
1.810e+1, 2.014e-3
1.820e+1, 1.980e-3
1.830e+1, 1.946e-3
1.840e+1, 1.920e-3
1.850e+1, 2.258e-3
1.860e+1, 2.360e-3
1.870e+1, 2.340e-3
1.880e+1, 2.315e-3
1.890e+1, 2.295e-3
1.900e+1, 2.295e-3
1.910e+1, 2.296e-3
1.920e+1, 2.295e-3
1.930e+1, 2.295e-3
1.940e+1, 2.282e-3
1.950e+1, 2.265e-3
1.960e+1, 2.259e-3
1.970e+1, 2.241e-3
1.980e+1, 2.202e-3
1.990e+1, 2.181e-3
2.000e+1, 2.183e-3
2.010e+1, 2.181e-3
2.020e+1, 2.153e-3
2.030e+1, 2.129e-3
2.040e+1, 2.074e-3
2.050e+1, 2.043e-3
2.060e+1, 2.012e-3
2.070e+1, 2.003e-3
2.080e+1, 1.990e-3
2.090e+1, 1.968e-3
2.100e+1, 1.951e-3
2.110e+1, 1.947e-3
2.120e+1, 1.945e-3
2.130e+1, 1.924e-3
2.140e+1, 1.923e-3
2.150e+1, 1.918e-3
2.160e+1, 1.919e-3
2.170e+1, 1.927e-3
2.180e+1, 1.922e-3
2.190e+1, 1.922e-3
2.200e+1, 1.918e-3
2.210e+1, 1.918e-3
2.220e+1, 1.924e-3
2.230e+1, 1.949e-3
2.240e+1, 2.020e-3
2.250e+1, 2.073e-3
2.260e+1, 2.105e-3
2.270e+1, 2.123e-3
2.280e+1, 2.124e-3
2.290e+1, 2.112e-3
2.300e+1, 2.087e-3
2.310e+1, 2.056e-3
2.320e+1, 2.037e-3
2.330e+1, 2.018e-3
2.340e+1, 2.007e-3
2.350e+1, 1.989e-3
2.360e+1, 1.978e-3
2.370e+1, 1.960e-3
2.380e+1, 1.945e-3
2.390e+1, 1.938e-3
2.400e+1, 1.922e-3
2.410e+1, 1.895e-3
2.420e+1, 1.888e-3
2.430e+1, 1.883e-3
2.440e+1, 1.869e-3
2.450e+1, 1.849e-3
2.460e+1, 1.837e-3
2.470e+1, 1.832e-3
2.480e+1, 1.832e-3
2.490e+1, 1.825e-3
2.500e+1, 1.819e-3
2.510e+1, 1.817e-3
2.520e+1, 1.803e-3
2.530e+1, 1.794e-3
2.540e+1, 1.783e-3
2.550e+1, 1.788e-3
2.560e+1, 1.850e-3
2.570e+1, 1.947e-3
2.580e+1, 1.996e-3
2.590e+1, 2.033e-3
2.600e+1, 2.062e-3
2.610e+1, 2.059e-3
2.620e+1, 2.053e-3
2.630e+1, 2.063e-3
2.640e+1, 2.053e-3
2.650e+1, 2.034e-3
2.660e+1, 2.003e-3
2.670e+1, 1.958e-3
2.680e+1, 1.932e-3
2.690e+1, 1.911e-3
2.700e+1, 1.903e-3
2.710e+1, 1.892e-3
2.720e+1, 1.882e-3
2.730e+1, 1.881e-3
2.740e+1, 1.874e-3
2.750e+1, 1.878e-3
2.760e+1, 1.884e-3
2.770e+1, 1.894e-3
2.780e+1, 1.907e-3
2.790e+1, 1.907e-3
2.800e+1, 1.924e-3
2.810e+1, 1.941e-3
2.820e+1, 1.949e-3
2.830e+1, 1.970e-3
2.840e+1, 1.999e-3
2.850e+1, 2.027e-3
2.860e+1, 2.068e-3
2.870e+1, 2.111e-3
2.880e+1, 2.122e-3
2.890e+1, 2.133e-3
2.900e+1, 2.146e-3
2.910e+1, 2.140e-3
2.920e+1, 2.130e-3
2.930e+1, 2.141e-3
2.940e+1, 2.145e-3
2.950e+1, 2.138e-3
2.960e+1, 2.141e-3
2.970e+1, 2.134e-3
2.980e+1, 2.118e-3
2.990e+1, 2.099e-3
3.000e+1, 2.080e-3
3.010e+1, 2.060e-3
3.020e+1, 2.042e-3
3.030e+1, 2.034e-3
3.040e+1, 2.040e-3
3.050e+1, 2.078e-3
3.060e+1, 2.086e-3
3.070e+1, 2.070e-3
3.080e+1, 2.059e-3
3.090e+1, 2.032e-3
3.100e+1, 2.011e-3
3.110e+1, 1.994e-3
3.120e+1, 2.000e-3
3.130e+1, 2.011e-3
3.140e+1, 2.047e-3
3.150e+1, 2.053e-3
3.160e+1, 2.054e-3
3.170e+1, 2.069e-3
3.180e+1, 2.075e-3
3.190e+1, 2.055e-3
3.200e+1, 2.032e-3
3.210e+1, 2.017e-3
3.220e+1, 2.015e-3
3.230e+1, 2.065e-3
3.240e+1, 2.137e-3
3.250e+1, 2.168e-3
3.260e+1, 2.180e-3
3.270e+1, 2.182e-3
3.280e+1, 2.158e-3
3.290e+1, 2.137e-3
3.300e+1, 2.117e-3
3.310e+1, 2.084e-3
3.320e+1, 2.075e-3
3.330e+1, 2.065e-3
3.340e+1, 2.038e-3
3.350e+1, 2.023e-3
3.360e+1, 2.005e-3
3.370e+1, 1.975e-3
3.380e+1, 1.975e-3
3.390e+1, 1.973e-3
3.400e+1, 1.955e-3
3.410e+1, 1.955e-3
3.420e+1, 1.954e-3
3.430e+1, 1.951e-3
3.440e+1, 1.939e-3
3.450e+1, 1.932e-3
3.460e+1, 1.938e-3
3.470e+1, 1.924e-3
3.480e+1, 1.910e-3
3.490e+1, 1.901e-3
3.500e+1, 1.894e-3
3.510e+1, 1.896e-3
3.520e+1, 1.899e-3
3.530e+1, 1.908e-3
3.540e+1, 1.910e-3
3.550e+1, 1.921e-3
3.560e+1, 1.931e-3
3.570e+1, 1.939e-3
3.580e+1, 1.956e-3
3.590e+1, 1.956e-3
3.600e+1, 1.961e-3
3.610e+1, 1.955e-3
3.620e+1, 1.956e-3
3.630e+1, 1.954e-3
3.640e+1, 1.967e-3
3.650e+1, 1.973e-3
3.660e+1, 1.963e-3
3.670e+1, 1.950e-3
3.680e+1, 1.935e-3
3.690e+1, 1.917e-3
3.700e+1, 1.904e-3
3.710e+1, 1.897e-3
3.720e+1, 1.902e-3
3.730e+1, 1.919e-3
3.740e+1, 1.927e-3
3.750e+1, 1.938e-3
3.760e+1, 1.952e-3
3.770e+1, 1.964e-3
3.780e+1, 1.960e-3
3.790e+1, 1.952e-3
3.800e+1, 1.941e-3
3.810e+1, 1.944e-3
3.820e+1, 1.959e-3
3.830e+1, 1.958e-3
3.840e+1, 1.974e-3
3.850e+1, 1.996e-3
3.860e+1, 1.996e-3
3.870e+1, 1.988e-3
3.880e+1, 1.970e-3
3.890e+1, 1.948e-3
3.900e+1, 1.947e-3
3.910e+1, 1.934e-3
3.920e+1, 1.913e-3
3.930e+1, 1.894e-3
3.940e+1, 1.894e-3
3.950e+1, 1.896e-3
3.960e+1, 1.918e-3
3.970e+1, 1.992e-3
3.980e+1, 2.055e-3
3.990e+1, 2.111e-3
4.000e+1, 2.203e-3
4.010e+1, 2.262e-3
4.020e+1, 2.296e-3
4.030e+1, 2.308e-3
4.040e+1, 2.291e-3
4.050e+1, 2.286e-3
4.060e+1, 2.278e-3
4.070e+1, 2.254e-3
4.080e+1, 2.244e-3
4.090e+1, 2.237e-3
4.100e+1, 2.220e-3
4.110e+1, 2.197e-3
4.120e+1, 2.174e-3
4.130e+1, 2.194e-3
4.140e+1, 2.200e-3
4.150e+1, 2.179e-3
4.160e+1, 2.157e-3
4.170e+1, 2.138e-3
4.180e+1, 2.119e-3
4.190e+1, 2.097e-3
4.200e+1, 2.073e-3
4.210e+1, 2.049e-3
4.220e+1, 2.027e-3
4.230e+1, 2.004e-3
4.240e+1, 2.024e-3
4.250e+1, 2.026e-3
4.260e+1, 2.063e-3
4.270e+1, 2.070e-3
4.280e+1, 2.065e-3
4.290e+1, 2.060e-3
4.300e+1, 2.047e-3
4.310e+1, 2.032e-3
4.320e+1, 2.016e-3
4.330e+1, 1.991e-3
4.340e+1, 1.976e-3
4.350e+1, 1.956e-3
4.360e+1, 1.965e-3
4.370e+1, 1.965e-3
4.380e+1, 1.979e-3
4.390e+1, 1.987e-3
4.400e+1, 1.987e-3
4.410e+1, 1.986e-3
4.420e+1, 1.981e-3
4.430e+1, 1.994e-3
4.440e+1, 2.014e-3
4.450e+1, 2.017e-3
4.460e+1, 2.020e-3
4.470e+1, 2.050e-3
4.480e+1, 2.115e-3
4.490e+1, 2.152e-3
4.500e+1, 2.166e-3
4.510e+1, 2.156e-3
4.520e+1, 2.149e-3
4.530e+1, 2.133e-3
4.540e+1, 2.106e-3
4.550e+1, 2.079e-3
4.560e+1, 2.045e-3
4.570e+1, 2.024e-3
4.580e+1, 1.993e-3
4.590e+1, 1.966e-3
4.600e+1, 1.940e-3
4.610e+1, 1.915e-3
4.620e+1, 1.892e-3
4.630e+1, 1.882e-3
4.640e+1, 1.865e-3
4.650e+1, 1.866e-3
4.660e+1, 1.870e-3
4.670e+1, 1.861e-3
4.680e+1, 1.860e-3
4.690e+1, 1.862e-3
4.700e+1, 1.867e-3
4.710e+1, 1.863e-3
4.720e+1, 1.864e-3
4.730e+1, 1.868e-3
4.740e+1, 1.906e-3
4.750e+1, 1.932e-3
4.760e+1, 1.948e-3
4.770e+1, 1.967e-3
4.780e+1, 1.983e-3
4.790e+1, 1.975e-3
4.800e+1, 1.982e-3
4.810e+1, 1.984e-3
4.820e+1, 1.977e-3
4.830e+1, 1.974e-3
4.840e+1, 1.979e-3
4.850e+1, 1.983e-3
4.860e+1, 1.982e-3
4.870e+1, 1.974e-3
4.880e+1, 1.959e-3
4.890e+1, 1.958e-3
4.900e+1, 1.966e-3
