July 15, 2024   09:44:08
Open Circuit Potential - Time
File: c:/users/guazh/data/20240709_batch67/2024-07-10-exp50\exp50-2024-07-15t09_43_19-arkoh\ocp_2024-07-15t09_43_49.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

2.020e+0, -2.180e-1
2.030e+0, -2.257e-1
2.040e+0, -1.421e-1
2.050e+0, -2.698e-1
2.060e+0, -1.474e-1
2.070e+0, -2.183e-1
2.080e+0, -2.269e-1
2.090e+0, -1.427e-1
2.100e+0, -2.707e-1
2.110e+0, -1.489e-1
2.120e+0, -2.183e-1
2.130e+0, -2.281e-1
2.140e+0, -1.430e-1
2.150e+0, -2.710e-1
2.160e+0, -1.498e-1
2.170e+0, -2.186e-1
2.180e+0, -2.297e-1
2.190e+0, -1.437e-1
2.200e+0, -2.719e-1
2.210e+0, -1.511e-1
2.220e+0, -2.186e-1
2.230e+0, -2.306e-1
2.240e+0, -1.440e-1
2.250e+0, -2.725e-1
2.260e+0, -1.520e-1
2.270e+0, -2.189e-1
2.280e+0, -2.321e-1
2.290e+0, -1.443e-1
2.300e+0, -2.735e-1
2.310e+0, -1.532e-1
2.320e+0, -2.189e-1
2.330e+0, -2.334e-1
2.340e+0, -1.449e-1
2.350e+0, -2.741e-1
2.360e+0, -1.541e-1
2.370e+0, -2.192e-1
2.380e+0, -2.349e-1
2.390e+0, -1.452e-1
2.400e+0, -2.747e-1
2.410e+0, -1.554e-1
2.420e+0, -2.192e-1
2.430e+0, -2.362e-1
2.440e+0, -1.455e-1
2.450e+0, -2.753e-1
2.460e+0, -1.566e-1
2.470e+0, -2.192e-1
2.480e+0, -2.374e-1
2.490e+0, -1.458e-1
2.500e+0, -2.759e-1
2.510e+0, -1.578e-1
2.520e+0, -2.192e-1
2.530e+0, -2.386e-1
2.540e+0, -1.464e-1
2.550e+0, -2.765e-1
2.560e+0, -1.591e-1
2.570e+0, -2.195e-1
2.580e+0, -2.399e-1
2.590e+0, -1.467e-1
2.600e+0, -2.772e-1
2.610e+0, -1.600e-1
2.620e+0, -2.195e-1
2.630e+0, -2.408e-1
2.640e+0, -1.470e-1
2.650e+0, -2.778e-1
2.660e+0, -1.609e-1
2.670e+0, -2.195e-1
2.680e+0, -2.420e-1
2.690e+0, -1.474e-1
2.700e+0, -2.784e-1
2.710e+0, -1.622e-1
2.720e+0, -2.195e-1
2.730e+0, -2.436e-1
2.740e+0, -1.480e-1
2.750e+0, -2.787e-1
2.760e+0, -1.634e-1
2.770e+0, -2.198e-1
2.780e+0, -2.445e-1
2.790e+0, -1.486e-1
2.800e+0, -2.793e-1
2.810e+0, -1.643e-1
2.820e+0, -2.198e-1
2.830e+0, -2.457e-1
2.840e+0, -1.489e-1
2.850e+0, -2.799e-1
2.860e+0, -1.655e-1
2.870e+0, -2.198e-1
2.880e+0, -2.469e-1
2.890e+0, -1.492e-1
2.900e+0, -2.802e-1
2.910e+0, -1.665e-1
2.920e+0, -2.198e-1
2.930e+0, -2.482e-1
2.940e+0, -1.495e-1
2.950e+0, -2.812e-1
2.960e+0, -1.677e-1
2.970e+0, -2.198e-1
2.980e+0, -2.494e-1
2.990e+0, -1.498e-1
3.000e+0, -2.815e-1
3.010e+0, -1.689e-1
3.020e+0, -2.198e-1
3.030e+0, -2.506e-1
3.040e+0, -1.504e-1
3.050e+0, -2.818e-1
3.060e+0, -1.699e-1
3.070e+0, -2.198e-1
3.080e+0, -2.519e-1
3.090e+0, -1.507e-1
3.100e+0, -2.824e-1
3.110e+0, -1.708e-1
3.120e+0, -2.198e-1
3.130e+0, -2.525e-1
3.140e+0, -1.511e-1
3.150e+0, -2.827e-1
3.160e+0, -1.720e-1
3.170e+0, -2.198e-1
3.180e+0, -2.537e-1
3.190e+0, -1.514e-1
3.200e+0, -2.833e-1
3.210e+0, -1.729e-1
3.220e+0, -2.198e-1
3.230e+0, -2.553e-1
3.240e+0, -1.520e-1
3.250e+0, -2.836e-1
3.260e+0, -1.739e-1
3.270e+0, -2.198e-1
3.280e+0, -2.562e-1
3.290e+0, -1.523e-1
3.300e+0, -2.842e-1
3.310e+0, -1.751e-1
3.320e+0, -2.198e-1
3.330e+0, -2.571e-1
3.340e+0, -1.526e-1
3.350e+0, -2.846e-1
3.360e+0, -1.760e-1
3.370e+0, -2.198e-1
3.380e+0, -2.583e-1
3.390e+0, -1.529e-1
3.400e+0, -2.849e-1
3.410e+0, -1.773e-1
3.420e+0, -2.198e-1
3.430e+0, -2.590e-1
3.440e+0, -1.532e-1
3.450e+0, -2.855e-1
3.460e+0, -1.785e-1
3.470e+0, -2.198e-1
3.480e+0, -2.602e-1
3.490e+0, -1.538e-1
3.500e+0, -2.858e-1
3.510e+0, -1.791e-1
3.520e+0, -2.198e-1
3.530e+0, -2.614e-1
3.540e+0, -1.541e-1
3.550e+0, -2.861e-1
3.560e+0, -1.803e-1
3.570e+0, -2.195e-1
3.580e+0, -2.624e-1
3.590e+0, -1.544e-1
3.600e+0, -2.864e-1
3.610e+0, -1.813e-1
3.620e+0, -2.195e-1
3.630e+0, -2.636e-1
3.640e+0, -1.548e-1
3.650e+0, -2.867e-1
3.660e+0, -1.825e-1
3.670e+0, -2.195e-1
3.680e+0, -2.645e-1
3.690e+0, -1.551e-1
3.700e+0, -2.870e-1
3.710e+0, -1.834e-1
3.720e+0, -2.192e-1
3.730e+0, -2.654e-1
3.740e+0, -1.554e-1
3.750e+0, -2.876e-1
3.760e+0, -1.847e-1
3.770e+0, -2.192e-1
3.780e+0, -2.664e-1
3.790e+0, -1.557e-1
3.800e+0, -2.876e-1
3.810e+0, -1.856e-1
3.820e+0, -2.192e-1
3.830e+0, -2.676e-1
3.840e+0, -1.563e-1
3.850e+0, -2.879e-1
3.860e+0, -1.865e-1
3.870e+0, -2.189e-1
3.880e+0, -2.685e-1
3.890e+0, -1.566e-1
3.900e+0, -2.883e-1
3.910e+0, -1.877e-1
3.920e+0, -2.189e-1
3.930e+0, -2.694e-1
3.940e+0, -1.569e-1
3.950e+0, -2.883e-1
3.960e+0, -1.887e-1
3.970e+0, -2.189e-1
3.980e+0, -2.707e-1
3.990e+0, -1.572e-1
4.000e+0, -2.889e-1
4.010e+0, -1.896e-1
4.020e+0, -2.186e-1
4.030e+0, -2.713e-1
4.040e+0, -1.575e-1
4.050e+0, -2.892e-1
4.060e+0, -1.905e-1
4.070e+0, -2.186e-1
4.080e+0, -2.722e-1
4.090e+0, -1.578e-1
4.100e+0, -2.892e-1
4.110e+0, -1.914e-1
4.120e+0, -2.186e-1
4.130e+0, -2.735e-1
4.140e+0, -1.585e-1
4.150e+0, -2.895e-1
4.160e+0, -1.927e-1
4.170e+0, -2.183e-1
4.180e+0, -2.741e-1
4.190e+0, -1.588e-1
4.200e+0, -2.898e-1
4.210e+0, -1.936e-1
4.220e+0, -2.183e-1
4.230e+0, -2.753e-1
4.240e+0, -1.591e-1
4.250e+0, -2.898e-1
4.260e+0, -1.948e-1
4.270e+0, -2.180e-1
4.280e+0, -2.762e-1
4.290e+0, -1.594e-1
4.300e+0, -2.901e-1
4.310e+0, -1.958e-1
4.320e+0, -2.180e-1
4.330e+0, -2.768e-1
4.340e+0, -1.597e-1
4.350e+0, -2.904e-1
4.360e+0, -1.967e-1
4.370e+0, -2.180e-1
4.380e+0, -2.778e-1
4.390e+0, -1.600e-1
4.400e+0, -2.904e-1
4.410e+0, -1.976e-1
4.420e+0, -2.177e-1
4.430e+0, -2.787e-1
4.440e+0, -1.606e-1
4.450e+0, -2.907e-1
4.460e+0, -1.988e-1
4.470e+0, -2.173e-1
4.480e+0, -2.796e-1
4.490e+0, -1.609e-1
4.500e+0, -2.910e-1
4.510e+0, -1.998e-1
4.520e+0, -2.173e-1
4.530e+0, -2.805e-1
4.540e+0, -1.612e-1
4.550e+0, -2.910e-1
4.560e+0, -2.007e-1
4.570e+0, -2.173e-1
4.580e+0, -2.815e-1
4.590e+0, -1.618e-1
4.600e+0, -2.910e-1
4.610e+0, -2.016e-1
4.620e+0, -2.167e-1
4.630e+0, -2.821e-1
4.640e+0, -1.618e-1
4.650e+0, -2.913e-1
4.660e+0, -2.029e-1
4.670e+0, -2.167e-1
4.680e+0, -2.830e-1
4.690e+0, -1.625e-1
4.700e+0, -2.913e-1
4.710e+0, -2.038e-1
4.720e+0, -2.167e-1
4.730e+0, -2.839e-1
4.740e+0, -1.628e-1
4.750e+0, -2.913e-1
4.760e+0, -2.047e-1
4.770e+0, -2.164e-1
4.780e+0, -2.846e-1
4.790e+0, -1.631e-1
4.800e+0, -2.916e-1
4.810e+0, -2.059e-1
4.820e+0, -2.161e-1
4.830e+0, -2.855e-1
4.840e+0, -1.631e-1
4.850e+0, -2.916e-1
4.860e+0, -2.066e-1
4.870e+0, -2.161e-1
4.880e+0, -2.864e-1
4.890e+0, -1.640e-1
4.900e+0, -2.916e-1
4.910e+0, -2.075e-1
4.920e+0, -2.158e-1
4.930e+0, -2.870e-1
4.940e+0, -1.640e-1
4.950e+0, -2.920e-1
4.960e+0, -2.087e-1
4.970e+0, -2.155e-1
4.980e+0, -2.879e-1
4.990e+0, -1.643e-1
5.000e+0, -2.920e-1
