Sept. 13, 2024   04:43:02
Open Circuit Potential - Time
File: c:/users/guazh/data/20240903_batch_252_500/2024-09-03-exp339\1acid_2ac-2024-09-13t04_41_39-lsvinphos\ocp_2024-09-13t04_42_44.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

3.840e+0, -3.205e-2
3.850e+0, -3.205e-2
3.860e+0, -3.205e-2
3.870e+0, -3.205e-2
3.880e+0, -3.205e-2
3.890e+0, -3.205e-2
3.900e+0, -3.205e-2
3.910e+0, -3.205e-2
3.920e+0, -3.205e-2
3.930e+0, -3.205e-2
3.940e+0, -3.205e-2
3.950e+0, -3.205e-2
3.960e+0, -3.205e-2
3.970e+0, -3.205e-2
3.980e+0, -3.205e-2
3.990e+0, -3.205e-2
4.000e+0, -3.205e-2
4.010e+0, -3.205e-2
4.020e+0, -3.205e-2
4.030e+0, -3.205e-2
4.040e+0, -3.205e-2
4.050e+0, -3.205e-2
4.060e+0, -3.205e-2
4.070e+0, -3.205e-2
4.080e+0, -3.205e-2
4.090e+0, -3.205e-2
4.100e+0, -3.205e-2
4.110e+0, -3.205e-2
4.120e+0, -3.205e-2
4.130e+0, -3.205e-2
4.140e+0, -3.205e-2
4.150e+0, -3.205e-2
4.160e+0, -3.205e-2
4.170e+0, -3.205e-2
4.180e+0, -3.205e-2
4.190e+0, -3.205e-2
4.200e+0, -3.205e-2
4.210e+0, -3.205e-2
4.220e+0, -3.205e-2
4.230e+0, -3.205e-2
4.240e+0, -3.205e-2
4.250e+0, -3.205e-2
4.260e+0, -3.205e-2
4.270e+0, -3.205e-2
4.280e+0, -3.205e-2
4.290e+0, -3.205e-2
4.300e+0, -3.205e-2
4.310e+0, -3.205e-2
4.320e+0, -3.205e-2
4.330e+0, -3.205e-2
4.340e+0, -3.205e-2
4.350e+0, -3.205e-2
4.360e+0, -3.205e-2
4.370e+0, -3.205e-2
4.380e+0, -3.205e-2
4.390e+0, -3.205e-2
4.400e+0, -3.205e-2
4.410e+0, -3.205e-2
4.420e+0, -3.205e-2
4.430e+0, -3.205e-2
4.440e+0, -3.205e-2
4.450e+0, -3.205e-2
4.460e+0, -3.205e-2
4.470e+0, -3.205e-2
4.480e+0, -3.205e-2
4.490e+0, -3.205e-2
4.500e+0, -3.205e-2
4.510e+0, -3.205e-2
4.520e+0, -3.205e-2
4.530e+0, -3.205e-2
4.540e+0, -3.205e-2
4.550e+0, -3.205e-2
4.560e+0, -3.205e-2
4.570e+0, -3.205e-2
4.580e+0, -3.205e-2
4.590e+0, -3.205e-2
4.600e+0, -3.205e-2
4.610e+0, -3.205e-2
4.620e+0, -3.205e-2
4.630e+0, -3.205e-2
4.640e+0, -3.205e-2
4.650e+0, -3.205e-2
4.660e+0, -3.205e-2
4.670e+0, -3.205e-2
4.680e+0, -3.205e-2
4.690e+0, -3.205e-2
4.700e+0, -3.205e-2
4.710e+0, -3.205e-2
4.720e+0, -3.205e-2
4.730e+0, -3.205e-2
4.740e+0, -3.205e-2
4.750e+0, -3.205e-2
4.760e+0, -3.205e-2
4.770e+0, -3.205e-2
4.780e+0, -3.205e-2
4.790e+0, -3.205e-2
4.800e+0, -3.205e-2
4.810e+0, -3.205e-2
4.820e+0, -3.205e-2
4.830e+0, -3.205e-2
4.840e+0, -3.205e-2
4.850e+0, -3.205e-2
4.860e+0, -3.205e-2
4.870e+0, -3.205e-2
4.880e+0, -3.205e-2
4.890e+0, -3.205e-2
4.900e+0, -3.205e-2
4.910e+0, -3.205e-2
4.920e+0, -3.205e-2
4.930e+0, -3.205e-2
4.940e+0, -3.205e-2
4.950e+0, -3.205e-2
4.960e+0, -3.205e-2
4.970e+0, -3.205e-2
4.980e+0, -3.205e-2
4.990e+0, -3.205e-2
5.000e+0, -3.205e-2
