Sept. 3, 2024   17:02:04
Amperometric i-t Curve
File: c:/users/guazh/data/20240903_batch_252_500/2024-09-03-exp254\exp254deposition-2024-09-03t16_57_45-deposition\exp254deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 90
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 22.9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 7.450e-4
2.000e-1, 7.545e-4
3.000e-1, 7.592e-4
4.000e-1, 7.608e-4
5.000e-1, 7.555e-4
6.000e-1, 7.499e-4
7.000e-1, 7.453e-4
8.000e-1, 7.415e-4
9.000e-1, 7.348e-4
1.000e+0, 7.302e-4
1.100e+0, 7.196e-4
1.200e+0, 7.020e-4
1.300e+0, 6.925e-4
1.400e+0, 6.663e-4
1.500e+0, 6.469e-4
1.600e+0, 6.251e-4
1.700e+0, 6.039e-4
1.800e+0, 5.801e-4
1.900e+0, 5.700e-4
2.000e+0, 5.544e-4
2.100e+0, 5.421e-4
2.200e+0, 5.497e-4
2.300e+0, 5.841e-4
2.400e+0, 5.947e-4
2.500e+0, 5.870e-4
2.600e+0, 5.755e-4
2.700e+0, 5.474e-4
2.800e+0, 5.430e-4
2.900e+0, 5.258e-4
3.000e+0, 5.183e-4
3.100e+0, 5.106e-4
3.200e+0, 4.994e-4
3.300e+0, 4.929e-4
3.400e+0, 4.897e-4
3.500e+0, 4.825e-4
3.600e+0, 4.700e-4
3.700e+0, 4.546e-4
3.800e+0, 4.471e-4
3.900e+0, 4.729e-4
4.000e+0, 4.754e-4
4.100e+0, 4.597e-4
4.200e+0, 4.449e-4
4.300e+0, 4.356e-4
4.400e+0, 4.308e-4
4.500e+0, 4.210e-4
4.600e+0, 4.165e-4
4.700e+0, 4.172e-4
4.800e+0, 4.213e-4
4.900e+0, 4.297e-4
5.000e+0, 4.331e-4
5.100e+0, 4.360e-4
5.200e+0, 4.196e-4
5.300e+0, 4.045e-4
5.400e+0, 3.905e-4
5.500e+0, 3.798e-4
5.600e+0, 3.683e-4
5.700e+0, 3.603e-4
5.800e+0, 3.514e-4
5.900e+0, 3.505e-4
6.000e+0, 3.950e-4
6.100e+0, 4.384e-4
6.200e+0, 4.264e-4
6.300e+0, 4.073e-4
6.400e+0, 4.108e-4
6.500e+0, 4.086e-4
6.600e+0, 3.946e-4
6.700e+0, 3.854e-4
6.800e+0, 3.971e-4
6.900e+0, 3.996e-4
7.000e+0, 3.940e-4
7.100e+0, 3.819e-4
7.200e+0, 3.716e-4
7.300e+0, 3.632e-4
7.400e+0, 3.586e-4
7.500e+0, 3.564e-4
7.600e+0, 3.571e-4
7.700e+0, 3.564e-4
7.800e+0, 3.504e-4
7.900e+0, 3.477e-4
8.000e+0, 3.454e-4
8.100e+0, 3.534e-4
8.200e+0, 3.680e-4
8.300e+0, 3.712e-4
8.400e+0, 3.715e-4
8.500e+0, 3.623e-4
8.600e+0, 3.675e-4
8.700e+0, 4.160e-4
8.800e+0, 6.309e-4
8.900e+0, 6.925e-4
9.000e+0, 6.485e-4
9.100e+0, 5.966e-4
9.200e+0, 5.507e-4
9.300e+0, 5.160e-4
9.400e+0, 4.902e-4
9.500e+0, 4.675e-4
9.600e+0, 4.471e-4
9.700e+0, 4.343e-4
9.800e+0, 4.164e-4
9.900e+0, 4.052e-4
1.000e+1, 3.954e-4
1.010e+1, 3.865e-4
1.020e+1, 3.799e-4
1.030e+1, 3.780e-4
1.040e+1, 3.760e-4
1.050e+1, 3.728e-4
1.060e+1, 3.718e-4
1.070e+1, 3.722e-4
1.080e+1, 3.689e-4
1.090e+1, 3.707e-4
1.100e+1, 3.716e-4
1.110e+1, 3.707e-4
1.120e+1, 3.688e-4
1.130e+1, 3.821e-4
1.140e+1, 3.790e-4
1.150e+1, 3.788e-4
1.160e+1, 3.788e-4
1.170e+1, 3.726e-4
1.180e+1, 3.677e-4
1.190e+1, 3.641e-4
1.200e+1, 3.623e-4
1.210e+1, 3.588e-4
1.220e+1, 3.549e-4
1.230e+1, 3.569e-4
1.240e+1, 3.540e-4
1.250e+1, 3.534e-4
1.260e+1, 3.520e-4
1.270e+1, 3.531e-4
1.280e+1, 3.552e-4
1.290e+1, 3.557e-4
1.300e+1, 3.551e-4
1.310e+1, 3.653e-4
1.320e+1, 3.696e-4
1.330e+1, 3.779e-4
1.340e+1, 3.764e-4
1.350e+1, 3.754e-4
1.360e+1, 4.086e-4
1.370e+1, 4.026e-4
1.380e+1, 3.799e-4
1.390e+1, 3.688e-4
1.400e+1, 3.640e-4
1.410e+1, 3.613e-4
1.420e+1, 3.636e-4
1.430e+1, 3.680e-4
1.440e+1, 3.711e-4
1.450e+1, 3.718e-4
1.460e+1, 3.720e-4
1.470e+1, 3.786e-4
1.480e+1, 3.805e-4
1.490e+1, 3.839e-4
1.500e+1, 3.834e-4
1.510e+1, 3.810e-4
1.520e+1, 3.729e-4
1.530e+1, 3.680e-4
1.540e+1, 3.650e-4
1.550e+1, 3.620e-4
1.560e+1, 3.588e-4
1.570e+1, 3.570e-4
1.580e+1, 3.559e-4
1.590e+1, 3.509e-4
1.600e+1, 4.059e-4
1.610e+1, 5.549e-4
1.620e+1, 5.373e-4
1.630e+1, 5.184e-4
1.640e+1, 5.002e-4
1.650e+1, 4.778e-4
1.660e+1, 4.580e-4
1.670e+1, 4.424e-4
1.680e+1, 4.295e-4
1.690e+1, 4.187e-4
1.700e+1, 4.066e-4
1.710e+1, 3.972e-4
1.720e+1, 3.934e-4
1.730e+1, 3.861e-4
1.740e+1, 3.818e-4
1.750e+1, 3.793e-4
1.760e+1, 3.785e-4
1.770e+1, 3.779e-4
1.780e+1, 3.744e-4
1.790e+1, 3.710e-4
1.800e+1, 3.687e-4
1.810e+1, 3.639e-4
1.820e+1, 3.592e-4
1.830e+1, 3.560e-4
1.840e+1, 3.538e-4
1.850e+1, 3.506e-4
1.860e+1, 3.465e-4
1.870e+1, 3.454e-4
1.880e+1, 3.439e-4
1.890e+1, 3.422e-4
1.900e+1, 3.406e-4
1.910e+1, 3.373e-4
1.920e+1, 3.361e-4
1.930e+1, 3.358e-4
1.940e+1, 3.315e-4
1.950e+1, 3.375e-4
1.960e+1, 3.338e-4
1.970e+1, 3.286e-4
1.980e+1, 3.254e-4
1.990e+1, 3.228e-4
2.000e+1, 3.203e-4
2.010e+1, 3.214e-4
2.020e+1, 3.207e-4
2.030e+1, 3.205e-4
2.040e+1, 3.195e-4
2.050e+1, 3.183e-4
2.060e+1, 3.151e-4
2.070e+1, 3.135e-4
2.080e+1, 3.127e-4
2.090e+1, 3.123e-4
2.100e+1, 3.112e-4
2.110e+1, 3.102e-4
2.120e+1, 3.094e-4
2.130e+1, 3.119e-4
2.140e+1, 3.092e-4
2.150e+1, 3.094e-4
2.160e+1, 3.085e-4
2.170e+1, 3.019e-4
2.180e+1, 4.003e-4
2.190e+1, 4.594e-4
2.200e+1, 4.862e-4
2.210e+1, 4.782e-4
2.220e+1, 4.671e-4
2.230e+1, 4.557e-4
2.240e+1, 4.496e-4
2.250e+1, 4.329e-4
2.260e+1, 4.181e-4
2.270e+1, 4.045e-4
2.280e+1, 3.936e-4
2.290e+1, 3.845e-4
2.300e+1, 3.754e-4
2.310e+1, 3.682e-4
2.320e+1, 3.631e-4
2.330e+1, 3.580e-4
2.340e+1, 3.525e-4
2.350e+1, 3.506e-4
2.360e+1, 3.464e-4
2.370e+1, 3.952e-4
2.380e+1, 4.905e-4
2.390e+1, 5.154e-4
2.400e+1, 5.055e-4
2.410e+1, 4.890e-4
2.420e+1, 4.705e-4
2.430e+1, 4.544e-4
2.440e+1, 4.420e-4
2.450e+1, 4.291e-4
2.460e+1, 4.162e-4
2.470e+1, 4.059e-4
2.480e+1, 3.955e-4
2.490e+1, 3.862e-4
2.500e+1, 3.795e-4
2.510e+1, 3.723e-4
2.520e+1, 3.664e-4
2.530e+1, 3.607e-4
2.540e+1, 3.556e-4
