May 2, 2025   12:02:48
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp1108_r5/2025-04-30-exp1217\exp1217deposition-2025-05-02t11_59_30-deposition\exp1217deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 13.4

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 6.368e-3
2.000e-1, 6.360e-3
3.000e-1, 6.350e-3
4.000e-1, 6.354e-3
5.000e-1, 6.375e-3
6.000e-1, 6.404e-3
7.000e-1, 6.441e-3
8.000e-1, 6.473e-3
9.000e-1, 6.518e-3
1.000e+0, 6.570e-3
1.100e+0, 6.622e-3
1.200e+0, 6.699e-3
1.300e+0, 6.739e-3
1.400e+0, 6.786e-3
1.500e+0, 6.845e-3
1.600e+0, 6.905e-3
1.700e+0, 6.961e-3
1.800e+0, 7.003e-3
1.900e+0, 7.041e-3
2.000e+0, 7.072e-3
2.100e+0, 7.095e-3
2.200e+0, 7.111e-3
2.300e+0, 7.137e-3
2.400e+0, 7.166e-3
2.500e+0, 7.206e-3
2.600e+0, 7.229e-3
2.700e+0, 7.251e-3
2.800e+0, 7.265e-3
2.900e+0, 7.304e-3
3.000e+0, 7.362e-3
3.100e+0, 7.394e-3
3.200e+0, 7.425e-3
3.300e+0, 7.443e-3
3.400e+0, 7.456e-3
3.500e+0, 7.494e-3
3.600e+0, 7.536e-3
3.700e+0, 7.605e-3
3.800e+0, 7.696e-3
3.900e+0, 7.726e-3
4.000e+0, 7.785e-3
4.100e+0, 7.846e-3
4.200e+0, 7.890e-3
4.300e+0, 7.894e-3
4.400e+0, 7.926e-3
4.500e+0, 7.944e-3
4.600e+0, 7.954e-3
4.700e+0, 7.988e-3
4.800e+0, 8.014e-3
4.900e+0, 8.037e-3
5.000e+0, 8.058e-3
5.100e+0, 8.056e-3
5.200e+0, 8.061e-3
5.300e+0, 8.100e-3
5.400e+0, 8.153e-3
5.500e+0, 8.193e-3
5.600e+0, 8.229e-3
5.700e+0, 8.247e-3
5.800e+0, 8.297e-3
5.900e+0, 8.377e-3
6.000e+0, 8.428e-3
6.100e+0, 8.440e-3
6.200e+0, 8.461e-3
6.300e+0, 8.477e-3
6.400e+0, 8.485e-3
6.500e+0, 8.553e-3
6.600e+0, 8.679e-3
6.700e+0, 8.749e-3
6.800e+0, 8.769e-3
6.900e+0, 8.777e-3
7.000e+0, 8.766e-3
7.100e+0, 8.783e-3
7.200e+0, 8.790e-3
7.300e+0, 8.798e-3
7.400e+0, 8.822e-3
7.500e+0, 8.826e-3
7.600e+0, 8.842e-3
7.700e+0, 8.836e-3
7.800e+0, 8.838e-3
7.900e+0, 8.852e-3
8.000e+0, 8.854e-3
8.100e+0, 8.894e-3
8.200e+0, 8.909e-3
8.300e+0, 8.918e-3
8.400e+0, 8.951e-3
8.500e+0, 8.957e-3
8.600e+0, 8.978e-3
8.700e+0, 8.990e-3
8.800e+0, 9.040e-3
8.900e+0, 9.093e-3
9.000e+0, 9.130e-3
