Jan. 13, 2025   17:00:34
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp835\exp835deposition-2025-01-13t16_57_05-deposition\exp835deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 37
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 12.3

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 4.306e-3
2.000e-1, 4.279e-3
3.000e-1, 4.246e-3
4.000e-1, 4.211e-3
5.000e-1, 4.184e-3
6.000e-1, 4.163e-3
7.000e-1, 4.142e-3
8.000e-1, 4.124e-3
9.000e-1, 4.106e-3
1.000e+0, 4.103e-3
1.100e+0, 4.104e-3
1.200e+0, 4.096e-3
1.300e+0, 4.080e-3
1.400e+0, 4.064e-3
1.500e+0, 4.049e-3
1.600e+0, 4.036e-3
1.700e+0, 4.019e-3
1.800e+0, 3.999e-3
1.900e+0, 3.977e-3
2.000e+0, 3.956e-3
2.100e+0, 3.940e-3
2.200e+0, 3.931e-3
2.300e+0, 3.921e-3
2.400e+0, 3.907e-3
2.500e+0, 3.898e-3
2.600e+0, 3.887e-3
2.700e+0, 3.878e-3
2.800e+0, 3.861e-3
2.900e+0, 3.854e-3
3.000e+0, 3.829e-3
3.100e+0, 3.799e-3
3.200e+0, 3.787e-3
3.300e+0, 3.796e-3
3.400e+0, 3.790e-3
3.500e+0, 3.780e-3
3.600e+0, 3.764e-3
3.700e+0, 3.753e-3
3.800e+0, 3.740e-3
3.900e+0, 3.726e-3
4.000e+0, 3.725e-3
4.100e+0, 3.715e-3
4.200e+0, 3.704e-3
4.300e+0, 3.708e-3
4.400e+0, 3.708e-3
4.500e+0, 3.706e-3
4.600e+0, 3.692e-3
4.700e+0, 3.675e-3
4.800e+0, 3.649e-3
4.900e+0, 3.630e-3
5.000e+0, 3.630e-3
5.100e+0, 3.640e-3
5.200e+0, 3.631e-3
5.300e+0, 3.621e-3
5.400e+0, 3.621e-3
5.500e+0, 3.620e-3
5.600e+0, 3.606e-3
5.700e+0, 3.582e-3
5.800e+0, 3.566e-3
5.900e+0, 3.556e-3
6.000e+0, 3.519e-3
6.100e+0, 3.510e-3
6.200e+0, 3.490e-3
6.300e+0, 3.512e-3
6.400e+0, 3.530e-3
