Aug. 30, 2024   22:00:46
Amperometric i-t Curve
File: c:/users/guazh/data/20240829_batch_215_500/2024-08-29-exp224\exp224deposition-2024-08-30t21_56_54-deposition\exp224deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 12.0

Results:

Channel 1:

Time/sec, Current/A

1.970e+1, 7.300e-4
1.980e+1, 7.173e-4
1.990e+1, 7.028e-4
2.000e+1, 7.240e-4
2.010e+1, 6.987e-4
2.020e+1, 6.745e-4
2.030e+1, 6.601e-4
2.040e+1, 6.519e-4
2.050e+1, 6.453e-4
2.060e+1, 6.379e-4
2.070e+1, 6.282e-4
2.080e+1, 6.209e-4
2.090e+1, 6.157e-4
2.100e+1, 6.179e-4
2.110e+1, 6.479e-4
2.120e+1, 6.374e-4
2.130e+1, 6.297e-4
2.140e+1, 6.256e-4
2.150e+1, 6.164e-4
2.160e+1, 6.548e-4
2.170e+1, 6.488e-4
2.180e+1, 6.261e-4
2.190e+1, 6.477e-4
2.200e+1, 6.597e-4
2.210e+1, 6.649e-4
2.220e+1, 6.466e-4
2.230e+1, 6.270e-4
2.240e+1, 6.064e-4
2.250e+1, 5.926e-4
2.260e+1, 5.785e-4
2.270e+1, 5.754e-4
2.280e+1, 5.710e-4
2.290e+1, 5.709e-4
2.300e+1, 6.601e-4
2.310e+1, 6.710e-4
2.320e+1, 6.727e-4
2.330e+1, 6.630e-4
2.340e+1, 6.533e-4
2.350e+1, 6.439e-4
2.360e+1, 6.352e-4
2.370e+1, 6.378e-4
2.380e+1, 6.402e-4
2.390e+1, 7.037e-4
2.400e+1, 8.275e-4
2.410e+1, 8.075e-4
2.420e+1, 7.840e-4
2.430e+1, 7.630e-4
2.440e+1, 7.423e-4
2.450e+1, 7.186e-4
2.460e+1, 6.991e-4
2.470e+1, 6.855e-4
2.480e+1, 6.725e-4
2.490e+1, 6.640e-4
2.500e+1, 6.554e-4
2.510e+1, 6.485e-4
2.520e+1, 6.509e-4
2.530e+1, 6.636e-4
2.540e+1, 6.702e-4
2.550e+1, 6.481e-4
2.560e+1, 7.767e-4
2.570e+1, 8.302e-4
2.580e+1, 7.917e-4
2.590e+1, 7.563e-4
2.600e+1, 7.276e-4
2.610e+1, 7.049e-4
2.620e+1, 6.898e-4
2.630e+1, 6.823e-4
2.640e+1, 6.732e-4
2.650e+1, 6.673e-4
2.660e+1, 6.685e-4
2.670e+1, 6.749e-4
2.680e+1, 6.714e-4
2.690e+1, 6.639e-4
2.700e+1, 6.565e-4
2.710e+1, 6.500e-4
2.720e+1, 6.384e-4
2.730e+1, 6.331e-4
2.740e+1, 6.321e-4
2.750e+1, 6.328e-4
2.760e+1, 6.274e-4
2.770e+1, 6.328e-4
2.780e+1, 6.197e-4
2.790e+1, 6.408e-4
2.800e+1, 8.026e-4
2.810e+1, 7.903e-4
2.820e+1, 7.782e-4
2.830e+1, 7.614e-4
2.840e+1, 7.415e-4
2.850e+1, 7.199e-4
2.860e+1, 7.003e-4
2.870e+1, 6.885e-4
2.880e+1, 6.767e-4
2.890e+1, 6.693e-4
2.900e+1, 6.572e-4
2.910e+1, 6.575e-4
2.920e+1, 6.592e-4
2.930e+1, 6.538e-4
2.940e+1, 6.456e-4
2.950e+1, 6.358e-4
2.960e+1, 6.322e-4
2.970e+1, 6.337e-4
2.980e+1, 6.309e-4
2.990e+1, 6.224e-4
3.000e+1, 6.224e-4
3.010e+1, 6.329e-4
3.020e+1, 6.337e-4
3.030e+1, 6.329e-4
3.040e+1, 6.350e-4
3.050e+1, 6.385e-4
3.060e+1, 6.414e-4
3.070e+1, 6.336e-4
3.080e+1, 6.362e-4
3.090e+1, 6.535e-4
3.100e+1, 6.626e-4
3.110e+1, 6.508e-4
3.120e+1, 6.415e-4
3.130e+1, 6.363e-4
3.140e+1, 6.333e-4
3.150e+1, 6.734e-4
3.160e+1, 6.872e-4
3.170e+1, 6.772e-4
3.180e+1, 6.711e-4
3.190e+1, 6.543e-4
3.200e+1, 6.396e-4
3.210e+1, 6.498e-4
3.220e+1, 6.484e-4
3.230e+1, 6.414e-4
3.240e+1, 6.505e-4
3.250e+1, 6.563e-4
3.260e+1, 6.597e-4
3.270e+1, 6.660e-4
3.280e+1, 6.622e-4
3.290e+1, 6.463e-4
3.300e+1, 6.401e-4
3.310e+1, 6.302e-4
3.320e+1, 6.239e-4
3.330e+1, 6.228e-4
3.340e+1, 6.182e-4
3.350e+1, 6.191e-4
3.360e+1, 6.134e-4
3.370e+1, 6.230e-4
3.380e+1, 7.070e-4
3.390e+1, 7.513e-4
3.400e+1, 7.729e-4
3.410e+1, 7.705e-4
3.420e+1, 7.538e-4
3.430e+1, 7.261e-4
3.440e+1, 7.044e-4
3.450e+1, 6.927e-4
3.460e+1, 7.082e-4
3.470e+1, 7.374e-4
3.480e+1, 7.274e-4
3.490e+1, 7.192e-4
3.500e+1, 6.953e-4
3.510e+1, 8.203e-4
3.520e+1, 8.428e-4
3.530e+1, 8.182e-4
3.540e+1, 7.888e-4
3.550e+1, 7.621e-4
3.560e+1, 7.425e-4
3.570e+1, 7.222e-4
3.580e+1, 7.037e-4
3.590e+1, 6.884e-4
3.600e+1, 6.769e-4
3.610e+1, 7.026e-4
3.620e+1, 7.333e-4
3.630e+1, 7.175e-4
3.640e+1, 6.959e-4
3.650e+1, 6.781e-4
3.660e+1, 6.676e-4
3.670e+1, 6.545e-4
3.680e+1, 7.115e-4
