July 11, 2024   20:50:58
Amperometric i-t Curve
File: c:/users/guazh/data/20240709_batch67/2024-07-10-exp15\exp15deposition-2024-07-11t20_47_11-deposition\exp15deposition_it_edep_-140mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.4
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.8

Results:

Channel 1:

Time/sec, Current/A

1.970e+1, 4.946e-3
1.980e+1, 4.896e-3
1.990e+1, 4.853e-3
2.000e+1, 4.824e-3
2.010e+1, 4.819e-3
2.020e+1, 4.786e-3
2.030e+1, 4.807e-3
2.040e+1, 4.794e-3
2.050e+1, 4.847e-3
2.060e+1, 4.942e-3
2.070e+1, 5.056e-3
2.080e+1, 5.187e-3
2.090e+1, 5.268e-3
2.100e+1, 5.215e-3
2.110e+1, 5.178e-3
2.120e+1, 5.170e-3
2.130e+1, 5.139e-3
2.140e+1, 5.093e-3
2.150e+1, 5.072e-3
2.160e+1, 5.045e-3
2.170e+1, 5.036e-3
2.180e+1, 5.109e-3
2.190e+1, 5.300e-3
2.200e+1, 5.366e-3
2.210e+1, 5.364e-3
2.220e+1, 5.365e-3
2.230e+1, 5.404e-3
2.240e+1, 5.421e-3
2.250e+1, 5.413e-3
2.260e+1, 5.406e-3
2.270e+1, 5.415e-3
2.280e+1, 5.388e-3
2.290e+1, 5.372e-3
2.300e+1, 5.306e-3
2.310e+1, 5.246e-3
2.320e+1, 5.215e-3
2.330e+1, 5.218e-3
2.340e+1, 5.195e-3
2.350e+1, 5.150e-3
2.360e+1, 5.102e-3
2.370e+1, 5.063e-3
2.380e+1, 5.042e-3
2.390e+1, 5.138e-3
2.400e+1, 5.186e-3
2.410e+1, 5.227e-3
2.420e+1, 5.356e-3
2.430e+1, 5.308e-3
2.440e+1, 5.264e-3
2.450e+1, 5.239e-3
2.460e+1, 5.154e-3
2.470e+1, 5.133e-3
2.480e+1, 5.089e-3
2.490e+1, 5.053e-3
2.500e+1, 5.120e-3
2.510e+1, 5.270e-3
2.520e+1, 5.247e-3
2.530e+1, 5.197e-3
2.540e+1, 5.130e-3
2.550e+1, 5.101e-3
2.560e+1, 5.089e-3
2.570e+1, 5.090e-3
2.580e+1, 5.112e-3
2.590e+1, 5.221e-3
2.600e+1, 5.440e-3
2.610e+1, 5.616e-3
2.620e+1, 5.639e-3
2.630e+1, 5.777e-3
2.640e+1, 5.819e-3
2.650e+1, 5.789e-3
2.660e+1, 5.698e-3
2.670e+1, 5.599e-3
2.680e+1, 5.521e-3
2.690e+1, 5.476e-3
2.700e+1, 5.434e-3
2.710e+1, 5.367e-3
2.720e+1, 5.316e-3
2.730e+1, 5.271e-3
2.740e+1, 5.272e-3
2.750e+1, 5.277e-3
2.760e+1, 5.239e-3
2.770e+1, 5.229e-3
2.780e+1, 5.240e-3
2.790e+1, 5.235e-3
2.800e+1, 5.313e-3
2.810e+1, 5.419e-3
2.820e+1, 5.455e-3
2.830e+1, 5.427e-3
2.840e+1, 5.427e-3
2.850e+1, 5.426e-3
2.860e+1, 5.475e-3
2.870e+1, 5.497e-3
2.880e+1, 5.469e-3
2.890e+1, 5.450e-3
2.900e+1, 5.463e-3
2.910e+1, 5.423e-3
2.920e+1, 5.369e-3
2.930e+1, 5.374e-3
2.940e+1, 5.339e-3
2.950e+1, 5.284e-3
2.960e+1, 5.297e-3
2.970e+1, 5.328e-3
2.980e+1, 5.342e-3
2.990e+1, 5.314e-3
3.000e+1, 5.333e-3
3.010e+1, 5.421e-3
3.020e+1, 5.545e-3
3.030e+1, 5.671e-3
3.040e+1, 5.760e-3
3.050e+1, 5.786e-3
3.060e+1, 5.789e-3
3.070e+1, 5.779e-3
3.080e+1, 5.797e-3
3.090e+1, 5.754e-3
3.100e+1, 5.703e-3
3.110e+1, 5.651e-3
3.120e+1, 5.618e-3
3.130e+1, 5.614e-3
3.140e+1, 5.573e-3
3.150e+1, 5.522e-3
3.160e+1, 5.491e-3
3.170e+1, 5.497e-3
3.180e+1, 5.519e-3
3.190e+1, 5.519e-3
3.200e+1, 5.614e-3
3.210e+1, 5.671e-3
3.220e+1, 5.662e-3
3.230e+1, 5.733e-3
3.240e+1, 5.725e-3
3.250e+1, 5.669e-3
3.260e+1, 5.656e-3
3.270e+1, 5.612e-3
3.280e+1, 5.618e-3
3.290e+1, 5.604e-3
3.300e+1, 5.618e-3
3.310e+1, 5.604e-3
3.320e+1, 5.609e-3
3.330e+1, 5.601e-3
3.340e+1, 5.667e-3
3.350e+1, 5.689e-3
3.360e+1, 5.645e-3
3.370e+1, 5.582e-3
3.380e+1, 5.549e-3
3.390e+1, 5.523e-3
3.400e+1, 5.494e-3
3.410e+1, 5.498e-3
3.420e+1, 5.507e-3
3.430e+1, 5.519e-3
3.440e+1, 5.509e-3
3.450e+1, 5.535e-3
3.460e+1, 5.617e-3
3.470e+1, 5.619e-3
3.480e+1, 5.575e-3
3.490e+1, 5.600e-3
3.500e+1, 5.678e-3
3.510e+1, 5.662e-3
3.520e+1, 5.695e-3
3.530e+1, 5.753e-3
3.540e+1, 5.864e-3
3.550e+1, 5.974e-3
3.560e+1, 6.107e-3
3.570e+1, 6.122e-3
3.580e+1, 6.138e-3
3.590e+1, 6.160e-3
3.600e+1, 6.200e-3
3.610e+1, 6.170e-3
3.620e+1, 6.114e-3
3.630e+1, 6.082e-3
3.640e+1, 6.054e-3
3.650e+1, 6.083e-3
3.660e+1, 6.084e-3
3.670e+1, 6.080e-3
3.680e+1, 6.068e-3
3.690e+1, 6.046e-3
3.700e+1, 5.974e-3
3.710e+1, 5.982e-3
3.720e+1, 6.067e-3
3.730e+1, 6.151e-3
3.740e+1, 6.235e-3
3.750e+1, 6.249e-3
3.760e+1, 6.291e-3
3.770e+1, 6.234e-3
3.780e+1, 6.157e-3
3.790e+1, 6.098e-3
3.800e+1, 6.064e-3
3.810e+1, 6.020e-3
3.820e+1, 5.989e-3
3.830e+1, 5.938e-3
3.840e+1, 5.920e-3
3.850e+1, 5.940e-3
3.860e+1, 5.928e-3
3.870e+1, 5.870e-3
3.880e+1, 5.794e-3
3.890e+1, 5.758e-3
3.900e+1, 5.733e-3
3.910e+1, 5.724e-3
3.920e+1, 5.732e-3
3.930e+1, 5.756e-3
3.940e+1, 5.733e-3
3.950e+1, 5.721e-3
3.960e+1, 5.708e-3
3.970e+1, 5.680e-3
3.980e+1, 5.655e-3
3.990e+1, 5.633e-3
4.000e+1, 5.626e-3
4.010e+1, 5.675e-3
4.020e+1, 5.829e-3
4.030e+1, 6.177e-3
4.040e+1, 6.395e-3
4.050e+1, 6.466e-3
