Dec. 26, 2024   18:31:48
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp136_r20/2024-12-24-exp750\exp750deposition-2024-12-26t18_26_44-deposition\exp750deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 136
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 12.1

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.128e-3
2.000e-1, 3.135e-3
3.000e-1, 3.139e-3
4.000e-1, 3.146e-3
5.000e-1, 3.154e-3
6.000e-1, 3.150e-3
7.000e-1, 3.145e-3
8.000e-1, 3.146e-3
9.000e-1, 3.154e-3
1.000e+0, 3.170e-3
1.100e+0, 3.180e-3
1.200e+0, 3.179e-3
1.300e+0, 3.183e-3
1.400e+0, 3.195e-3
1.500e+0, 3.205e-3
1.600e+0, 3.219e-3
1.700e+0, 3.226e-3
1.800e+0, 3.237e-3
1.900e+0, 3.247e-3
2.000e+0, 3.252e-3
2.100e+0, 3.259e-3
2.200e+0, 3.267e-3
2.300e+0, 3.268e-3
2.400e+0, 3.276e-3
2.500e+0, 3.284e-3
2.600e+0, 3.289e-3
2.700e+0, 3.293e-3
2.800e+0, 3.297e-3
2.900e+0, 3.298e-3
3.000e+0, 3.304e-3
3.100e+0, 3.304e-3
3.200e+0, 3.301e-3
3.300e+0, 3.306e-3
3.400e+0, 3.313e-3
3.500e+0, 3.317e-3
3.600e+0, 3.314e-3
3.700e+0, 3.316e-3
3.800e+0, 3.323e-3
3.900e+0, 3.335e-3
4.000e+0, 3.344e-3
4.100e+0, 3.347e-3
4.200e+0, 3.341e-3
4.300e+0, 3.341e-3
4.400e+0, 3.350e-3
4.500e+0, 3.354e-3
4.600e+0, 3.369e-3
4.700e+0, 3.377e-3
4.800e+0, 3.361e-3
4.900e+0, 3.348e-3
5.000e+0, 3.339e-3
5.100e+0, 3.329e-3
5.200e+0, 3.324e-3
5.300e+0, 3.326e-3
5.400e+0, 3.341e-3
5.500e+0, 3.362e-3
5.600e+0, 3.365e-3
5.700e+0, 3.363e-3
5.800e+0, 3.365e-3
5.900e+0, 3.379e-3
6.000e+0, 3.389e-3
6.100e+0, 3.387e-3
6.200e+0, 3.366e-3
6.300e+0, 3.364e-3
6.400e+0, 3.366e-3
6.500e+0, 3.378e-3
6.600e+0, 3.388e-3
6.700e+0, 3.388e-3
6.800e+0, 3.391e-3
6.900e+0, 3.414e-3
7.000e+0, 3.406e-3
7.100e+0, 3.400e-3
7.200e+0, 3.398e-3
7.300e+0, 3.393e-3
7.400e+0, 3.394e-3
7.500e+0, 3.408e-3
7.600e+0, 3.421e-3
7.700e+0, 3.432e-3
7.800e+0, 3.445e-3
7.900e+0, 3.459e-3
8.000e+0, 3.467e-3
8.100e+0, 3.472e-3
8.200e+0, 3.477e-3
8.300e+0, 3.481e-3
8.400e+0, 3.485e-3
8.500e+0, 3.487e-3
8.600e+0, 3.488e-3
8.700e+0, 3.488e-3
8.800e+0, 3.486e-3
8.900e+0, 3.485e-3
9.000e+0, 3.485e-3
9.100e+0, 3.489e-3
9.200e+0, 3.490e-3
9.300e+0, 3.488e-3
9.400e+0, 3.489e-3
9.500e+0, 3.512e-3
9.600e+0, 3.525e-3
9.700e+0, 3.549e-3
9.800e+0, 3.555e-3
9.900e+0, 3.546e-3
1.000e+1, 3.535e-3
1.010e+1, 3.517e-3
1.020e+1, 3.502e-3
1.030e+1, 3.500e-3
1.040e+1, 3.499e-3
1.050e+1, 3.500e-3
1.060e+1, 3.504e-3
1.070e+1, 3.513e-3
1.080e+1, 3.517e-3
1.090e+1, 3.513e-3
1.100e+1, 3.506e-3
1.110e+1, 3.508e-3
1.120e+1, 3.515e-3
1.130e+1, 3.513e-3
1.140e+1, 3.508e-3
1.150e+1, 3.504e-3
1.160e+1, 3.509e-3
1.170e+1, 3.516e-3
1.180e+1, 3.529e-3
1.190e+1, 3.542e-3
1.200e+1, 3.556e-3
1.210e+1, 3.568e-3
1.220e+1, 3.574e-3
1.230e+1, 3.581e-3
1.240e+1, 3.586e-3
1.250e+1, 3.587e-3
1.260e+1, 3.585e-3
1.270e+1, 3.622e-3
1.280e+1, 3.620e-3
1.290e+1, 3.612e-3
1.300e+1, 3.616e-3
1.310e+1, 3.620e-3
1.320e+1, 3.624e-3
1.330e+1, 3.636e-3
1.340e+1, 3.652e-3
1.350e+1, 3.657e-3
1.360e+1, 3.690e-3
1.370e+1, 3.713e-3
1.380e+1, 3.715e-3
1.390e+1, 3.714e-3
1.400e+1, 3.710e-3
1.410e+1, 3.702e-3
1.420e+1, 3.701e-3
1.430e+1, 3.711e-3
1.440e+1, 3.705e-3
1.450e+1, 3.699e-3
1.460e+1, 3.685e-3
1.470e+1, 3.695e-3
1.480e+1, 3.679e-3
1.490e+1, 3.668e-3
1.500e+1, 3.656e-3
1.510e+1, 3.639e-3
1.520e+1, 3.618e-3
1.530e+1, 3.607e-3
1.540e+1, 3.593e-3
1.550e+1, 3.595e-3
1.560e+1, 3.597e-3
1.570e+1, 3.586e-3
1.580e+1, 3.572e-3
1.590e+1, 3.561e-3
1.600e+1, 3.553e-3
1.610e+1, 3.552e-3
1.620e+1, 3.558e-3
1.630e+1, 3.572e-3
1.640e+1, 3.581e-3
1.650e+1, 3.614e-3
1.660e+1, 3.620e-3
1.670e+1, 3.614e-3
1.680e+1, 3.605e-3
1.690e+1, 3.598e-3
1.700e+1, 3.583e-3
1.710e+1, 3.579e-3
1.720e+1, 3.575e-3
1.730e+1, 3.575e-3
1.740e+1, 3.579e-3
1.750e+1, 3.586e-3
1.760e+1, 3.586e-3
1.770e+1, 3.584e-3
1.780e+1, 3.590e-3
1.790e+1, 3.595e-3
1.800e+1, 3.605e-3
1.810e+1, 3.611e-3
1.820e+1, 3.608e-3
1.830e+1, 3.602e-3
1.840e+1, 3.602e-3
1.850e+1, 3.597e-3
1.860e+1, 3.601e-3
1.870e+1, 3.616e-3
1.880e+1, 3.625e-3
1.890e+1, 3.649e-3
1.900e+1, 3.663e-3
1.910e+1, 3.650e-3
1.920e+1, 3.632e-3
1.930e+1, 3.623e-3
1.940e+1, 3.612e-3
1.950e+1, 3.610e-3
1.960e+1, 3.626e-3
1.970e+1, 3.635e-3
1.980e+1, 3.647e-3
1.990e+1, 3.653e-3
2.000e+1, 3.661e-3
2.010e+1, 3.668e-3
2.020e+1, 3.661e-3
2.030e+1, 3.661e-3
2.040e+1, 3.659e-3
2.050e+1, 3.642e-3
2.060e+1, 3.620e-3
2.070e+1, 3.595e-3
2.080e+1, 3.567e-3
2.090e+1, 3.549e-3
2.100e+1, 3.542e-3
2.110e+1, 3.540e-3
2.120e+1, 3.541e-3
2.130e+1, 3.556e-3
2.140e+1, 3.570e-3
2.150e+1, 3.585e-3
2.160e+1, 3.599e-3
2.170e+1, 3.598e-3
2.180e+1, 3.586e-3
2.190e+1, 3.574e-3
2.200e+1, 3.584e-3
2.210e+1, 3.582e-3
2.220e+1, 3.579e-3
2.230e+1, 3.588e-3
2.240e+1, 3.608e-3
2.250e+1, 3.626e-3
2.260e+1, 3.646e-3
2.270e+1, 3.719e-3
2.280e+1, 3.748e-3
2.290e+1, 3.754e-3
2.300e+1, 3.751e-3
2.310e+1, 3.737e-3
2.320e+1, 3.718e-3
2.330e+1, 3.708e-3
2.340e+1, 3.699e-3
2.350e+1, 3.691e-3
2.360e+1, 3.671e-3
2.370e+1, 3.658e-3
2.380e+1, 3.655e-3
2.390e+1, 3.659e-3
2.400e+1, 3.669e-3
2.410e+1, 3.672e-3
2.420e+1, 3.680e-3
2.430e+1, 3.694e-3
2.440e+1, 3.695e-3
2.450e+1, 3.702e-3
2.460e+1, 3.706e-3
2.470e+1, 3.716e-3
2.480e+1, 3.714e-3
2.490e+1, 3.716e-3
2.500e+1, 3.725e-3
2.510e+1, 3.737e-3
2.520e+1, 3.750e-3
2.530e+1, 3.747e-3
2.540e+1, 3.747e-3
2.550e+1, 3.756e-3
2.560e+1, 3.775e-3
2.570e+1, 3.778e-3
2.580e+1, 3.774e-3
2.590e+1, 3.758e-3
2.600e+1, 3.742e-3
2.610e+1, 3.734e-3
2.620e+1, 3.738e-3
2.630e+1, 3.740e-3
2.640e+1, 3.747e-3
2.650e+1, 3.756e-3
2.660e+1, 3.756e-3
2.670e+1, 3.737e-3
2.680e+1, 3.725e-3
2.690e+1, 3.722e-3
2.700e+1, 3.717e-3
2.710e+1, 3.717e-3
2.720e+1, 3.724e-3
2.730e+1, 3.728e-3
2.740e+1, 3.722e-3
2.750e+1, 3.714e-3
2.760e+1, 3.712e-3
2.770e+1, 3.716e-3
2.780e+1, 3.737e-3
2.790e+1, 3.752e-3
2.800e+1, 3.754e-3
2.810e+1, 3.743e-3
2.820e+1, 3.732e-3
2.830e+1, 3.722e-3
2.840e+1, 3.724e-3
2.850e+1, 3.726e-3
2.860e+1, 3.727e-3
2.870e+1, 3.745e-3
2.880e+1, 3.791e-3
2.890e+1, 3.785e-3
2.900e+1, 3.778e-3
2.910e+1, 3.775e-3
2.920e+1, 3.787e-3
2.930e+1, 3.792e-3
2.940e+1, 3.784e-3
2.950e+1, 3.768e-3
2.960e+1, 3.754e-3
2.970e+1, 3.743e-3
2.980e+1, 3.740e-3
2.990e+1, 3.737e-3
3.000e+1, 3.738e-3
3.010e+1, 3.735e-3
3.020e+1, 3.735e-3
3.030e+1, 3.743e-3
3.040e+1, 3.733e-3
3.050e+1, 3.725e-3
3.060e+1, 3.721e-3
3.070e+1, 3.721e-3
3.080e+1, 3.734e-3
3.090e+1, 3.752e-3
3.100e+1, 3.765e-3
3.110e+1, 3.769e-3
3.120e+1, 3.770e-3
3.130e+1, 3.764e-3
3.140e+1, 3.774e-3
3.150e+1, 3.776e-3
3.160e+1, 3.784e-3
3.170e+1, 3.780e-3
3.180e+1, 3.779e-3
3.190e+1, 3.781e-3
3.200e+1, 3.785e-3
3.210e+1, 3.801e-3
3.220e+1, 3.816e-3
3.230e+1, 3.815e-3
3.240e+1, 3.812e-3
3.250e+1, 3.807e-3
3.260e+1, 3.809e-3
3.270e+1, 3.810e-3
3.280e+1, 3.823e-3
3.290e+1, 3.838e-3
3.300e+1, 3.837e-3
3.310e+1, 3.828e-3
3.320e+1, 3.816e-3
3.330e+1, 3.803e-3
3.340e+1, 3.795e-3
3.350e+1, 3.792e-3
3.360e+1, 3.797e-3
3.370e+1, 3.808e-3
3.380e+1, 3.819e-3
3.390e+1, 3.832e-3
3.400e+1, 3.828e-3
3.410e+1, 3.813e-3
3.420e+1, 3.803e-3
3.430e+1, 3.799e-3
3.440e+1, 3.808e-3
3.450e+1, 3.813e-3
3.460e+1, 3.819e-3
3.470e+1, 3.822e-3
3.480e+1, 3.827e-3
3.490e+1, 3.834e-3
3.500e+1, 3.843e-3
3.510e+1, 3.844e-3
3.520e+1, 3.846e-3
3.530e+1, 3.843e-3
3.540e+1, 3.838e-3
3.550e+1, 3.833e-3
3.560e+1, 3.823e-3
3.570e+1, 3.819e-3
3.580e+1, 3.800e-3
3.590e+1, 3.791e-3
3.600e+1, 3.790e-3
3.610e+1, 3.794e-3
3.620e+1, 3.813e-3
3.630e+1, 3.823e-3
3.640e+1, 3.831e-3
3.650e+1, 3.843e-3
3.660e+1, 3.854e-3
3.670e+1, 3.855e-3
3.680e+1, 3.858e-3
3.690e+1, 3.863e-3
3.700e+1, 3.873e-3
3.710e+1, 3.868e-3
3.720e+1, 3.877e-3
3.730e+1, 3.869e-3
3.740e+1, 3.885e-3
3.750e+1, 3.893e-3
3.760e+1, 3.893e-3
3.770e+1, 3.898e-3
3.780e+1, 3.909e-3
3.790e+1, 3.911e-3
3.800e+1, 3.910e-3
3.810e+1, 3.915e-3
3.820e+1, 3.916e-3
3.830e+1, 3.917e-3
3.840e+1, 3.915e-3
3.850e+1, 3.918e-3
3.860e+1, 3.919e-3
3.870e+1, 3.919e-3
3.880e+1, 3.921e-3
3.890e+1, 3.926e-3
3.900e+1, 3.923e-3
3.910e+1, 3.925e-3
3.920e+1, 3.934e-3
3.930e+1, 3.942e-3
3.940e+1, 3.975e-3
3.950e+1, 3.989e-3
3.960e+1, 3.981e-3
3.970e+1, 3.975e-3
3.980e+1, 3.971e-3
3.990e+1, 3.974e-3
4.000e+1, 3.991e-3
4.010e+1, 3.999e-3
4.020e+1, 4.022e-3
4.030e+1, 4.038e-3
4.040e+1, 4.042e-3
4.050e+1, 4.031e-3
4.060e+1, 4.016e-3
4.070e+1, 4.011e-3
4.080e+1, 4.002e-3
4.090e+1, 4.008e-3
4.100e+1, 3.996e-3
4.110e+1, 4.005e-3
4.120e+1, 3.999e-3
4.130e+1, 4.003e-3
4.140e+1, 3.999e-3
4.150e+1, 3.990e-3
4.160e+1, 3.981e-3
4.170e+1, 3.979e-3
4.180e+1, 3.977e-3
4.190e+1, 3.978e-3
4.200e+1, 3.971e-3
4.210e+1, 3.969e-3
4.220e+1, 3.970e-3
4.230e+1, 3.980e-3
4.240e+1, 3.992e-3
4.250e+1, 3.998e-3
4.260e+1, 3.988e-3
4.270e+1, 3.988e-3
4.280e+1, 3.988e-3
4.290e+1, 3.986e-3
4.300e+1, 3.976e-3
4.310e+1, 3.982e-3
4.320e+1, 3.982e-3
4.330e+1, 3.996e-3
4.340e+1, 3.993e-3
4.350e+1, 3.991e-3
4.360e+1, 3.982e-3
4.370e+1, 3.986e-3
4.380e+1, 3.989e-3
4.390e+1, 3.993e-3
4.400e+1, 3.998e-3
4.410e+1, 4.002e-3
4.420e+1, 3.989e-3
4.430e+1, 3.978e-3
4.440e+1, 3.970e-3
4.450e+1, 3.965e-3
4.460e+1, 3.961e-3
4.470e+1, 3.953e-3
4.480e+1, 3.948e-3
4.490e+1, 3.940e-3
4.500e+1, 3.953e-3
4.510e+1, 3.971e-3
4.520e+1, 3.998e-3
4.530e+1, 3.996e-3
4.540e+1, 4.002e-3
4.550e+1, 4.000e-3
4.560e+1, 3.995e-3
4.570e+1, 3.981e-3
4.580e+1, 3.992e-3
4.590e+1, 4.005e-3
4.600e+1, 4.010e-3
4.610e+1, 4.008e-3
4.620e+1, 4.016e-3
4.630e+1, 4.020e-3
4.640e+1, 4.043e-3
4.650e+1, 4.049e-3
4.660e+1, 4.043e-3
4.670e+1, 4.041e-3
4.680e+1, 4.037e-3
4.690e+1, 4.034e-3
4.700e+1, 4.031e-3
4.710e+1, 4.033e-3
4.720e+1, 4.031e-3
4.730e+1, 4.023e-3
4.740e+1, 4.018e-3
4.750e+1, 4.014e-3
4.760e+1, 4.015e-3
4.770e+1, 4.020e-3
4.780e+1, 4.019e-3
4.790e+1, 4.021e-3
4.800e+1, 4.014e-3
4.810e+1, 4.011e-3
4.820e+1, 4.025e-3
4.830e+1, 4.051e-3
4.840e+1, 4.057e-3
4.850e+1, 4.045e-3
4.860e+1, 4.030e-3
4.870e+1, 4.022e-3
4.880e+1, 4.021e-3
4.890e+1, 4.011e-3
4.900e+1, 4.010e-3
4.910e+1, 4.015e-3
4.920e+1, 4.015e-3
4.930e+1, 4.015e-3
4.940e+1, 4.021e-3
4.950e+1, 4.027e-3
4.960e+1, 4.034e-3
4.970e+1, 4.040e-3
4.980e+1, 4.050e-3
4.990e+1, 4.057e-3
5.000e+1, 4.061e-3
5.010e+1, 4.063e-3
5.020e+1, 4.066e-3
5.030e+1, 4.064e-3
5.040e+1, 4.062e-3
5.050e+1, 4.058e-3
5.060e+1, 4.063e-3
5.070e+1, 4.066e-3
5.080e+1, 4.072e-3
5.090e+1, 4.079e-3
5.100e+1, 4.085e-3
5.110e+1, 4.091e-3
5.120e+1, 4.089e-3
5.130e+1, 4.096e-3
5.140e+1, 4.104e-3
5.150e+1, 4.109e-3
5.160e+1, 4.105e-3
5.170e+1, 4.098e-3
5.180e+1, 4.089e-3
5.190e+1, 4.080e-3
5.200e+1, 4.067e-3
5.210e+1, 4.068e-3
5.220e+1, 4.064e-3
5.230e+1, 4.073e-3
5.240e+1, 4.075e-3
5.250e+1, 4.069e-3
5.260e+1, 4.063e-3
5.270e+1, 4.060e-3
5.280e+1, 4.062e-3
5.290e+1, 4.064e-3
5.300e+1, 4.076e-3
5.310e+1, 4.084e-3
5.320e+1, 4.092e-3
5.330e+1, 4.098e-3
5.340e+1, 4.097e-3
5.350e+1, 4.099e-3
5.360e+1, 4.113e-3
5.370e+1, 4.118e-3
5.380e+1, 4.129e-3
5.390e+1, 4.134e-3
5.400e+1, 4.140e-3
5.410e+1, 4.135e-3
5.420e+1, 4.141e-3
5.430e+1, 4.135e-3
5.440e+1, 4.129e-3
5.450e+1, 4.131e-3
5.460e+1, 4.129e-3
5.470e+1, 4.133e-3
5.480e+1, 4.137e-3
5.490e+1, 4.139e-3
5.500e+1, 4.158e-3
5.510e+1, 4.160e-3
5.520e+1, 4.149e-3
5.530e+1, 4.150e-3
5.540e+1, 4.135e-3
5.550e+1, 4.127e-3
5.560e+1, 4.127e-3
5.570e+1, 4.135e-3
5.580e+1, 4.136e-3
5.590e+1, 4.147e-3
5.600e+1, 4.156e-3
5.610e+1, 4.153e-3
5.620e+1, 4.149e-3
5.630e+1, 4.148e-3
5.640e+1, 4.148e-3
5.650e+1, 4.148e-3
5.660e+1, 4.150e-3
5.670e+1, 4.151e-3
5.680e+1, 4.157e-3
5.690e+1, 4.159e-3
5.700e+1, 4.157e-3
5.710e+1, 4.163e-3
5.720e+1, 4.173e-3
5.730e+1, 4.181e-3
5.740e+1, 4.183e-3
5.750e+1, 4.188e-3
5.760e+1, 4.209e-3
5.770e+1, 4.223e-3
5.780e+1, 4.209e-3
5.790e+1, 4.205e-3
5.800e+1, 4.199e-3
5.810e+1, 4.186e-3
5.820e+1, 4.208e-3
5.830e+1, 4.194e-3
5.840e+1, 4.194e-3
5.850e+1, 4.191e-3
5.860e+1, 4.196e-3
5.870e+1, 4.203e-3
5.880e+1, 4.200e-3
5.890e+1, 4.200e-3
5.900e+1, 4.206e-3
5.910e+1, 4.200e-3
5.920e+1, 4.195e-3
5.930e+1, 4.191e-3
5.940e+1, 4.199e-3
5.950e+1, 4.193e-3
5.960e+1, 4.195e-3
5.970e+1, 4.221e-3
5.980e+1, 4.214e-3
5.990e+1, 4.199e-3
6.000e+1, 4.191e-3
