Mar. 5, 2025   15:53:38
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp169_r20_3/2025-03-03-exp879\exp879deposition-2025-03-05t15_50_21-deposition\exp879deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.7

Results:

Channel 1:

Time/sec, Current/A

1.960e+1, 6.117e-3
1.970e+1, 6.141e-3
1.980e+1, 6.217e-3
1.990e+1, 6.211e-3
2.000e+1, 6.181e-3
2.010e+1, 6.158e-3
2.020e+1, 6.133e-3
2.030e+1, 6.118e-3
2.040e+1, 6.115e-3
2.050e+1, 6.106e-3
2.060e+1, 6.094e-3
2.070e+1, 6.097e-3
2.080e+1, 6.090e-3
2.090e+1, 6.087e-3
2.100e+1, 6.096e-3
2.110e+1, 6.097e-3
2.120e+1, 6.086e-3
2.130e+1, 6.081e-3
2.140e+1, 6.092e-3
2.150e+1, 6.102e-3
2.160e+1, 6.114e-3
2.170e+1, 6.116e-3
2.180e+1, 6.124e-3
2.190e+1, 6.127e-3
2.200e+1, 6.140e-3
2.210e+1, 6.141e-3
2.220e+1, 6.150e-3
2.230e+1, 6.154e-3
2.240e+1, 6.139e-3
2.250e+1, 6.143e-3
2.260e+1, 6.156e-3
2.270e+1, 6.173e-3
2.280e+1, 6.180e-3
2.290e+1, 6.175e-3
2.300e+1, 6.169e-3
2.310e+1, 6.172e-3
2.320e+1, 6.177e-3
2.330e+1, 6.173e-3
2.340e+1, 6.166e-3
2.350e+1, 6.173e-3
2.360e+1, 6.172e-3
2.370e+1, 6.182e-3
2.380e+1, 6.189e-3
2.390e+1, 6.193e-3
2.400e+1, 6.192e-3
2.410e+1, 6.157e-3
2.420e+1, 6.152e-3
2.430e+1, 6.166e-3
2.440e+1, 6.176e-3
2.450e+1, 6.182e-3
2.460e+1, 6.176e-3
2.470e+1, 6.175e-3
2.480e+1, 6.183e-3
2.490e+1, 6.187e-3
2.500e+1, 6.176e-3
2.510e+1, 6.162e-3
2.520e+1, 6.152e-3
2.530e+1, 6.159e-3
2.540e+1, 6.170e-3
2.550e+1, 6.175e-3
2.560e+1, 6.192e-3
2.570e+1, 6.211e-3
2.580e+1, 6.245e-3
2.590e+1, 6.257e-3
2.600e+1, 6.273e-3
2.610e+1, 6.322e-3
2.620e+1, 6.307e-3
2.630e+1, 6.284e-3
2.640e+1, 6.291e-3
2.650e+1, 6.305e-3
2.660e+1, 6.292e-3
2.670e+1, 6.256e-3
2.680e+1, 6.239e-3
2.690e+1, 6.234e-3
2.700e+1, 6.237e-3
2.710e+1, 6.225e-3
2.720e+1, 6.215e-3
2.730e+1, 6.216e-3
2.740e+1, 6.199e-3
2.750e+1, 6.201e-3
2.760e+1, 6.204e-3
2.770e+1, 6.204e-3
2.780e+1, 6.200e-3
2.790e+1, 6.196e-3
2.800e+1, 6.193e-3
2.810e+1, 6.185e-3
2.820e+1, 6.197e-3
2.830e+1, 6.215e-3
2.840e+1, 6.207e-3
2.850e+1, 6.212e-3
2.860e+1, 6.201e-3
2.870e+1, 6.197e-3
2.880e+1, 6.200e-3
2.890e+1, 6.200e-3
2.900e+1, 6.212e-3
2.910e+1, 6.225e-3
2.920e+1, 6.245e-3
2.930e+1, 6.254e-3
2.940e+1, 6.261e-3
2.950e+1, 6.262e-3
2.960e+1, 6.263e-3
2.970e+1, 6.289e-3
2.980e+1, 6.294e-3
2.990e+1, 6.296e-3
3.000e+1, 6.313e-3
