May 5, 2025   07:16:17
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp1108_r5/2025-04-30-exp1246\exp1246deposition-2025-05-05t07_11_48-deposition\exp1246deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 102
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.5

Results:

Channel 1:

Time/sec, Current/A

1.960e+1, 4.804e-3
1.970e+1, 4.875e-3
1.980e+1, 4.887e-3
1.990e+1, 4.885e-3
2.000e+1, 4.865e-3
2.010e+1, 4.849e-3
2.020e+1, 4.817e-3
2.030e+1, 4.814e-3
2.040e+1, 4.813e-3
2.050e+1, 4.883e-3
2.060e+1, 4.915e-3
2.070e+1, 4.955e-3
2.080e+1, 4.974e-3
2.090e+1, 5.018e-3
2.100e+1, 5.094e-3
2.110e+1, 5.140e-3
2.120e+1, 5.163e-3
2.130e+1, 5.166e-3
2.140e+1, 5.131e-3
2.150e+1, 5.108e-3
2.160e+1, 5.073e-3
2.170e+1, 5.017e-3
2.180e+1, 4.970e-3
2.190e+1, 4.994e-3
2.200e+1, 4.985e-3
2.210e+1, 4.959e-3
2.220e+1, 4.929e-3
2.230e+1, 5.015e-3
2.240e+1, 5.041e-3
2.250e+1, 5.016e-3
2.260e+1, 4.976e-3
2.270e+1, 4.934e-3
2.280e+1, 4.924e-3
2.290e+1, 4.940e-3
2.300e+1, 5.007e-3
2.310e+1, 4.996e-3
2.320e+1, 4.957e-3
2.330e+1, 4.983e-3
2.340e+1, 5.027e-3
2.350e+1, 5.097e-3
2.360e+1, 5.156e-3
2.370e+1, 5.166e-3
2.380e+1, 5.218e-3
2.390e+1, 5.351e-3
2.400e+1, 5.344e-3
2.410e+1, 5.266e-3
2.420e+1, 5.198e-3
2.430e+1, 5.155e-3
2.440e+1, 5.121e-3
2.450e+1, 5.088e-3
2.460e+1, 5.080e-3
2.470e+1, 5.083e-3
