Jan. 9, 2025   11:23:47
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-08-exp808\exp808deposition-2025-01-09t11_20_26-deposition\exp808deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 13.2

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.973e-3
2.000e-1, 3.943e-3
3.000e-1, 3.927e-3
4.000e-1, 3.917e-3
5.000e-1, 3.906e-3
6.000e-1, 3.887e-3
7.000e-1, 3.863e-3
8.000e-1, 3.845e-3
9.000e-1, 3.841e-3
1.000e+0, 3.825e-3
1.100e+0, 3.798e-3
1.200e+0, 3.771e-3
1.300e+0, 3.753e-3
1.400e+0, 3.728e-3
1.500e+0, 3.704e-3
1.600e+0, 3.689e-3
1.700e+0, 3.677e-3
1.800e+0, 3.671e-3
1.900e+0, 3.667e-3
2.000e+0, 3.649e-3
2.100e+0, 3.641e-3
2.200e+0, 3.633e-3
2.300e+0, 3.616e-3
2.400e+0, 3.588e-3
2.500e+0, 3.566e-3
2.600e+0, 3.560e-3
2.700e+0, 3.558e-3
2.800e+0, 3.538e-3
2.900e+0, 3.504e-3
3.000e+0, 3.497e-3
3.100e+0, 3.508e-3
3.200e+0, 3.522e-3
3.300e+0, 3.524e-3
3.400e+0, 3.510e-3
3.500e+0, 3.483e-3
3.600e+0, 3.466e-3
3.700e+0, 3.465e-3
3.800e+0, 3.473e-3
3.900e+0, 3.463e-3
4.000e+0, 3.446e-3
4.100e+0, 3.420e-3
4.200e+0, 3.392e-3
4.300e+0, 3.369e-3
4.400e+0, 3.355e-3
4.500e+0, 3.344e-3
4.600e+0, 3.326e-3
4.700e+0, 3.311e-3
4.800e+0, 3.311e-3
4.900e+0, 3.321e-3
5.000e+0, 3.320e-3
5.100e+0, 3.303e-3
5.200e+0, 3.280e-3
5.300e+0, 3.264e-3
5.400e+0, 3.245e-3
5.500e+0, 3.238e-3
5.600e+0, 3.229e-3
5.700e+0, 3.217e-3
5.800e+0, 3.200e-3
5.900e+0, 3.185e-3
6.000e+0, 3.178e-3
6.100e+0, 3.171e-3
6.200e+0, 3.179e-3
6.300e+0, 3.181e-3
6.400e+0, 3.179e-3
6.500e+0, 3.173e-3
6.600e+0, 3.158e-3
6.700e+0, 3.138e-3
6.800e+0, 3.124e-3
6.900e+0, 3.127e-3
7.000e+0, 3.132e-3
7.100e+0, 3.126e-3
7.200e+0, 3.107e-3
7.300e+0, 3.084e-3
7.400e+0, 3.067e-3
7.500e+0, 3.061e-3
7.600e+0, 3.048e-3
7.700e+0, 3.044e-3
7.800e+0, 3.022e-3
7.900e+0, 3.004e-3
8.000e+0, 2.982e-3
8.100e+0, 2.964e-3
8.200e+0, 2.958e-3
8.300e+0, 2.961e-3
8.400e+0, 2.951e-3
8.500e+0, 2.939e-3
8.600e+0, 2.926e-3
8.700e+0, 2.907e-3
8.800e+0, 2.878e-3
8.900e+0, 2.846e-3
9.000e+0, 2.821e-3
9.100e+0, 2.835e-3
9.200e+0, 2.796e-3
9.300e+0, 2.825e-3
9.400e+0, 2.897e-3
9.500e+0, 2.877e-3
9.600e+0, 2.844e-3
9.700e+0, 2.816e-3
9.800e+0, 2.795e-3
9.900e+0, 2.771e-3
1.000e+1, 2.739e-3
1.010e+1, 2.709e-3
1.020e+1, 2.687e-3
1.030e+1, 2.660e-3
1.040e+1, 2.648e-3
1.050e+1, 2.641e-3
1.060e+1, 2.634e-3
1.070e+1, 2.628e-3
1.080e+1, 2.646e-3
1.090e+1, 2.639e-3
