Potential V vs RHE, Current mA cm-2
0.013299999999999867,0.04140859974704963
0.012299999999999978,-1.1798692240874404
0.011299999999999866,-2.1390434853959355
0.010299999999999976,-2.968064307116847
0.009299999999999864,-3.6655169779503103
0.008299999999999974,-4.364384360083638
0.007299999999999862,-4.9302688800296535
0.006299999999999972,-5.453712060979717
0.00529999999999986,-5.9347139029338285
0.0042999999999999705,-6.414301033588076
0.0032999999999998586,-6.762320013354876
0.0022999999999999687,-7.155609754717355
0.0012999999999998568,-7.4173313451923875
0.00029999999999996696,-7.635196885371603
-0.000700000000000145,-7.853062425550818
-0.0017000000000000348,-8.070927965730034
-0.0027000000000001467,-8.202496116617484
-0.0037000000000000366,-8.332649556205066
-0.0047000000000001485,-8.508073757388331
-0.005700000000000038,-8.68208324727173
-0.00670000000000015,-8.899948787450944
-0.00770000000000004,-9.11781432763016
-0.008700000000000152,-9.379535918105192
-0.009700000000000042,-9.59740145828441
-0.010700000000000154,-9.902979099055257
-0.011700000000000044,-10.164700689530287
-0.012700000000000156,-10.340124890713554
-0.013700000000000045,-10.514134380596953
-0.014700000000000157,-10.644287820184536
-0.015700000000000047,-10.775855971071984
-0.01670000000000016,-10.906009410659568
-0.01770000000000005,-10.993721511251199
-0.01870000000000016,-11.123874950838783
-0.01970000000000005,-11.255443101726232
-0.020700000000000163,-11.42945259160963
-0.021700000000000053,-11.647318131788847
-0.022700000000000164,-11.82274233297211
-0.023700000000000054,-12.084463923447142
-0.024700000000000166,-12.302329463626359
-0.025700000000000056,-12.56405105410139
-0.026700000000000168,-12.73806054398479
-0.027700000000000058,-12.955926084164007
-0.02870000000000017,-13.087494235051453
-0.02970000000000006,-13.30535977523067
-0.03070000000000017,-13.436927926118118
-0.03170000000000006,-13.567081365705702
-0.03270000000000017,-13.698649516593148
-0.03370000000000006,-13.828802956180734
-0.034700000000000175,-14.046668496359947
-0.035700000000000065,-14.175407224647667
-0.03670000000000018,-14.486643710617974
-0.03770000000000007,-14.69885040559773
-0.03870000000000018,-15.01008689156804
-0.03970000000000007,-15.307176264539699
-0.04070000000000018,-15.660854089505953
-0.04170000000000007,-15.91550212348166
-0.04270000000000018,-16.22673860945197
-0.04370000000000007,-16.438945304431726
-0.044700000000000184,-16.70774045140608
-0.045700000000000074,-16.877505807389888
-0.046700000000000186,-17.061418276372343
-0.047700000000000076,-17.231183632356142
-0.04870000000000019,-17.4433903273359
-0.04970000000000008,-17.627302796318357
-0.05070000000000019,-17.797068152302163
-0.05170000000000008,-18.10830463827247
-0.05270000000000019,-18.362952672248177
-0.05370000000000008,-18.631747819222536
-0.05470000000000019,-18.92883719219419
-0.05570000000000008,-19.2400736781645
-0.056700000000000195,-19.452280373144255
-0.057700000000000085,-19.721075520118614
-0.058700000000000196,-19.93328221509837
-0.059700000000000086,-20.10304757108217
-0.0607000000000002,-20.202077362072725
-0.06170000000000009,-20.414284057052477
-0.0627000000000002,-20.626490752032236
-0.06370000000000009,-20.810403221014692
-0.0647000000000002,-21.065051254990397
-0.06570000000000009,-21.376287740960702
-0.0667000000000002,-21.729965565926964
-0.0677000000000001,-22.069496277894572
-0.0687000000000002,-22.46561544185678
-0.0697000000000001,-22.861734605818995
-0.07070000000000021,-23.24370665678255
-0.0717000000000001,-23.55494314275286
-0.07270000000000021,-23.951062306715073
-0.0737000000000001,-24.24815167968673
-0.07470000000000021,-24.559388165657033
-0.0757000000000001,-24.814036199632742
-0.07670000000000021,-25.12527268560305
-0.0777000000000001,-25.478950510569312
-0.07870000000000021,-25.691157205549064
-0.0797000000000001,-26.044835030515326
-0.08070000000000022,-26.34192440348698
-0.0817000000000001,-26.65316088945729
-0.08270000000000022,-26.86536758443705
-0.08370000000000011,-27.176604070407354
-0.08470000000000022,-27.487840556377662
-0.08570000000000011,-27.78492992934932
-0.08670000000000022,-28.09616641531963
-0.08770000000000011,-28.308373110299385
-0.08870000000000022,-28.53472691827779
-0.08970000000000011,-28.704492274261593
-0.09070000000000022,-28.8742576302454
-0.09170000000000011,-29.001581647233255
-0.09270000000000023,-29.18549411621571
-0.09370000000000012,-29.35525947219951
-0.09470000000000023,-29.581613280177915
-0.09570000000000012,-29.878702653149578
-0.09670000000000023,-30.189939139119886
-0.09770000000000012,-30.571911190083444
-0.09870000000000023,-31.052913032037555
-0.09970000000000012,-31.57635621298762
-0.10070000000000023,-32.14224073293363
-0.10170000000000012,-32.66568391388369
-0.10270000000000024,-33.18912709483376
-0.10370000000000013,-33.712570275783825
-0.10470000000000024,-34.193572117737936
-0.10570000000000013,-34.5472499427042
-0.10670000000000024,-34.85848642867451
-0.10770000000000013,-35.15557580164616
-0.10870000000000024,-35.38192960962457
-0.10970000000000013,-35.594136304604326
-0.11070000000000024,-35.763901660588125
-0.11170000000000013,-35.99025546856653
-0.11270000000000002,-36.16002082455034
-0.11370000000000013,-36.4288159715247
-0.11470000000000002,-36.6834640055004
-0.11570000000000014,-36.89567070048016
-0.11670000000000003,-37.122024508458566
-0.11770000000000014,-37.334231203438314
-0.11870000000000003,-37.56058501141672
-0.11970000000000014,-37.77279170639648
-0.12070000000000003,-37.94255706238028
-0.12170000000000014,-38.12646953136274
-0.12270000000000003,-38.33867622634249
-0.12370000000000014,-38.6499127123128
-0.12470000000000003,-38.98944342428042
-0.12570000000000014,-39.30067991025072
-0.12670000000000003,-39.696799074212926
-0.12770000000000015,-40.135359577171094
-0.12870000000000004,-40.559772967130606
-0.12970000000000015,-40.99833347008877
-0.13070000000000004,-41.43689397304693
-0.13170000000000015,-41.79057179801318
-0.13270000000000004,-42.186690961975394
-0.13370000000000015,-42.526221673943
-0.13470000000000004,-42.87989949890926
-0.13570000000000015,-43.134547532884966
-0.13670000000000004,-43.40334267985933
-0.13770000000000016,-43.70043205283099
-0.13870000000000005,-43.92678586080939
-0.13970000000000016,-44.223875233781044
-0.14070000000000005,-44.45022904175945
-0.14170000000000016,-44.74731841473111
-0.14270000000000005,-45.05855490070142
-0.14370000000000016,-45.36979138667173
-0.14470000000000005,-45.666880759643384
-0.14570000000000016,-46.02055858460964
-0.14670000000000005,-46.27520661858535
