June 26, 2026   07:32:22
Amperometric i-t Curve
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp13\exp13deposition-2026-06-26t07_28_36-deposition\exp13deposition_it_edep_-120mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.2
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.6

Results:

Channel 1:

Time/sec, Current/A

1.970e+1, 2.289e-3
1.980e+1, 2.310e-3
1.990e+1, 2.312e-3
2.000e+1, 2.297e-3
2.010e+1, 2.274e-3
2.020e+1, 2.266e-3
2.030e+1, 2.228e-3
2.040e+1, 2.196e-3
2.050e+1, 2.184e-3
2.060e+1, 2.197e-3
2.070e+1, 2.224e-3
2.080e+1, 2.234e-3
2.090e+1, 2.213e-3
2.100e+1, 2.208e-3
2.110e+1, 2.232e-3
2.120e+1, 2.232e-3
2.130e+1, 2.179e-3
2.140e+1, 2.146e-3
2.150e+1, 2.167e-3
2.160e+1, 2.142e-3
2.170e+1, 2.089e-3
2.180e+1, 2.031e-3
2.190e+1, 1.985e-3
2.200e+1, 1.961e-3
2.210e+1, 1.964e-3
2.220e+1, 1.984e-3
2.230e+1, 2.015e-3
2.240e+1, 2.023e-3
2.250e+1, 2.019e-3
2.260e+1, 2.043e-3
2.270e+1, 2.059e-3
2.280e+1, 2.045e-3
2.290e+1, 2.036e-3
2.300e+1, 2.055e-3
2.310e+1, 2.065e-3
2.320e+1, 2.037e-3
2.330e+1, 1.994e-3
2.340e+1, 1.958e-3
2.350e+1, 1.938e-3
2.360e+1, 1.938e-3
2.370e+1, 1.947e-3
2.380e+1, 1.941e-3
2.390e+1, 1.930e-3
2.400e+1, 1.910e-3
2.410e+1, 1.893e-3
2.420e+1, 1.914e-3
2.430e+1, 1.960e-3
2.440e+1, 1.978e-3
2.450e+1, 1.970e-3
2.460e+1, 1.984e-3
2.470e+1, 2.011e-3
2.480e+1, 2.030e-3
2.490e+1, 2.014e-3
2.500e+1, 1.983e-3
2.510e+1, 1.951e-3
2.520e+1, 1.953e-3
2.530e+1, 1.981e-3
2.540e+1, 1.983e-3
2.550e+1, 1.999e-3
2.560e+1, 2.020e-3
2.570e+1, 2.034e-3
2.580e+1, 2.029e-3
2.590e+1, 2.010e-3
2.600e+1, 2.018e-3
2.610e+1, 2.020e-3
2.620e+1, 2.045e-3
2.630e+1, 2.065e-3
2.640e+1, 2.085e-3
2.650e+1, 2.109e-3
2.660e+1, 2.102e-3
2.670e+1, 2.134e-3
2.680e+1, 2.159e-3
2.690e+1, 2.154e-3
2.700e+1, 2.136e-3
2.710e+1, 2.109e-3
2.720e+1, 2.111e-3
2.730e+1, 2.130e-3
2.740e+1, 2.151e-3
2.750e+1, 2.151e-3
2.760e+1, 2.154e-3
2.770e+1, 2.137e-3
2.780e+1, 2.108e-3
2.790e+1, 2.081e-3
2.800e+1, 2.053e-3
2.810e+1, 2.023e-3
2.820e+1, 1.990e-3
2.830e+1, 1.983e-3
2.840e+1, 1.963e-3
2.850e+1, 1.941e-3
2.860e+1, 1.953e-3
2.870e+1, 1.959e-3
2.880e+1, 1.949e-3
2.890e+1, 1.943e-3
2.900e+1, 1.950e-3
2.910e+1, 1.944e-3
2.920e+1, 1.951e-3
2.930e+1, 1.967e-3
2.940e+1, 1.997e-3
2.950e+1, 2.038e-3
2.960e+1, 2.044e-3
2.970e+1, 2.043e-3
2.980e+1, 2.064e-3
2.990e+1, 2.047e-3
3.000e+1, 2.086e-3
3.010e+1, 2.184e-3
3.020e+1, 2.191e-3
3.030e+1, 2.183e-3
3.040e+1, 2.158e-3
3.050e+1, 2.166e-3
3.060e+1, 2.187e-3
3.070e+1, 2.173e-3
3.080e+1, 2.151e-3
3.090e+1, 2.176e-3
3.100e+1, 2.220e-3
3.110e+1, 2.218e-3
3.120e+1, 2.213e-3
3.130e+1, 2.221e-3
3.140e+1, 2.222e-3
3.150e+1, 2.229e-3
3.160e+1, 2.234e-3
3.170e+1, 2.229e-3
3.180e+1, 2.219e-3
3.190e+1, 2.217e-3
3.200e+1, 2.206e-3
3.210e+1, 2.219e-3
3.220e+1, 2.258e-3
3.230e+1, 2.261e-3
3.240e+1, 2.285e-3
3.250e+1, 2.299e-3
3.260e+1, 2.309e-3
3.270e+1, 2.278e-3
3.280e+1, 2.243e-3
3.290e+1, 2.235e-3
3.300e+1, 2.234e-3
3.310e+1, 2.204e-3
3.320e+1, 2.194e-3
3.330e+1, 2.174e-3
3.340e+1, 2.153e-3
3.350e+1, 2.128e-3
3.360e+1, 2.132e-3
3.370e+1, 2.146e-3
3.380e+1, 2.172e-3
3.390e+1, 2.185e-3
3.400e+1, 2.194e-3
3.410e+1, 2.206e-3
3.420e+1, 2.218e-3
3.430e+1, 2.246e-3
3.440e+1, 2.276e-3
3.450e+1, 2.266e-3
3.460e+1, 2.255e-3
3.470e+1, 2.229e-3
3.480e+1, 2.210e-3
3.490e+1, 2.280e-3
3.500e+1, 2.324e-3
3.510e+1, 2.296e-3
3.520e+1, 2.289e-3
3.530e+1, 2.303e-3
3.540e+1, 2.283e-3
3.550e+1, 2.259e-3
3.560e+1, 2.224e-3
3.570e+1, 2.202e-3
3.580e+1, 2.184e-3
3.590e+1, 2.164e-3
3.600e+1, 2.158e-3
3.610e+1, 2.131e-3
3.620e+1, 2.164e-3
3.630e+1, 2.211e-3
