Experiment,exp_num,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,Volt,Time,Overpotential V at 50.0 mA cm-2,best_so_far
exp1043,1043,0,0,15,24,0,0,6,5,0,20,-1.5,50,-0.4127,-0.1517
exp1044,1044,0,0,25,14,5,0,11,0,0,15,-1.0,53,-0.5857,-0.1517
exp1044,1044,0,0,25,14,5,0,11,0,0,15,-1.0,53,-0.5857,-0.1517
exp1045,1045,0,0,15,14,0,0,16,0,0,25,-1.0,180,-0.3807,-0.1517
exp1045,1045,0,0,15,14,0,0,16,0,0,25,-1.0,180,-0.3807,-0.1517
exp1046,1046,0,0,15,19,5,0,16,0,0,15,-1.5,30,-0.3447,-0.1517
exp1046,1046,0,0,15,19,5,0,16,0,0,15,-1.5,30,-0.3447,-0.1517
exp1047,1047,0,0,15,24,0,0,16,0,0,15,-1.0,180,-0.3557,-0.1517
exp1047,1047,0,0,15,24,0,0,16,0,0,15,-1.0,180,-0.3557,-0.1517
exp1048,1048,0,0,15,14,0,0,16,0,0,25,-1.0,30,-0.4947,-0.1517
exp1048,1048,0,0,15,14,0,0,16,0,0,25,-1.0,30,-0.4947,-0.1517
exp1049,1049,0,0,25,24,0,0,6,0,0,15,-1.0,180,-0.3777,-0.1517
exp1049,1049,0,0,25,24,0,0,6,0,0,15,-1.0,180,-0.3777,-0.1517
exp1050,1050,0,0,15,14,0,5,12,0,5,15,-1.5,30,-0.6787,-0.1517
exp1050,1050,0,0,15,14,0,5,12,0,5,15,-1.5,30,-0.6787,-0.1517
exp1051,1051,0,0,25,24,0,0,6,0,0,15,-1.0,30,-0.5507,-0.1517
exp1051,1051,0,0,25,24,0,0,6,0,0,15,-1.0,30,-0.5507,-0.1517
exp1052,1052,5,0,15,14,5,0,6,5,5,15,-1.5,180,-0.5067,-0.1517
exp1052,1052,5,0,15,14,5,0,6,5,5,15,-1.5,180,-0.5067,-0.1517
exp1053,1053,5,0,25,19,0,0,6,0,0,15,-1.0,30,-0.7547,-0.1517
exp1053,1053,5,0,25,19,0,0,6,0,0,15,-1.0,30,-0.7547,-0.1517
exp1054,1054,0,0,25,14,0,0,6,0,0,25,-1.5,30,-0.4157,-0.1517
exp1054,1054,0,0,25,14,0,0,6,0,0,25,-1.5,30,-0.4157,-0.1517
exp1055,1055,5,0,25,14,5,0,6,0,0,15,-1.5,180,-0.1627,-0.1517
exp1055,1055,5,0,25,14,5,0,6,0,0,15,-1.5,180,-0.1627,-0.1517
exp1056,1056,0,5,15,24,0,0,6,1,0,19,-1.0,30,-0.5807,-0.1517
exp1056,1056,0,5,15,24,0,0,6,1,0,19,-1.0,30,-0.5807,-0.1517
exp1057,1057,0,0,25,24,0,0,6,0,0,15,-1.0,30,-0.5217,-0.1517
exp1057,1057,0,0,25,24,0,0,6,0,0,15,-1.0,30,-0.5217,-0.1517
exp1058,1058,0,0,15,14,5,0,16,5,0,15,-1.0,180,-0.7137,-0.1517
exp1058,1058,0,0,15,14,5,0,16,5,0,15,-1.0,180,-0.7137,-0.1517
exp1059,1059,0,0,15,24,0,1,6,5,0,19,-1.5,30,-0.4677,-0.1517
exp1059,1059,0,0,15,24,0,1,6,5,0,19,-1.5,30,-0.4677,-0.1517
exp1060,1060,0,0,25,14,0,0,6,5,0,20,-1.5,180,-0.4347,-0.1517
exp1060,1060,0,0,25,14,0,0,6,5,0,20,-1.5,180,-0.4347,-0.1517
exp1061,1061,0,0,15,24,3,0,6,0,0,22,-1.5,180,-0.2247,-0.1517
exp1061,1061,0,0,15,24,3,0,6,0,0,22,-1.5,180,-0.2247,-0.1517
exp1062,1062,0,0,25,14,5,0,6,0,0,20,-1.0,133,-0.4027,-0.1517
exp1062,1062,0,0,25,14,5,0,6,0,0,20,-1.0,133,-0.4027,-0.1517
exp1064,1064,0,0,25,14,5,0,6,5,0,15,-1.0,30,-0.8047,-0.1517
exp1064,1064,0,0,25,14,5,0,6,5,0,15,-1.0,30,-0.8047,-0.1517
exp1065,1065,0,0,25,24,0,0,6,0,0,15,-1.5,30,-0.3997,-0.1517
exp1065,1065,0,0,25,24,0,0,6,0,0,15,-1.5,30,-0.3997,-0.1517
exp1066,1066,0,0,25,14,0,0,16,0,0,15,-1.5,180,-0.1557,-0.1517
exp1066,1066,0,0,25,14,0,0,16,0,0,15,-1.5,180,-0.1557,-0.1517
