Experiment,exp_num,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,Volt,Time,Overpotential V at 50.0 mA cm-2,best_so_far
exp858,858,0,20,16,26,0,0,0,0,0,8,-1.5,180,-0.4107,-0.4107
exp859,859,0,0,20,0,46,4,0,0,0,0,-1.5,30,-0.3547,-0.3547
exp860,860,0,0,20,20,10,0,0,0,0,0,-1.0,180,-0.6657,-0.3547
exp861,861,0,0,20,20,27,0,3,0,0,0,-1.5,180,-0.3387,-0.3387
exp862,862,0,0,0,0,41,11,0,0,0,0,-1.5,89,-0.2927,-0.2927
exp863,863,0,0,0,20,10,0,0,20,0,0,-1.5,180,-0.3287,-0.2927
exp864,864,0,13,0,20,11,27,0,0,0,0,-1.5,30,-0.5397,-0.2927
exp865,865,0,0,0,0,29,21,20,0,0,0,-1.4,122,-0.3937,-0.2927
exp866,866,0,0,0,0,41,20,0,10,0,0,-1.5,30,-0.4067,-0.2927
exp867,867,0,0,0,0,28,0,9,0,0,33,-1.3,101,-0.3377,-0.2927
exp868,868,0,0,0,5,45,0,20,0,0,0,-1.5,55,-0.6427,-0.2927
exp869,869,5,0,0,0,11,35,0,0,0,0,-1.2,53,-0.5047,-0.2927
exp870,870,0,0,0,20,17,0,0,9,0,0,-1.5,180,-0.2877,-0.2877
exp871,871,0,0,0,0,10,33,0,0,0,0,-1.4,86,-0.4507,-0.2877
exp872,872,20,0,0,0,10,20,20,0,0,0,-1.5,126,-0.6397,-0.2877
exp873,873,0,0,0,0,23,0,0,20,0,27,-1.3,180,-0.3017,-0.2877
exp874,874,0,0,20,20,10,0,0,20,0,0,-1.5,180,-0.3327,-0.2877
exp875,875,0,0,0,0,39,0,0,0,0,0,-1.5,180,-0.4587,-0.2877
exp876,876,0,0,0,20,12,4,7,0,0,0,-1.5,180,-0.3567,-0.2877
exp877,877,0,0,20,0,24,0,0,20,0,6,-1.5,180,-0.2517,-0.2517
exp878,878,0,15,0,0,10,35,0,10,0,0,-1.3,30,-0.5967,-0.2517
exp879,879,0,0,0,0,35,35,0,0,0,0,-1.5,30,-0.5417,-0.2517
exp880,880,0,0,0,14,11,15,0,0,0,30,-1.2,157,-0.2637,-0.2517
exp881,881,0,0,0,3,10,16,20,5,0,16,-1.2,180,-0.4137,-0.2517
exp882,882,0,0,0,20,10,0,0,7,0,0,-1.5,102,-0.3127,-0.2517
exp883,883,0,0,0,6,37,0,0,0,0,27,-1.5,38,-0.3757,-0.2517
exp884,884,20,0,0,20,30,0,0,0,0,0,-1.3,176,-0.7037,-0.2517
exp885,885,0,0,20,0,30,0,0,20,0,0,-1.4,180,-0.3877,-0.2517
exp886,886,0,0,20,20,10,0,20,0,0,0,-1.4,167,-0.3497,-0.2517
exp887,887,0,0,20,18,10,1,0,20,0,0,-1.5,180,-0.3407,-0.2517
exp888,888,0,0,0,0,27,0,0,0,0,0,-1.5,180,-0.4707,-0.2517
exp889,889,0,0,0,19,17,17,15,0,0,0,-1.5,180,-0.3887,-0.2517
exp890,890,0,0,20,0,17,4,0,20,0,8,-1.5,180,-0.2757,-0.2517
exp891,891,0,0,0,6,47,0,0,0,0,18,-1.2,180,-0.2387,-0.2387
exp892,892,0,0,0,15,10,8,0,0,0,0,-1.2,30,-0.4367,-0.2387
exp893,893,0,0,0,20,18,12,0,20,0,0,-1.5,113,-0.2967,-0.2387
exp894,894,0,0,3,15,27,0,0,0,0,24,-1.5,180,-0.2817,-0.2387
exp895,895,0,0,0,0,41,9,0,20,0,0,-1.5,180,-0.2367,-0.2367
exp896,896,0,0,20,19,10,0,0,20,0,1,-1.5,180,-0.3347,-0.2367
exp897,897,0,0,0,0,19,31,20,0,0,0,-1.4,111,-0.4597,-0.2367
exp898,898,0,0,0,11,31,0,0,2,0,26,-1.4,30,-0.3497,-0.2367
exp899,899,0,0,0,0,30,0,0,0,0,40,-1.5,180,-0.2937,-0.2367
exp900,900,0,20,0,13,28,3,0,0,0,6,-1.4,93,-0.3377,-0.2367
exp901,901,0,0,20,15,32,0,0,0,0,3,-1.5,118,-0.3017,-0.2367
exp902,902,0,0,20,5,24,0,0,20,0,1,-1.5,100,-0.3517,-0.2367
exp903,903,0,0,5,14,29,0,0,0,0,22,-1.5,180,-0.3127,-0.2367
exp904,904,0,0,0,0,10,1,20,0,0,39,-1.2,180,-0.5307,-0.2367
exp905,905,0,0,0,0,37,0,0,0,0,33,-1.5,180,-0.2567,-0.2367
exp906,906,1,20,0,20,10,0,0,0,0,19,-1.0,30,-0.6807,-0.2367
exp907,907,0,0,0,20,12,0,0,0,0,0,-1.5,180,-0.3297,-0.2367
exp908,908,0,0,0,0,33,17,0,0,0,21,-1.5,180,-0.2537,-0.2367
exp909,909,0,0,0,20,21,0,0,0,0,0,-1.5,94,-0.3447,-0.2367
exp910,910,0,0,0,20,23,3,0,0,0,21,-1.1,180,-0.2647,-0.2367
exp911,911,0,20,0,20,10,0,0,0,0,0,-1.4,30,-0.6977,-0.2367
exp912,912,0,0,0,0,13,14,0,9,0,34,-1.2,30,-0.5397,-0.2367
exp913,913,0,13,0,3,32,0,0,0,0,21,-1.5,143,-0.4007,-0.2367
exp914,914,0,0,0,20,10,9,0,0,0,0,-1.5,154,-0.3367,-0.2367
exp915,915,0,10,0,0,10,35,0,15,0,0,-1.1,139,-0.5407,-0.2367
exp916,916,0,0,0,2,32,12,12,0,0,11,-1.2,153,-0.3407,-0.2367
exp917,917,0,0,0,0,37,12,0,0,0,21,-1.3,90,-0.2877,-0.2367
