V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,Volt,Time,objective,best_so_far,run,iteration
2.0,10.0,10.0,8.0,2.0,12.0,10.0,2.0,2.0,10.0,-1.1,172.0,-0.4334699999999995,-0.3613499999999995,47,65
8.0,8.0,8.0,9.0,9.0,2.0,7.0,8.0,1.0,9.0,-1.5,172.0,-0.38522799999999896,-0.3613499999999995,47,66
4.0,10.0,0.0,11.0,15.0,15.0,15.0,0.0,0.0,0.0,-1.5,179.0,-0.39499200000000045,-0.3613499999999995,47,67
2.0,2.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,10.0,-1.4000000000000001,172.0,-0.37269400000000025,-0.3613499999999995,47,68
0.0,9.0,1.0,9.0,4.0,9.0,9.0,9.0,9.0,9.0,-1.5,136.0,-0.48237599999999986,-0.3613499999999995,47,69
2.0,11.0,1.0,2.0,2.0,13.0,11.0,2.0,13.0,11.0,-1.1,155.0,-0.8210960000000004,-0.3613499999999995,47,70
7.0,10.0,9.0,7.0,9.0,9.0,10.0,0.0,0.0,9.0,-1.5,161.0,-0.3903100000000007,-0.3613499999999995,47,71
0.0,4.0,9.0,10.0,11.0,12.0,12.0,0.0,0.0,12.0,-1.5,170.0,-0.3705240000000001,-0.3613499999999995,47,72
2.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,2.0,9.0,-1.4000000000000001,155.0,-0.3568340000000002,-0.3568340000000002,47,73
0.0,0.0,10.0,12.0,12.0,12.0,12.0,11.0,0.0,1.0,-1.5,180.0,-0.3954379999999997,-0.3568340000000002,47,74
8.0,8.0,5.0,8.0,8.0,2.0,2.0,8.0,10.0,10.0,-1.1,155.0,-0.4703159999999985,-0.3568340000000002,47,75
2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,-1.4000000000000001,155.0,-0.3542999999999998,-0.3542999999999998,47,76
0.0,0.0,4.0,12.0,13.0,13.0,14.0,14.0,0.0,0.0,-1.5,157.0,-0.39581199999999983,-0.3542999999999998,47,77
1.0,1.0,15.0,3.0,15.0,1.0,1.0,16.0,1.0,16.0,-1.5,111.0,-0.4002059999999998,-0.3542999999999998,47,78
3.0,16.0,3.0,18.0,16.0,3.0,3.0,3.0,3.0,1.0,-1.4000000000000001,155.0,-0.4415280000000007,-0.3542999999999998,47,79
1.0,2.0,9.0,9.0,9.0,9.0,10.0,1.0,10.0,10.0,-1.5,105.0,-0.5351100000000006,-0.3542999999999998,47,80
6.0,2.0,6.0,9.0,9.0,9.0,9.0,9.0,2.0,9.0,-1.4000000000000001,155.0,-0.3807059999999995,-0.3542999999999998,47,81
8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,8.0,-1.4000000000000001,155.0,-0.3563840000000004,-0.3542999999999998,47,82
12.0,2.0,2.0,2.0,12.0,2.0,2.0,12.0,12.0,12.0,-1.4000000000000001,105.0,-0.702245999999999,-0.3542999999999998,47,83
1.0,10.0,7.0,11.0,11.0,10.0,3.0,3.0,3.0,10.0,-1.5,177.0,-0.4273120000000006,-0.3542999999999998,47,84
5.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,1.0,8.0,-1.4000000000000001,155.0,-0.3980259999999998,-0.3542999999999998,47,85
7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,5.0,5.0,-1.4000000000000001,155.0,-0.41252,-0.3542999999999998,47,86
0.0,9.0,10.0,8.0,8.0,6.0,10.0,9.0,0.0,9.0,-1.5,166.0,-0.37086999999999953,-0.3542999999999998,47,87
7.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,2.0,8.0,-1.4000000000000001,155.0,-0.37494599999999956,-0.3542999999999998,47,88
0.0,9.0,9.0,11.0,5.0,12.0,12.0,0.0,0.0,12.0,-1.4000000000000001,119.0,-0.45803600000000144,-0.3542999999999998,47,89
10.0,0.0,11.0,11.0,5.0,0.0,11.0,11.0,0.0,11.0,-1.5,55.0,-0.6032919999999999,-0.3542999999999998,47,90
2.0,9.0,9.0,10.0,10.0,10.0,10.0,2.0,2.0,6.0,-1.0,55.0,-0.5662540000000008,-0.3542999999999998,47,91
0.0,9.0,10.0,11.0,3.0,12.0,13.0,0.0,0.0,12.0,-1.5,147.0,-0.38721600000000017,-0.3542999999999998,47,92
0.0,13.0,6.0,8.0,11.0,6.0,0.0,13.0,0.0,13.0,-1.4000000000000001,112.0,-0.4699440000000007,-0.3542999999999998,47,93
0.0,6.0,1.0,16.0,4.0,0.0,11.0,16.0,0.0,16.0,-1.5,144.0,-0.3891219999999995,-0.3542999999999998,47,94
2.0,9.0,5.0,10.0,9.0,9.0,9.0,9.0,1.0,7.0,-1.5,172.0,-0.36952999999999986,-0.3542999999999998,47,95
2.0,10.0,7.0,9.0,9.0,9.0,10.0,6.0,1.0,7.0,-1.5,172.0,-0.3763979999999997,-0.3542999999999998,47,96
2.0,9.0,9.0,9.0,10.0,9.0,9.0,2.0,2.0,9.0,-1.5,155.0,-0.3296920000000005,-0.3296920000000005,47,97
7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,2.0,6.0,-1.5,172.0,-0.3841479999999995,-0.3296920000000005,47,98
7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,2.0,6.0,-1.5,172.0,-0.3841479999999995,-0.3296920000000005,47,99
0.0,8.0,11.0,13.0,5.0,13.0,7.0,0.0,0.0,13.0,-1.3,180.0,-0.38792200000000043,-0.3296920000000005,47,100
3.0,3.0,9.0,15.0,3.0,15.0,15.0,3.0,1.0,3.0,-1.4000000000000001,155.0,-0.41556200000000004,-0.3296920000000005,47,101
2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,-1.5,155.0,-0.35813999999999946,-0.3296920000000005,47,102
2.0,2.0,2.0,12.0,7.0,12.0,12.0,12.0,2.0,7.0,-1.4000000000000001,155.0,-0.38383400000000006,-0.3296920000000005,47,103
4.0,3.0,13.0,8.0,8.0,13.0,3.0,3.0,1.0,13.0,-1.5,172.0,-0.37796199999999935,-0.3296920000000005,47,104
0.0,10.0,2.0,11.0,8.0,3.0,12.0,12.0,0.0,12.0,-1.5,138.0,-0.38588600000000006,-0.3296920000000005,47,105
0.0,3.0,2.0,6.0,8.0,11.0,13.0,13.0,0.0,13.0,-1.3,137.0,-0.40630999999999995,-0.3296920000000005,47,106
2.0,10.0,10.0,7.0,5.0,10.0,10.0,5.0,1.0,10.0,-1.4000000000000001,172.0,-0.40337799999999985,-0.3296920000000005,47,107
2.0,8.0,8.0,4.0,6.0,12.0,15.0,0.0,0.0,15.0,-1.5,152.0,-0.4278580000000005,-0.3296920000000005,47,108
2.0,2.0,10.0,10.0,10.0,10.0,6.0,6.0,2.0,10.0,-1.4000000000000001,155.0,-0.3908200000000003,-0.3296920000000005,47,109
8.0,8.0,8.0,8.0,6.0,8.0,8.0,2.0,5.0,8.0,-1.5,172.0,-0.4468280000000003,-0.3296920000000005,47,110
4.0,9.0,2.0,11.0,4.0,12.0,13.0,13.0,0.0,0.0,-1.5,180.0,-0.39944799999999947,-0.3296920000000005,47,111
0.0,9.0,10.0,8.0,10.0,10.0,10.0,1.0,2.0,10.0,-1.5,161.0,-0.3448660000000006,-0.3296920000000005,47,112
0.0,9.0,10.0,6.0,10.0,1.0,10.0,10.0,4.0,10.0,-1.5,166.0,-0.4439839999999997,-0.3296920000000005,47,113
2.0,9.0,4.0,10.0,9.0,1.0,0.0,15.0,15.0,5.0,-1.2000000000000002,46.0,-0.621882,-0.621882,48,1
9.0,9.0,11.0,11.0,11.0,2.0,7.0,6.0,4.0,0.0,-1.0,103.0,-0.576572,-0.576572,48,2
5.0,9.0,6.0,4.0,10.0,6.0,9.0,4.0,7.0,10.0,-1.4000000000000001,169.0,-0.4743440000000002,-0.4743440000000002,48,3
6.0,8.0,3.0,1.0,8.0,8.0,12.0,12.0,5.0,6.0,-1.3,152.0,-0.5140079999999994,-0.4743440000000002,48,4
4.0,2.0,11.0,11.0,5.0,5.0,10.0,9.0,11.0,2.0,-1.1,127.0,-0.5922299999999999,-0.4743440000000002,48,5
15.0,9.0,1.0,11.0,3.0,13.0,6.0,3.0,2.0,6.0,-1.4000000000000001,53.0,-0.5852540000000012,-0.4743440000000002,48,6
12.0,4.0,9.0,7.0,0.0,14.0,3.0,0.0,11.0,10.0,-1.5,111.0,-0.5561820000000007,-0.4743440000000002,48,7
4.0,4.0,11.0,3.0,9.0,10.0,5.0,8.0,0.0,16.0,-1.1,77.0,-0.5313039999999991,-0.4743440000000002,48,8
6.0,6.0,2.0,11.0,4.0,7.0,6.0,9.0,9.0,10.0,-1.2000000000000002,162.0,-0.5084260000000005,-0.4743440000000002,48,9
6.0,10.0,6.0,2.0,10.0,2.0,10.0,6.0,6.0,10.0,-1.4000000000000001,155.0,-0.6774499999999989,-0.4743440000000002,48,10
0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,10.0,-1.1,180.0,-0.7459020000000005,-0.4743440000000002,48,11
4.0,8.0,4.0,6.0,8.0,6.0,8.0,7.0,7.0,10.0,-1.4000000000000001,155.0,-0.47224600000000017,-0.47224600000000017,48,12
4.0,9.0,3.0,8.0,8.0,9.0,8.0,3.0,8.0,8.0,-1.2000000000000002,172.0,-0.41516800000000037,-0.41516800000000037,48,13
5.0,9.0,5.0,5.0,9.0,5.0,9.0,5.0,7.0,9.0,-1.3,172.0,-0.4826900000000001,-0.41516800000000037,48,14
8.0,8.0,6.0,8.0,8.0,7.0,8.0,0.0,8.0,7.0,-1.5,72.0,-0.5253940000000011,-0.41516800000000037,48,15
0.0,12.0,0.0,12.0,12.0,11.0,0.0,0.0,12.0,11.0,-1.0,177.0,-0.5095420000000004,-0.41516800000000037,48,16
11.0,11.0,2.0,2.0,2.0,11.0,7.0,11.0,11.0,2.0,-1.4000000000000001,155.0,-0.7711019999999998,-0.41516800000000037,48,17
6.0,2.0,10.0,10.0,10.0,12.0,2.0,2.0,3.0,12.0,-1.4000000000000001,55.0,-0.49962000000000145,-0.41516800000000037,48,18
10.0,2.0,2.0,10.0,10.0,10.0,10.0,2.0,2.0,10.0,-1.4000000000000001,55.0,-0.5509420000000005,-0.41516800000000037,48,19
3.0,12.0,12.0,3.0,12.0,7.0,7.0,3.0,3.0,7.0,-1.4000000000000001,155.0,-0.46567599999999987,-0.41516800000000037,48,20
0.0,10.0,10.0,9.0,10.0,5.0,10.0,3.0,1.0,10.0,-1.0,112.0,-0.5385940000000008,-0.41516800000000037,48,21
2.0,9.0,9.0,2.0,1.0,9.0,10.0,9.0,9.0,9.0,-1.1,155.0,-0.7739279999999998,-0.41516800000000037,48,22
6.0,3.0,10.0,10.0,11.0,11.0,2.0,2.0,3.0,11.0,-1.4000000000000001,55.0,-0.5011840000000015,-0.41516800000000037,48,23
2.0,2.0,2.0,12.0,12.0,12.0,9.0,2.0,4.0,13.0,-1.1,172.0,-0.42800999999999934,-0.41516800000000037,48,24
2.0,7.0,11.0,11.0,11.0,2.0,2.0,2.0,11.0,11.0,-1.1,155.0,-0.4509079999999997,-0.41516800000000037,48,25
4.0,11.0,11.0,11.0,11.0,9.0,0.0,0.0,11.0,0.0,-1.0,179.0,-0.5076280000000002,-0.41516800000000037,48,26
6.0,3.0,10.0,10.0,10.0,10.0,2.0,1.0,7.0,11.0,-1.4000000000000001,55.0,-0.5030360000000017,-0.41516800000000037,48,27
10.0,1.0,9.0,9.0,11.0,6.0,9.0,2.0,2.0,11.0,-1.4000000000000001,55.0,-0.5431420000000005,-0.41516800000000037,48,28
6.0,6.0,2.0,6.0,10.0,10.0,6.0,6.0,6.0,10.0,-1.1,155.0,-0.4863359999999999,-0.41516800000000037,48,29
1.0,3.0,12.0,13.0,13.0,3.0,8.0,3.0,1.0,13.0,-1.1,155.0,-0.39995799999999965,-0.39995799999999965,48,30
4.0,4.0,2.0,10.0,10.0,10.0,8.0,4.0,7.0,11.0,-1.1,155.0,-0.44585999999999987,-0.39995799999999965,48,31
1.0,8.0,12.0,8.0,13.0,3.0,8.0,1.0,3.0,13.0,-1.2000000000000002,155.0,-0.38998200000000005,-0.38998200000000005,48,32
3.0,4.0,12.0,8.0,12.0,3.0,9.0,3.0,3.0,13.0,-1.1,155.0,-0.4333759999999994,-0.38998200000000005,48,33
2.0,12.0,12.0,12.0,13.0,2.0,4.0,2.0,2.0,9.0,-1.4000000000000001,172.0,-0.38514400000000065,-0.38514400000000065,48,34
1.0,0.0,0.0,8.0,14.0,14.0,14.0,4.0,0.0,14.0,-1.3,179.0,-0.3785579999999994,-0.3785579999999994,48,35
2.0,11.0,11.0,10.0,13.0,2.0,7.0,2.0,2.0,8.0,-1.4000000000000001,155.0,-0.3613440000000006,-0.3613440000000006,48,36
2.0,12.0,12.0,10.0,12.0,2.0,7.0,2.0,2.0,9.0,-1.4000000000000001,155.0,-0.37383800000000084,-0.3613440000000006,48,37
11.0,11.0,11.0,7.0,10.0,11.0,2.0,1.0,2.0,2.0,-1.5,172.0,-0.43795400000000095,-0.3613440000000006,48,38
3.0,13.0,13.0,8.0,14.0,1.0,1.0,1.0,3.0,13.0,-1.5,122.0,-0.5140260000000013,-0.3613440000000006,48,39
3.0,12.0,12.0,12.0,12.0,1.0,4.0,3.0,3.0,8.0,-1.4000000000000001,155.0,-0.4228680000000003,-0.3613440000000006,48,40
3.0,11.0,11.0,8.0,11.0,12.0,12.0,2.0,0.0,0.0,-1.3,179.0,-0.3935500000000007,-0.3613440000000006,48,41
3.0,3.0,12.0,13.0,12.0,3.0,11.0,3.0,3.0,7.0,-1.4000000000000001,172.0,-0.41267800000000043,-0.3613440000000006,48,42
3.0,7.0,13.0,9.0,14.0,3.0,6.0,3.0,3.0,9.0,-1.1,155.0,-0.4348659999999995,-0.3613440000000006,48,43
3.0,8.0,13.0,8.0,13.0,3.0,8.0,3.0,3.0,8.0,-1.4000000000000001,155.0,-0.40738800000000047,-0.3613440000000006,48,44
9.0,9.0,10.0,2.0,10.0,10.0,10.0,2.0,2.0,6.0,-1.4000000000000001,55.0,-0.5681379999999991,-0.3613440000000006,48,45
2.0,2.0,12.0,1.0,12.0,2.0,13.0,13.0,12.0,1.0,-1.1,38.0,-0.6784080000000016,-0.3613440000000006,48,46
2.0,12.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,12.0,-1.4000000000000001,155.0,-0.39077000000000023,-0.3613440000000006,48,47
1.0,3.0,13.0,11.0,13.0,3.0,11.0,3.0,1.0,11.0,-1.4000000000000001,172.0,-0.372358,-0.3613440000000006,48,48
3.0,12.0,3.0,3.0,12.0,3.0,12.0,12.0,3.0,7.0,-1.4000000000000001,105.0,-0.5244440000000006,-0.3613440000000006,48,49
2.0,11.0,11.0,11.0,11.0,2.0,11.0,2.0,2.0,7.0,-1.4000000000000001,105.0,-0.4951920000000009,-0.3613440000000006,48,50
2.0,2.0,2.0,11.0,7.0,11.0,8.0,11.0,2.0,11.0,-1.2000000000000002,172.0,-0.39090799999999976,-0.3613440000000006,48,51
1.0,7.0,7.0,10.0,13.0,7.0,8.0,2.0,2.0,13.0,-1.3,172.0,-0.3388960000000003,-0.3388960000000003,48,52
1.0,9.0,3.0,12.0,12.0,9.0,8.0,1.0,2.0,12.0,-1.3,172.0,-0.3530180000000004,-0.3388960000000003,48,53
13.0,16.0,0.0,17.0,1.0,5.0,17.0,0.0,0.0,1.0,-1.5,177.0,-0.5100479999999996,-0.3388960000000003,48,54
2.0,7.0,7.0,11.0,11.0,7.0,8.0,2.0,2.0,11.0,-1.2000000000000002,155.0,-0.3320140000000004,-0.3320140000000004,48,55
2.0,11.0,5.0,9.0,10.0,8.0,9.0,2.0,2.0,12.0,-1.3,155.0,-0.3503920000000011,-0.3320140000000004,48,56
0.0,14.0,11.0,9.0,8.0,15.0,3.0,0.0,0.0,10.0,-1.3,180.0,-0.4210800000000016,-0.3320140000000004,48,57
0.0,0.0,11.0,9.0,12.0,12.0,12.0,2.0,0.0,12.0,-1.3,158.0,-0.352982,-0.3320140000000004,48,58
3.0,13.0,13.0,11.0,13.0,1.0,9.0,3.0,1.0,3.0,-1.3,55.0,-0.5612240000000005,-0.3320140000000004,48,59
10.0,0.0,10.0,8.0,11.0,11.0,7.0,2.0,0.0,11.0,-1.3,161.0,-0.4210580000000001,-0.3320140000000004,48,60
16.0,0.0,14.0,8.0,12.0,0.0,7.0,2.0,0.0,11.0,-1.2000000000000002,180.0,-0.5370219999999991,-0.3320140000000004,48,61
3.0,8.0,1.0,13.0,12.0,6.0,12.0,1.0,1.0,13.0,-1.3,172.0,-0.3859780000000005,-0.3320140000000004,48,62
1.0,4.0,1.0,12.0,13.0,13.0,7.0,1.0,5.0,13.0,-1.2000000000000002,155.0,-0.39903800000000056,-0.3320140000000004,48,63
1.0,2.0,1.0,12.0,12.0,9.0,10.0,6.0,4.0,13.0,-1.2000000000000002,172.0,-0.4170280000000001,-0.3320140000000004,48,64
0.0,10.0,10.0,8.0,10.0,10.0,10.0,2.0,0.0,10.0,-1.3,156.0,-0.36441800000000096,-0.3320140000000004,48,65
13.0,16.0,1.0,16.0,1.0,5.0,16.0,0.0,1.0,1.0,-1.5,177.0,-0.5098739999999996,-0.3320140000000004,48,66
1.0,9.0,10.0,9.0,10.0,10.0,7.0,10.0,1.0,3.0,-1.3,155.0,-0.37474599999999975,-0.3320140000000004,48,67
1.0,10.0,2.0,11.0,11.0,1.0,2.0,11.0,11.0,10.0,-1.0,38.0,-0.6040359999999992,-0.3320140000000004,48,68
2.0,13.0,2.0,1.0,13.0,1.0,2.0,11.0,13.0,11.0,-1.0,38.0,-0.6754879999999992,-0.3320140000000004,48,69
1.0,11.0,2.0,12.0,8.0,12.0,10.0,1.0,1.0,12.0,-1.1,172.0,-0.40649200000000013,-0.3320140000000004,48,70
2.0,9.0,6.0,9.0,10.0,10.0,10.0,2.0,2.0,10.0,-1.4000000000000001,155.0,-0.3309860000000008,-0.3309860000000008,48,71
1.0,1.0,14.0,14.0,15.0,1.0,8.0,1.0,1.0,14.0,-1.5,72.0,-0.47942800000000035,-0.3309860000000008,48,72
1.0,9.0,10.0,9.0,5.0,10.0,10.0,1.0,5.0,10.0,-1.5,172.0,-0.4408040000000007,-0.3309860000000008,48,73
10.0,11.0,11.0,11.0,1.0,1.0,2.0,11.0,1.0,11.0,-1.5,172.0,-0.5026599999999992,-0.3309860000000008,48,74
1.0,8.0,10.0,10.0,10.0,7.0,3.0,10.0,1.0,10.0,-1.0,177.0,-0.43048800000000015,-0.3309860000000008,48,75
11.0,7.0,11.0,12.0,12.0,11.0,3.0,1.0,0.0,1.0,-1.0,177.0,-0.4849440000000005,-0.3309860000000008,48,76
1.0,0.0,15.0,15.0,15.0,0.0,4.0,1.0,15.0,4.0,-1.5,177.0,-0.5535920000000013,-0.3309860000000008,48,77
2.0,7.0,10.0,11.0,11.0,7.0,7.0,2.0,2.0,11.0,-1.4000000000000001,155.0,-0.32846000000000086,-0.32846000000000086,48,78
2.0,6.0,10.0,11.0,10.0,10.0,7.0,2.0,1.0,10.0,-1.4000000000000001,155.0,-0.34724000000000077,-0.32846000000000086,48,79
2.0,9.0,6.0,9.0,10.0,10.0,10.0,2.0,2.0,10.0,-1.4000000000000001,155.0,-0.3309860000000008,-0.32846000000000086,48,80
0.0,0.0,9.0,14.0,14.0,16.0,16.0,1.0,0.0,0.0,-1.5,180.0,-0.4064519999999997,-0.32846000000000086,48,81
2.0,1.0,12.0,13.0,2.0,1.0,14.0,12.0,1.0,12.0,-1.5,172.0,-0.42934399999999895,-0.32846000000000086,48,82
1.0,4.0,13.0,13.0,1.0,13.0,9.0,2.0,1.0,13.0,-1.5,172.0,-0.4132419999999999,-0.32846000000000086,48,83
17.0,1.0,3.0,17.0,1.0,3.0,3.0,17.0,3.0,3.0,-1.0,155.0,-0.6063839999999998,-0.32846000000000086,48,84
1.0,9.0,8.0,8.0,9.0,9.0,8.0,1.0,6.0,9.0,-1.5,122.0,-0.46846400000000127,-0.32846000000000086,48,85
1.0,13.0,1.0,9.0,4.0,13.0,13.0,1.0,0.0,14.0,-1.5,127.0,-0.4951700000000002,-0.32846000000000086,48,86
2.0,2.0,11.0,8.0,2.0,11.0,11.0,11.0,1.0,11.0,-1.5,172.0,-0.42075399999999835,-0.32846000000000086,48,87
1.0,9.0,8.0,8.0,9.0,9.0,8.0,1.0,6.0,9.0,-1.5,122.0,-0.46846400000000127,-0.32846000000000086,48,88
0.0,6.0,10.0,8.0,8.0,10.0,9.0,9.0,0.0,10.0,-1.4000000000000001,177.0,-0.3665779999999995,-0.32846000000000086,48,89
3.0,12.0,3.0,1.0,3.0,12.0,3.0,12.0,8.0,13.0,-1.1,38.0,-0.6468559999999998,-0.32846000000000086,48,90
2.0,9.0,9.0,10.0,6.0,10.0,2.0,10.0,2.0,10.0,-1.4000000000000001,155.0,-0.39884599999999953,-0.32846000000000086,48,91
0.0,0.0,11.0,6.0,12.0,12.0,12.0,0.0,5.0,12.0,-1.5,33.0,-0.5705980000000008,-0.32846000000000086,48,92
2.0,12.0,12.0,11.0,11.0,13.0,0.0,0.0,1.0,8.0,-1.3,168.0,-0.3921400000000009,-0.32846000000000086,48,93
2.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,9.0,-1.2000000000000002,155.0,-0.3252420000000004,-0.3252420000000004,48,94
0.0,8.0,11.0,8.0,11.0,11.0,11.0,0.0,0.0,9.0,-1.3,157.0,-0.34109000000000084,-0.3252420000000004,48,95
1.0,1.0,1.0,8.0,15.0,14.0,14.0,14.0,0.0,1.0,-1.5,177.0,-0.37795399999999935,-0.3252420000000004,48,96
1.0,8.0,8.0,8.0,9.0,10.0,10.0,1.0,5.0,10.0,-1.5,122.0,-0.47764400000000123,-0.3252420000000004,48,97
1.0,4.0,1.0,13.0,13.0,10.0,1.0,13.0,0.0,14.0,-1.5,177.0,-0.3758139999999992,-0.3252420000000004,48,98
2.0,6.0,6.0,10.0,10.0,10.0,10.0,2.0,2.0,10.0,-1.2000000000000002,155.0,-0.35040600000000033,-0.3252420000000004,48,99
1.0,9.0,9.0,9.0,9.0,10.0,2.0,10.0,1.0,10.0,-1.3,172.0,-0.3653399999999995,-0.3252420000000004,48,100
2.0,7.0,7.0,10.0,11.0,11.0,7.0,2.0,2.0,11.0,-1.4000000000000001,155.0,-0.33789800000000075,-0.3252420000000004,48,101
8.0,11.0,11.0,11.0,11.0,11.0,2.0,2.0,1.0,2.0,-1.4000000000000001,155.0,-0.394086000000001,-0.3252420000000004,48,102
0.0,11.0,11.0,6.0,11.0,11.0,12.0,1.0,3.0,4.0,-1.5,172.0,-0.4881140000000004,-0.3252420000000004,48,103
2.0,6.0,6.0,10.0,10.0,10.0,6.0,6.0,2.0,10.0,-1.2000000000000002,155.0,-0.3810200000000001,-0.3252420000000004,48,104
6.0,9.0,9.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,-1.4000000000000001,155.0,-0.38164200000000087,-0.3252420000000004,48,105
0.0,11.0,11.0,6.0,11.0,11.0,12.0,1.0,3.0,4.0,-1.5,172.0,-0.48811400000000044,-0.3252420000000004,48,106
6.0,10.0,10.0,10.0,10.0,12.0,2.0,2.0,5.0,1.0,-1.4000000000000001,172.0,-0.4245700000000002,-0.3252420000000004,48,107
0.0,11.0,11.0,6.0,12.0,12.0,12.0,0.0,3.0,3.0,-1.5,172.0,-0.48769000000000046,-0.3252420000000004,48,108
0.0,15.0,1.0,4.0,15.0,16.0,0.0,16.0,3.0,0.0,-1.0,144.0,-0.5167140000000005,-0.3252420000000004,48,109
12.0,2.0,12.0,2.0,12.0,2.0,2.0,2.0,12.0,12.0,-1.1,155.0,-0.684432,-0.3252420000000004,48,110
7.0,7.0,10.0,11.0,11.0,11.0,7.0,2.0,2.0,2.0,-1.4000000000000001,155.0,-0.37557400000000063,-0.3252420000000004,48,111
7.0,11.0,11.0,11.0,11.0,13.0,2.0,2.0,1.0,1.0,-1.4000000000000001,55.0,-0.48333200000000065,-0.3252420000000004,48,112
4.0,2.0,8.0,7.0,12.0,12.0,8.0,9.0,0.0,7.0,-1.3,180.0,-0.38662999999999914,-0.3252420000000004,48,113
4.0,8.0,1.0,9.0,11.0,8.0,3.0,8.0,9.0,9.0,-1.1,113.0,-0.5690400000000008,-0.5690400000000008,49,1
4.0,5.0,11.0,10.0,0.0,5.0,8.0,6.0,14.0,6.0,-1.4000000000000001,171.0,-0.5968559999999998,-0.5690400000000008,49,2
11.0,10.0,2.0,5.0,2.0,11.0,3.0,9.0,7.0,10.0,-1.1,125.0,-0.6322900000000007,-0.5690400000000008,49,3
8.0,1.0,6.0,10.0,11.0,11.0,9.0,6.0,6.0,2.0,-1.5,69.0,-0.47961800000000115,-0.47961800000000115,49,4
2.0,7.0,5.0,15.0,10.0,10.0,1.0,3.0,3.0,14.0,-1.2000000000000002,154.0,-0.4140780000000005,-0.4140780000000005,49,5
12.0,12.0,11.0,2.0,7.0,2.0,10.0,1.0,9.0,4.0,-1.0,103.0,-0.726508,-0.4140780000000005,49,6
7.0,3.0,9.0,0.0,7.0,0.0,14.0,15.0,5.0,10.0,-1.4000000000000001,57.0,-0.7155959999999993,-0.4140780000000005,49,7
11.0,8.0,13.0,5.0,4.0,6.0,7.0,13.0,1.0,0.0,-1.3,39.0,-0.5761400000000005,-0.4140780000000005,49,8
9.0,10.0,9.0,1.0,6.0,10.0,9.0,3.0,9.0,4.0,-1.1,87.0,-0.6631619999999996,-0.4140780000000005,49,9
2.0,5.0,5.0,13.0,12.0,12.0,2.0,2.0,4.0,12.0,-1.3,105.0,-0.4379740000000014,-0.4140780000000005,49,10
1.0,8.0,8.0,16.0,10.0,8.0,1.0,1.0,3.0,14.0,-1.2000000000000002,155.0,-0.4025100000000008,-0.4025100000000008,49,11
3.0,7.0,6.0,12.0,11.0,11.0,1.0,3.0,4.0,12.0,-1.2000000000000002,122.0,-0.47948000000000063,-0.4025100000000008,49,12
3.0,3.0,7.0,12.0,12.0,7.0,7.0,3.0,7.0,7.0,-1.4000000000000001,105.0,-0.4593100000000016,-0.4025100000000008,49,13
10.0,10.0,10.0,11.0,2.0,3.0,10.0,11.0,1.0,1.0,-1.5,55.0,-0.5797660000000004,-0.4025100000000008,49,14
3.0,3.0,7.0,12.0,12.0,7.0,7.0,3.0,7.0,7.0,-1.4000000000000001,105.0,-0.4593100000000016,-0.4025100000000008,49,15
2.0,0.0,6.0,17.0,18.0,9.0,0.0,0.0,0.0,18.0,-1.5,180.0,-0.3775699999999985,-0.3775699999999985,49,16
0.0,5.0,0.0,15.0,15.0,15.0,4.0,15.0,0.0,0.0,-1.5,30.0,-0.4494740000000012,-0.3775699999999985,49,17
3.0,16.0,3.0,18.0,3.0,16.0,3.0,1.0,3.0,3.0,-1.4000000000000001,55.0,-0.5159680000000003,-0.3775699999999985,49,18
1.0,1.0,3.0,4.0,14.0,14.0,3.0,13.0,3.0,14.0,-1.5,172.0,-0.43935999999999914,-0.3775699999999985,49,19
11.0,2.0,11.0,2.0,11.0,11.0,11.0,7.0,2.0,2.0,-1.1,155.0,-0.5782059999999999,-0.3775699999999985,49,20
0.0,2.0,15.0,15.0,14.0,8.0,15.0,0.0,0.0,0.0,-1.0,180.0,-0.44159999999999966,-0.3775699999999985,49,21
1.0,5.0,0.0,14.0,14.0,15.0,1.0,0.0,15.0,5.0,-1.5,30.0,-0.5427100000000002,-0.3775699999999985,49,22
1.0,9.0,9.0,1.0,9.0,9.0,10.0,10.0,2.0,10.0,-1.0,155.0,-0.5523600000000007,-0.3775699999999985,49,23
3.0,3.0,6.0,14.0,15.0,11.0,3.0,1.0,3.0,11.0,-1.4000000000000001,155.0,-0.41163200000000105,-0.3775699999999985,49,24
