Experiment,exp_num,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,Volt,Time,Overpotential V at 50.0 mA cm-2,best_so_far
exp729,729,20,0,0,0,0,20,30,0,0,0,-1.0,64,-0.8617,-0.8617
exp730,730,0,0,0,19,0,11,17,0,0,0,-1.2,84,-0.5817,-0.5817
exp731,731,0,0,0,7,17,25,0,0,0,0,-1.5,30,-0.4757,-0.4757
exp732,732,6,0,0,0,25,0,30,0,0,0,-1.0,136,-0.5817,-0.4757
exp733,733,0,17,0,15,17,0,0,20,0,0,-1.5,180,-0.3787,-0.3787
exp734,734,0,0,0,33,0,0,0,0,0,0,-1.5,180,-0.5437,-0.3787
exp735,735,20,0,10,40,0,0,0,0,0,0,-1.5,177,-0.5387,-0.3787
exp736,736,0,20,0,16,0,0,28,0,0,7,-1.0,180,-0.3177,-0.3177
exp737,737,0,0,0,28,19,0,0,2,0,0,-1.3,180,-0.4037,-0.3177
exp738,738,0,0,0,33,0,0,30,0,7,0,-1.5,30,-0.5067,-0.3177
exp739,739,0,25,0,40,0,3,0,2,0,0,-1.0,180,-0.4877,-0.3177
exp740,740,0,0,20,1,12,7,0,30,0,0,-1.5,180,-0.4327,-0.3177
exp741,741,0,24,0,40,6,0,0,0,0,0,-1.5,137,-0.5187,-0.3177
exp742,742,0,0,0,25,16,15,0,0,0,0,-1.2,180,-0.4717,-0.3177
exp743,743,0,16,0,27,0,0,0,14,14,0,-1.5,180,-0.4097,-0.3177
exp744,744,0,0,0,0,25,15,30,0,0,0,-1.4,30,-0.5917,-0.3177
exp745,745,0,0,0,1,25,3,0,17,0,0,-1.5,61,-0.3157,-0.3157
exp746,746,0,0,0,0,25,0,0,0,0,0,-1.3,180,-0.6917,-0.3157
exp748,748,0,23,0,22,25,0,0,0,0,0,-1.5,180,-0.5267,-0.3157
exp749,749,0,0,20,23,0,0,0,0,0,0,-1.1,180,-0.5507,-0.3157
exp750,750,0,0,20,6,0,9,0,0,0,0,-1.5,136,-0.3957,-0.3157
exp751,751,0,0,0,38,0,0,0,15,0,0,-1.5,180,-0.3487,-0.3157
exp752,752,0,0,20,26,0,0,4,0,0,20,-1.5,180,-0.1607,-0.1607
exp753,753,0,0,20,0,25,15,0,0,0,0,-1.5,165,-0.3297,-0.1607
exp754,754,0,0,20,0,20,0,30,0,0,0,-1.5,180,-0.4077,-0.1607
exp755,755,0,0,0,26,0,8,30,0,0,6,-1.0,180,-0.3887,-0.1607
exp756,756,0,0,0,20,20,0,0,30,0,0,-1.5,180,-0.3147,-0.1607
exp757,757,8,24,0,38,0,0,0,0,0,0,-1.5,180,-0.2127,-0.1607
exp758,758,0,0,0,14,25,0,26,0,0,5,-1.1,180,-0.2957,-0.1607
exp759,759,20,25,0,20,0,0,5,0,0,0,-1.5,180,-0.6817,-0.1607
exp760,760,0,0,0,0,12,25,0,0,0,0,-1.3,65,-0.4767,-0.1607
exp761,761,0,25,0,13,0,0,0,0,32,0,-1.0,180,-0.4447,-0.1607
exp762,762,0,3,0,33,9,25,0,0,0,0,-1.5,180,-0.4497,-0.1607
exp763,763,0,0,20,30,20,0,0,0,0,0,-1.5,180,-0.3867,-0.1607
exp764,764,0,19,0,16,0,0,0,0,35,0,-1.0,168,-0.4387,-0.1607
exp765,765,0,5,0,38,2,25,0,0,0,0,-1.5,30,-0.6527,-0.1607
exp766,766,0,0,20,20,0,0,0,30,0,0,-1.5,180,-0.3817,-0.1607
exp767,767,0,20,20,5,0,25,0,0,0,0,-1.5,30,-0.6237,-0.1607
exp768,768,0,0,0,38,0,0,0,12,0,20,-1.5,125,-0.3697,-0.1607
exp769,769,0,0,0,28,0,10,30,0,0,2,-1.2,180,-0.3467,-0.1607
exp770,770,0,25,0,15,25,3,0,2,0,0,-1.3,180,-0.4357,-0.1607
exp771,771,0,21,0,14,5,3,28,0,0,0,-1.0,180,-0.5487,-0.1607
exp772,772,0,25,20,22,0,0,0,0,0,3,-1.5,180,-0.1697,-0.1607
exp774,774,0,23,0,22,0,0,22,3,0,0,-1.0,180,-0.5657,-0.1607
exp775,775,0,25,0,17,0,25,0,3,0,0,-1.0,66,-0.6477,-0.1607
exp776,776,4,0,0,36,0,0,0,30,0,0,-1.5,180,-0.3447,-0.1607
exp777,777,0,0,0,12,25,0,0,0,0,20,-1.5,180,-0.3467,-0.1607
exp778,778,0,23,20,26,0,0,0,1,0,0,-1.5,180,-0.3827,-0.1607
exp779,779,0,0,0,21,0,19,16,14,0,0,-1.5,30,-0.4877,-0.1607
exp780,780,0,0,0,38,25,0,1,5,0,0,-1.5,180,-0.3137,-0.1607
exp781,781,0,0,0,34,1,0,11,24,0,0,-1.5,30,-0.4227,-0.1607
exp782,782,0,0,20,15,0,0,26,0,0,9,-1.1,180,-0.5527,-0.1607
exp783,783,0,0,0,30,0,0,30,0,0,10,-1.0,148,-0.3277,-0.1607
exp784,784,0,0,0,31,0,0,0,25,0,0,-1.5,180,-0.3457,-0.1607
exp785,785,0,0,0,0,25,12,0,12,0,20,-1.5,180,-0.2887,-0.1607
exp786,786,0,0,0,40,0,0,0,0,30,0,-1.5,165,-0.4207,-0.1607
exp787,787,0,0,20,29,0,0,0,21,0,0,-1.5,146,-0.3857,-0.1607
exp788,788,0,0,0,40,0,0,0,0,0,0,-1.5,66,-0.5537,-0.1607
exp800,800,0,20,15,25,0,0,0,2,0,8,-1.3,180,-0.4027,-0.1607
exp800,800,0,20,15,25,0,0,0,2,0,8,-1.3,180,-0.4027,-0.1607
exp801,801,0,28,25,17,0,0,0,0,0,0,-1.0,180,-0.4437,-0.1607
exp801,801,0,28,25,17,0,0,0,0,0,0,-1.0,180,-0.4437,-0.1607
exp803,803,5,20,25,17,0,0,0,0,0,3,-1.5,30,-0.3967,-0.1607
exp803,803,5,20,25,17,0,0,0,0,0,3,-1.5,30,-0.3967,-0.1607
exp804,804,0,20,24,17,0,0,4,0,5,0,-1.5,180,-0.4357,-0.1607
exp804,804,0,20,24,17,0,0,4,0,5,0,-1.5,180,-0.4357,-0.1607
exp805,805,0,20,15,22,0,0,0,5,0,8,-1.4,180,-0.3897,-0.1607
exp805,805,0,20,15,22,0,0,0,5,0,8,-1.4,180,-0.3897,-0.1607
exp806,806,0,20,25,17,5,0,0,0,0,0,-1.0,180,-0.6167,-0.1607
exp806,806,0,20,25,17,5,0,0,0,0,0,-1.0,180,-0.6167,-0.1607
exp807,807,0,20,25,25,0,0,0,0,0,0,-1.5,30,-0.3977,-0.1607
exp807,807,0,20,25,25,0,0,0,0,0,0,-1.5,30,-0.3977,-0.1607
exp808,808,5,30,15,17,0,0,0,0,0,3,-1.5,30,-0.3897,-0.1607
exp808,808,5,30,15,17,0,0,0,0,0,3,-1.5,30,-0.3897,-0.1607
exp809,809,0,30,15,20,0,5,0,0,0,0,-1.0,180,-0.3807,-0.1607
exp809,809,0,30,15,20,0,5,0,0,0,0,-1.0,180,-0.3807,-0.1607
exp810,810,0,30,15,17,0,0,0,4,0,4,-1.5,30,-0.4467,-0.1607
exp810,810,0,30,15,17,0,0,0,4,0,4,-1.5,30,-0.4467,-0.1607
exp811,811,0,20,15,27,0,0,0,0,0,8,-1.5,78,-0.3447,-0.1607
exp811,811,0,20,15,27,0,0,0,0,0,8,-1.5,78,-0.3447,-0.1607
exp812,812,0,20,23,22,0,0,0,0,5,0,-1.0,30,-0.6947,-0.1607
exp812,812,0,20,23,22,0,0,0,0,5,0,-1.0,30,-0.6947,-0.1607
exp813,813,0,30,15,17,0,0,0,0,0,8,-1.3,180,-0.3357,-0.1607
exp813,813,0,30,15,17,0,0,0,0,0,8,-1.3,180,-0.3357,-0.1607
exp814,814,0,20,18,27,0,0,0,0,5,0,-1.3,180,-0.7027,-0.1607
exp814,814,0,20,18,27,0,0,0,0,5,0,-1.3,180,-0.7027,-0.1607
exp815,815,0,20,15,23,0,5,0,0,0,7,-1.5,180,-0.2867,-0.1607
exp815,815,0,20,15,23,0,5,0,0,0,7,-1.5,180,-0.2867,-0.1607
exp816,816,5,20,25,17,0,0,0,0,0,3,-1.5,136,-0.1797,-0.1607
exp816,816,5,20,25,17,0,0,0,0,0,3,-1.5,136,-0.1797,-0.1607
exp817,817,5,20,18,27,0,0,0,0,0,0,-1.5,180,-0.1687,-0.1607
exp817,817,5,20,18,27,0,0,0,0,0,0,-1.5,180,-0.1687,-0.1607
exp818,818,5,30,15,20,0,0,0,0,0,0,-1.5,30,-0.3957,-0.1607
exp818,818,5,30,15,20,0,0,0,0,0,0,-1.5,30,-0.3957,-0.1607
exp819,819,0,20,15,27,0,5,0,3,0,0,-1.5,180,-0.4587,-0.1607
exp819,819,0,20,15,27,0,5,0,3,0,0,-1.5,180,-0.4587,-0.1607
exp820,820,5,20,25,17,0,0,0,0,0,3,-1.0,30,-0.5767,-0.1607
exp820,820,5,20,25,17,0,0,0,0,0,3,-1.0,30,-0.5767,-0.1607
exp821,821,5,20,25,20,0,0,0,0,0,0,-1.5,180,-0.1757,-0.1607
exp821,821,5,20,25,20,0,0,0,0,0,0,-1.5,180,-0.1757,-0.1607
exp822,822,0,20,25,25,0,0,0,0,0,0,-1.5,30,-0.3947,-0.1607
exp822,822,0,20,25,25,0,0,0,0,0,0,-1.5,30,-0.3947,-0.1607
exp823,823,0,20,25,21,0,4,0,0,0,0,-1.5,180,-0.4147,-0.1607
exp823,823,0,20,25,21,0,4,0,0,0,0,-1.5,180,-0.4147,-0.1607
