Experiment,exp_num,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,Volt,Time,Overpotential V at 50.0 mA cm-2,best_so_far
exp609,609,0,0,29,23,7,0,0,0,0,10,-1.5,56,-0.4257,-0.4257
exp610,610,0,0,0,25,13,0,3,0,0,10,-1.5,180,-0.5257,-0.4257
exp611,611,0,0,37,23,0,0,0,0,0,10,-1.2,180,-0.3507,-0.3507
exp612,612,0,0,28,18,0,0,0,0,0,24,-1.5,180,-0.4377,-0.3507
exp613,613,0,0,0,0,20,20,20,0,0,10,-1.2,30,-0.3807,-0.3507
exp614,614,0,0,40,0,20,0,0,0,0,10,-1.5,150,-0.2967,-0.2967
exp615,615,0,1,0,22,0,20,0,0,0,27,-1.0,111,-0.3867,-0.2967
exp616,616,0,0,31,18,11,0,0,0,0,10,-1.5,180,-0.1977,-0.1977
exp617,617,0,20,40,0,0,0,0,0,0,10,-1.5,180,-0.5967,-0.1977
exp619,619,0,0,0,0,20,0,0,0,0,50,-1.5,30,-0.5277,-0.1977
exp620,620,0,0,0,3,11,16,30,0,0,10,-1.0,180,-0.3567,-0.1977
exp621,621,0,0,2,25,0,4,0,0,0,10,-1.0,180,-0.3377,-0.1977
exp622,622,0,0,37,19,0,0,0,4,0,10,-1.4,180,-0.4907,-0.1977
exp623,623,0,0,17,13,0,0,30,0,0,10,-1.0,90,-0.4047,-0.1977
exp624,624,0,0,40,20,0,0,0,0,0,10,-1.4,84,-0.4187,-0.1977
exp625,625,0,0,0,25,10,0,0,20,5,10,-1.5,180,-0.3367,-0.1977
exp626,626,0,0,37,0,3,0,0,20,0,10,-1.5,180,-0.4737,-0.1977
exp627,627,0,0,0,25,6,0,0,0,0,10,-1.5,165,-0.4027,-0.1977
exp628,628,0,0,33,7,20,0,0,0,0,10,-1.3,180,-0.3407,-0.1977
exp629,629,0,0,0,25,0,0,0,0,0,45,-1.5,158,-0.3987,-0.1977
exp630,630,0,0,0,19,0,20,0,0,0,10,-1.4,88,-0.3047,-0.1977
exp631,631,0,0,0,11,3,17,0,0,0,10,-1.0,158,-0.3747,-0.1977
exp632,632,20,0,15,0,18,7,0,0,0,10,-1.5,30,-0.4427,-0.1977
exp633,633,0,0,0,0,20,15,0,0,0,35,-1.4,180,-0.3497,-0.1977
exp634,634,0,0,0,11,0,20,29,0,0,10,-1.0,75,-0.3777,-0.1977
exp635,635,0,13,0,15,20,12,0,0,0,10,-1.5,180,-0.3887,-0.1977
exp636,636,0,12,28,0,20,0,0,0,0,10,-1.5,91,-0.4927,-0.1977
exp638,638,0,0,0,25,20,0,0,0,0,25,-1.5,66,-0.4887,-0.1977
exp639,639,0,0,0,11,20,20,0,9,0,10,-1.5,180,-0.3117,-0.1977
exp640,640,0,0,0,21,0,0,5,0,0,10,-1.0,152,-0.4167,-0.1977
exp641,641,0,0,0,4,20,16,0,0,0,10,-1.5,159,-0.2717,-0.1977
exp642,642,0,0,8,20,0,0,0,0,0,10,-1.0,174,-0.3307,-0.1977
exp643,643,0,0,0,23,12,0,0,20,0,10,-1.5,180,-0.3317,-0.1977
exp644,644,0,0,0,11,8,16,16,0,0,19,-1.5,129,-0.3087,-0.1977
exp645,645,0,0,25,20,13,0,0,2,0,10,-1.5,180,-0.4157,-0.1977
exp646,646,0,0,0,12,18,0,30,0,0,10,-1.1,168,-0.3287,-0.1977
exp647,647,0,0,0,25,0,0,0,0,0,45,-1.0,153,-0.3247,-0.1977
exp648,648,0,0,0,6,5,19,30,0,0,10,-1.5,84,-0.4777,-0.1977
exp649,649,0,0,0,11,20,0,6,0,0,10,-1.4,180,-0.2867,-0.1977
exp650,650,0,0,40,15,0,5,0,0,0,10,-1.3,93,-0.4257,-0.1977
exp651,651,0,0,0,0,20,17,16,0,0,10,-1.4,135,-0.3117,-0.1977
exp652,652,0,0,0,25,0,0,0,0,0,16,-1.4,146,-0.3217,-0.1977
exp653,653,0,0,0,14,18,0,0,0,0,10,-1.3,180,-0.2997,-0.1977
exp654,654,0,0,0,5,0,0,30,0,0,35,-1.0,135,-0.3127,-0.1977
exp655,655,0,0,0,15,0,0,27,0,0,28,-1.5,180,-0.5367,-0.1977
exp656,656,20,25,0,0,0,0,0,0,0,25,-1.0,38,-0.9257,-0.1977
exp657,657,0,0,40,0,0,0,0,0,0,10,-1.2,180,-0.4837,-0.1977
exp658,658,0,0,0,25,0,17,0,0,0,10,-1.4,30,-0.3607,-0.1977
exp659,659,0,0,0,2,19,17,0,0,0,10,-1.5,180,-0.2977,-0.1977
exp660,660,0,15,0,0,20,20,0,5,0,10,-1.5,111,-0.4007,-0.1977
exp661,661,0,0,3,12,20,0,0,0,0,35,-1.2,180,-0.3027,-0.1977
exp662,662,0,23,0,0,15,20,0,0,0,10,-1.5,49,-0.5647,-0.1977
exp663,663,0,9,0,0,20,12,0,0,0,29,-1.5,180,-0.2897,-0.1977
exp664,664,0,0,40,19,1,0,0,0,0,10,-1.5,113,-0.1887,-0.1887
exp665,665,0,0,0,25,0,0,0,0,0,45,-1.5,101,-0.2987,-0.1887
exp666,666,0,0,9,24,5,0,0,0,0,32,-1.5,81,-0.3307,-0.1887
exp667,667,0,0,40,20,0,0,0,0,0,10,-1.5,180,-0.1747,-0.1747
exp668,668,0,0,40,0,0,0,0,0,0,10,-1.5,180,-0.2207,-0.1747
exp669,669,0,0,45,15,5,0,0,0,0,5,-1.5,180,-0.1787,-0.1747
exp670,670,0,5,45,15,0,0,0,0,0,5,-1.0,30,-0.4297,-0.1747
exp671,671,0,0,35,25,5,0,0,0,0,5,-1.5,73,-0.3837,-0.1747
exp672,672,0,5,36,19,0,0,5,0,0,5,-1.5,150,-0.1607,-0.1607
exp673,673,0,5,45,15,0,0,0,0,0,5,-1.5,142,-0.1687,-0.1607
exp674,674,5,0,45,15,0,0,0,0,0,5,-1.5,180,-0.1807,-0.1607
exp675,675,0,0,45,15,0,5,0,0,0,5,-1.5,135,-0.1687,-0.1607
exp676,676,0,5,35,20,0,5,0,0,0,5,-1.5,30,-0.5137,-0.1607
exp677,677,0,0,45,15,0,0,5,0,0,5,-1.5,176,-0.1637,-0.1607
exp678,678,0,5,45,15,0,0,0,0,0,5,-1.5,30,-0.4317,-0.1607
exp679,679,0,0,45,15,0,0,0,0,5,5,-1.5,180,-0.4307,-0.1607
