Jan. 14, 2025   14:24:40
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp844\exp844deposition-2025-01-14t14_19_57-deposition\exp844deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 113
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 9.6

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 9.810e-3
2.000e-1, 9.772e-3
3.000e-1, 9.728e-3
4.000e-1, 9.696e-3
5.000e-1, 9.659e-3
6.000e-1, 9.625e-3
7.000e-1, 9.633e-3
8.000e-1, 9.603e-3
9.000e-1, 9.587e-3
1.000e+0, 9.519e-3
1.100e+0, 9.471e-3
1.200e+0, 9.472e-3
1.300e+0, 9.429e-3
1.400e+0, 9.395e-3
1.500e+0, 9.355e-3
1.600e+0, 9.328e-3
1.700e+0, 9.295e-3
1.800e+0, 9.279e-3
1.900e+0, 9.260e-3
2.000e+0, 9.235e-3
2.100e+0, 9.205e-3
2.200e+0, 9.181e-3
2.300e+0, 9.170e-3
2.400e+0, 9.172e-3
2.500e+0, 9.212e-3
2.600e+0, 9.227e-3
2.700e+0, 9.173e-3
2.800e+0, 9.153e-3
2.900e+0, 9.144e-3
3.000e+0, 9.126e-3
3.100e+0, 9.122e-3
3.200e+0, 9.199e-3
3.300e+0, 9.240e-3
3.400e+0, 9.240e-3
3.500e+0, 9.283e-3
3.600e+0, 9.332e-3
3.700e+0, 9.401e-3
3.800e+0, 9.376e-3
3.900e+0, 9.336e-3
4.000e+0, 9.297e-3
4.100e+0, 9.277e-3
4.200e+0, 9.296e-3
4.300e+0, 9.243e-3
4.400e+0, 9.274e-3
4.500e+0, 9.234e-3
4.600e+0, 9.141e-3
4.700e+0, 9.166e-3
4.800e+0, 9.169e-3
4.900e+0, 9.166e-3
5.000e+0, 9.193e-3
5.100e+0, 9.167e-3
5.200e+0, 9.286e-3
5.300e+0, 9.272e-3
5.400e+0, 9.326e-3
5.500e+0, 9.303e-3
5.600e+0, 9.335e-3
5.700e+0, 9.370e-3
5.800e+0, 9.417e-3
5.900e+0, 9.461e-3
6.000e+0, 9.462e-3
6.100e+0, 9.524e-3
6.200e+0, 9.524e-3
6.300e+0, 9.492e-3
6.400e+0, 9.454e-3
6.500e+0, 9.454e-3
6.600e+0, 9.573e-3
6.700e+0, 9.642e-3
6.800e+0, 9.670e-3
6.900e+0, 9.633e-3
7.000e+0, 9.633e-3
7.100e+0, 9.621e-3
7.200e+0, 9.613e-3
7.300e+0, 9.658e-3
7.400e+0, 9.687e-3
7.500e+0, 9.649e-3
7.600e+0, 9.611e-3
7.700e+0, 9.620e-3
7.800e+0, 9.587e-3
7.900e+0, 9.593e-3
8.000e+0, 9.567e-3
8.100e+0, 9.545e-3
8.200e+0, 9.562e-3
8.300e+0, 9.551e-3
8.400e+0, 9.513e-3
8.500e+0, 9.534e-3
8.600e+0, 9.501e-3
8.700e+0, 9.467e-3
8.800e+0, 9.493e-3
8.900e+0, 9.505e-3
9.000e+0, 9.543e-3
9.100e+0, 9.607e-3
