Potential V vs RHE, Current mA cm-2
0.013299999999999867,-0.004184716025000778
0.012299999999999978,-0.004546882117766228
0.011299999999999866,-0.005063251742216966
0.010299999999999976,-0.004951489549527628
0.009299999999999864,-0.00502222511452088
0.008299999999999974,-0.005189161047904954
0.007299999999999862,-0.0056772364463583925
0.006299999999999972,-0.006083258589419657
0.00529999999999986,-0.005776266237348945
0.0042999999999999705,-0.00597149639673032
0.0032999999999998586,-0.006305368263498468
0.0022999999999999687,-0.006585481100871746
0.0012999999999998568,-0.006809005486250421
0.00029999999999996696,-0.00675241703425582
-0.000700000000000145,-0.006654801954565132
-0.0017000000000000348,-0.006933500080638544
-0.0027000000000001467,-0.006809005486250421
-0.0037000000000000366,-0.007142877353018571
-0.0047000000000001485,-0.00732537511070116
-0.005700000000000038,-0.007130144951319785
-0.00670000000000015,-0.007422990190391848
-0.00770000000000004,-0.008008680668535972
-0.008700000000000152,-0.0076465145757705225
-0.009700000000000042,-0.007422990190391848
-0.010700000000000154,-0.00807800152222936
-0.011700000000000044,-0.008162884200221262
-0.012700000000000156,-0.008065269120530573
-0.013700000000000045,-0.008510903179988061
-0.014700000000000157,-0.008343967246603986
-0.015700000000000047,-0.00869340093767065
-0.01670000000000016,-0.008287378794609385
-0.01770000000000005,-0.008776868904362687
-0.01870000000000016,-0.00894380483774676
-0.01970000000000005,-0.008791016017361337
-0.020700000000000163,-0.008986246176742712
-0.021700000000000053,-0.008846189758056074
-0.022700000000000164,-0.009320118043510862
-0.023700000000000054,-0.009419147834501415
-0.024700000000000166,-0.009362559382506812
-0.025700000000000056,-0.009264944302816125
-0.026700000000000168,-0.009516762914192102
-0.027700000000000058,-0.009586083767885488
-0.02870000000000017,-0.010171774246029613
-0.02970000000000006,-0.0099213703459535
-0.03070000000000017,-0.009809608153264164
-0.03170000000000006,-0.010297683551717602
-0.03270000000000017,-0.010478766598100325
-0.03370000000000006,-0.010647117242784266
-0.034700000000000175,-0.009809608153264164
-0.035700000000000065,-0.010856494515164291
-0.03670000000000018,-0.010828200289166992
-0.03770000000000007,-0.010730585209476303
-0.03870000000000018,-0.010716438096477652
-0.03970000000000007,-0.011106898415240403
-0.04070000000000018,-0.011358717026616378
-0.04170000000000007,-0.01079990606316969
-0.04270000000000018,-0.011149339754236355
-0.04370000000000007,-0.011358717026616378
-0.044700000000000184,-0.011177633980233654
-0.045700000000000074,-0.011275249059924341
-0.046700000000000186,-0.011860939538068467
-0.047700000000000076,-0.011553947185997754
-0.04870000000000019,-0.011846792425069818
-0.04970000000000008,-0.011917527990063069
-0.05070000000000019,-0.01226554696982987
-0.05170000000000008,-0.011805765797373732
-0.05270000000000019,-0.012056169697449843
-0.05370000000000008,-0.012433897614513807
-0.05470000000000019,-0.012084463923447144
-0.05570000000000008,-0.01233628253482312
-0.056700000000000195,-0.012446630016212592
-0.057700000000000085,-0.012810210820277905
-0.058700000000000196,-0.012363162049520557
-0.059700000000000086,-0.012586686434899233
-0.0607000000000002,-0.012781916594280606
-0.06170000000000009,-0.013145497398345923
-0.0627000000000002,-0.013074761833352669
-0.06370000000000009,-0.013186524026042009
-0.0647000000000002,-0.013298286218731345
-0.06570000000000009,-0.013172376913043356
-0.0667000000000002,-0.013284139105732696
-0.0677000000000001,-0.01350766349111137
-0.0687000000000002,-0.013535957717108672
-0.0697000000000001,-0.01310305605934997
-0.07070000000000021,-0.01369016124879396
-0.0717000000000001,-0.013787776328484647
-0.07270000000000021,-0.01367601413579531
-0.0737000000000001,-0.01369016124879396
-0.07470000000000021,-0.01403818022856076
-0.0757000000000001,-0.01426028990263957
-0.07670000000000021,-0.01406647445455806
-0.0777000000000001,-0.014444202371622025
-0.07870000000000021,-0.014529085049613928
-0.0797000000000001,-0.014316878354634173
-0.08070000000000022,-0.014430055258623373
-0.0817000000000001,-0.014741291744593682
