Aug. 29, 2024   06:56:42
Open Circuit Potential - Time
File: c:/users/guazh/data/20240813_batch_181_500/2024-08-25-exp213\exp213-2024-08-29t06_55_53-h2koh\ocp_2024-08-29t06_56_23.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

2.010e+0, -4.951e-1
2.020e+0, -4.140e-1
2.030e+0, -4.643e-1
2.040e+0, -4.658e-1
2.050e+0, -4.187e-1
2.060e+0, -5.025e-1
2.070e+0, -4.177e-1
2.080e+0, -4.677e-1
2.090e+0, -4.662e-1
2.100e+0, -4.184e-1
2.110e+0, -5.035e-1
2.120e+0, -4.202e-1
2.130e+0, -4.726e-1
2.140e+0, -4.702e-1
2.150e+0, -4.199e-1
2.160e+0, -5.028e-1
2.170e+0, -4.181e-1
2.180e+0, -4.702e-1
2.190e+0, -4.686e-1
2.200e+0, -4.214e-1
2.210e+0, -5.059e-1
2.220e+0, -4.181e-1
2.230e+0, -4.683e-1
2.240e+0, -4.649e-1
2.250e+0, -4.181e-1
2.260e+0, -5.019e-1
2.270e+0, -4.177e-1
2.280e+0, -4.711e-1
2.290e+0, -4.665e-1
2.300e+0, -4.174e-1
2.310e+0, -4.988e-1
2.320e+0, -4.144e-1
2.330e+0, -4.668e-1
2.340e+0, -4.649e-1
2.350e+0, -4.187e-1
2.360e+0, -5.007e-1
2.370e+0, -4.144e-1
2.380e+0, -4.658e-1
2.390e+0, -4.606e-1
2.400e+0, -4.150e-1
2.410e+0, -4.976e-1
2.420e+0, -4.140e-1
2.430e+0, -4.674e-1
2.440e+0, -4.625e-1
2.450e+0, -4.150e-1
2.460e+0, -4.948e-1
2.470e+0, -4.113e-1
2.480e+0, -4.646e-1
2.490e+0, -4.612e-1
2.500e+0, -4.168e-1
2.510e+0, -4.994e-1
2.520e+0, -4.125e-1
2.530e+0, -4.652e-1
2.540e+0, -4.588e-1
2.550e+0, -4.140e-1
2.560e+0, -4.967e-1
2.570e+0, -4.125e-1
2.580e+0, -4.674e-1
2.590e+0, -4.606e-1
2.600e+0, -4.147e-1
2.610e+0, -4.951e-1
2.620e+0, -4.107e-1
2.630e+0, -4.665e-1
2.640e+0, -4.621e-1
2.650e+0, -4.184e-1
2.660e+0, -5.022e-1
2.670e+0, -4.144e-1
2.680e+0, -4.702e-1
2.690e+0, -4.628e-1
2.700e+0, -4.190e-1
2.710e+0, -5.047e-1
2.720e+0, -4.181e-1
