Aug. 21, 2024   17:43:09
Amperometric i-t Curve
File: c:/users/guazh/data/20240813_batch_94_500/2024-08-15-exp152\exp152deposition-2024-08-21t17_38_53-deposition\exp152deposition_it_edep_-120mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.2
Sample Interval (s) = 0.1
Run Time (sec) = 90
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.0

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.430e-3
2.000e-1, 3.509e-3
3.000e-1, 3.493e-3
4.000e-1, 3.479e-3
5.000e-1, 3.476e-3
6.000e-1, 3.480e-3
7.000e-1, 3.484e-3
8.000e-1, 3.502e-3
9.000e-1, 3.619e-3
1.000e+0, 3.661e-3
1.100e+0, 3.668e-3
1.200e+0, 3.668e-3
1.300e+0, 3.677e-3
1.400e+0, 3.722e-3
1.500e+0, 3.736e-3
1.600e+0, 3.799e-3
1.700e+0, 3.830e-3
1.800e+0, 3.756e-3
1.900e+0, 3.694e-3
2.000e+0, 3.657e-3
2.100e+0, 3.654e-3
2.200e+0, 3.660e-3
2.300e+0, 3.686e-3
2.400e+0, 3.723e-3
2.500e+0, 3.773e-3
2.600e+0, 3.835e-3
2.700e+0, 3.947e-3
2.800e+0, 3.946e-3
2.900e+0, 3.905e-3
3.000e+0, 3.907e-3
3.100e+0, 3.888e-3
3.200e+0, 3.851e-3
3.300e+0, 3.852e-3
3.400e+0, 3.852e-3
3.500e+0, 3.878e-3
3.600e+0, 3.843e-3
3.700e+0, 3.764e-3
3.800e+0, 3.683e-3
3.900e+0, 3.641e-3
4.000e+0, 3.636e-3
4.100e+0, 3.633e-3
4.200e+0, 3.615e-3
4.300e+0, 3.572e-3
4.400e+0, 3.571e-3
4.500e+0, 3.595e-3
4.600e+0, 3.575e-3
4.700e+0, 3.564e-3
4.800e+0, 3.572e-3
4.900e+0, 3.520e-3
5.000e+0, 3.467e-3
5.100e+0, 3.462e-3
5.200e+0, 3.485e-3
5.300e+0, 3.551e-3
5.400e+0, 3.577e-3
5.500e+0, 3.586e-3
5.600e+0, 3.602e-3
5.700e+0, 3.614e-3
5.800e+0, 3.645e-3
5.900e+0, 3.651e-3
6.000e+0, 3.653e-3
6.100e+0, 3.662e-3
6.200e+0, 3.645e-3
6.300e+0, 3.659e-3
6.400e+0, 3.679e-3
6.500e+0, 3.638e-3
6.600e+0, 3.596e-3
6.700e+0, 3.576e-3
6.800e+0, 3.560e-3
6.900e+0, 3.570e-3
7.000e+0, 3.548e-3
7.100e+0, 3.538e-3
7.200e+0, 3.524e-3
7.300e+0, 3.523e-3
7.400e+0, 3.504e-3
7.500e+0, 3.502e-3
7.600e+0, 3.522e-3
7.700e+0, 3.537e-3
7.800e+0, 3.616e-3
7.900e+0, 3.574e-3
8.000e+0, 3.570e-3
8.100e+0, 3.569e-3
8.200e+0, 3.564e-3
8.300e+0, 3.607e-3
8.400e+0, 3.663e-3
8.500e+0, 3.703e-3
8.600e+0, 3.743e-3
8.700e+0, 3.761e-3
8.800e+0, 3.763e-3
8.900e+0, 3.733e-3
9.000e+0, 3.729e-3
9.100e+0, 3.703e-3
9.200e+0, 3.686e-3
9.300e+0, 3.689e-3
9.400e+0, 3.709e-3
9.500e+0, 3.703e-3
9.600e+0, 3.660e-3
9.700e+0, 3.624e-3
9.800e+0, 3.628e-3
9.900e+0, 3.648e-3
1.000e+1, 3.615e-3
1.010e+1, 3.606e-3
1.020e+1, 3.638e-3
1.030e+1, 3.667e-3
1.040e+1, 3.647e-3
1.050e+1, 3.652e-3
1.060e+1, 3.680e-3
1.070e+1, 3.702e-3
1.080e+1, 3.737e-3
1.090e+1, 3.763e-3
1.100e+1, 3.777e-3
1.110e+1, 3.798e-3
1.120e+1, 3.822e-3
1.130e+1, 3.850e-3
1.140e+1, 3.886e-3
1.150e+1, 3.894e-3
1.160e+1, 3.880e-3
1.170e+1, 3.899e-3
1.180e+1, 3.846e-3
1.190e+1, 3.807e-3
1.200e+1, 3.778e-3
1.210e+1, 3.735e-3
1.220e+1, 3.730e-3
1.230e+1, 3.777e-3
1.240e+1, 3.819e-3
1.250e+1, 3.858e-3
1.260e+1, 3.863e-3
1.270e+1, 3.807e-3
1.280e+1, 3.776e-3
1.290e+1, 3.797e-3
1.300e+1, 3.817e-3
1.310e+1, 3.806e-3
1.320e+1, 3.788e-3
1.330e+1, 3.779e-3
1.340e+1, 3.801e-3
1.350e+1, 3.833e-3
1.360e+1, 3.869e-3
1.370e+1, 3.908e-3
1.380e+1, 3.940e-3
1.390e+1, 3.953e-3
1.400e+1, 3.964e-3
1.410e+1, 3.987e-3
1.420e+1, 3.993e-3
1.430e+1, 3.970e-3
1.440e+1, 3.962e-3
1.450e+1, 3.967e-3
1.460e+1, 3.945e-3
1.470e+1, 3.939e-3
1.480e+1, 3.890e-3
1.490e+1, 3.879e-3
1.500e+1, 3.871e-3
1.510e+1, 3.868e-3
1.520e+1, 3.886e-3
1.530e+1, 3.880e-3
1.540e+1, 3.914e-3
1.550e+1, 3.956e-3
1.560e+1, 3.938e-3
1.570e+1, 3.922e-3
1.580e+1, 4.017e-3
1.590e+1, 4.053e-3
1.600e+1, 4.057e-3
1.610e+1, 4.065e-3
1.620e+1, 4.086e-3
1.630e+1, 4.096e-3
1.640e+1, 4.103e-3
1.650e+1, 4.117e-3
1.660e+1, 4.108e-3
1.670e+1, 4.144e-3
1.680e+1, 4.200e-3
1.690e+1, 4.210e-3
1.700e+1, 4.194e-3
1.710e+1, 4.164e-3
1.720e+1, 4.208e-3
1.730e+1, 4.275e-3
1.740e+1, 4.284e-3
1.750e+1, 4.228e-3
1.760e+1, 4.157e-3
1.770e+1, 4.118e-3
1.780e+1, 4.158e-3
1.790e+1, 4.224e-3
1.800e+1, 4.219e-3
1.810e+1, 4.223e-3
1.820e+1, 4.264e-3
1.830e+1, 4.209e-3
1.840e+1, 4.141e-3
1.850e+1, 4.075e-3
1.860e+1, 4.041e-3
1.870e+1, 4.036e-3
1.880e+1, 4.044e-3
1.890e+1, 4.070e-3
1.900e+1, 4.071e-3
1.910e+1, 4.086e-3
1.920e+1, 4.095e-3
1.930e+1, 4.169e-3
1.940e+1, 4.179e-3
1.950e+1, 4.153e-3
1.960e+1, 4.159e-3
1.970e+1, 4.200e-3
1.980e+1, 4.200e-3
1.990e+1, 4.212e-3
2.000e+1, 4.204e-3
2.010e+1, 4.221e-3
2.020e+1, 4.151e-3
2.030e+1, 4.091e-3
2.040e+1, 4.175e-3
2.050e+1, 4.263e-3
2.060e+1, 4.301e-3
2.070e+1, 4.328e-3
2.080e+1, 4.324e-3
2.090e+1, 4.313e-3
2.100e+1, 4.307e-3
2.110e+1, 4.324e-3
2.120e+1, 4.327e-3
2.130e+1, 4.325e-3
2.140e+1, 4.310e-3
2.150e+1, 4.280e-3
2.160e+1, 4.252e-3
2.170e+1, 4.245e-3
2.180e+1, 4.265e-3
2.190e+1, 4.297e-3
2.200e+1, 4.291e-3
2.210e+1, 4.292e-3
2.220e+1, 4.311e-3
2.230e+1, 4.315e-3
2.240e+1, 4.305e-3
2.250e+1, 4.346e-3
2.260e+1, 4.365e-3
2.270e+1, 4.365e-3
2.280e+1, 4.310e-3
2.290e+1, 4.204e-3
2.300e+1, 4.118e-3
2.310e+1, 4.070e-3
2.320e+1, 4.047e-3
2.330e+1, 4.034e-3
2.340e+1, 4.044e-3
2.350e+1, 4.056e-3
2.360e+1, 4.054e-3
2.370e+1, 4.061e-3
2.380e+1, 4.083e-3
2.390e+1, 4.119e-3
2.400e+1, 4.208e-3
2.410e+1, 4.246e-3
2.420e+1, 4.237e-3
2.430e+1, 4.234e-3
2.440e+1, 4.243e-3
2.450e+1, 4.235e-3
2.460e+1, 4.187e-3
2.470e+1, 4.168e-3
2.480e+1, 4.165e-3
2.490e+1, 4.175e-3
2.500e+1, 4.183e-3
2.510e+1, 4.196e-3
2.520e+1, 4.221e-3
2.530e+1, 4.271e-3
2.540e+1, 4.307e-3
2.550e+1, 4.285e-3
2.560e+1, 4.276e-3
2.570e+1, 4.329e-3
2.580e+1, 4.344e-3
2.590e+1, 4.375e-3
2.600e+1, 4.441e-3
2.610e+1, 4.510e-3
2.620e+1, 4.524e-3
2.630e+1, 4.553e-3
2.640e+1, 4.582e-3
2.650e+1, 4.604e-3
2.660e+1, 4.592e-3
2.670e+1, 4.556e-3
2.680e+1, 4.519e-3
2.690e+1, 4.507e-3
2.700e+1, 4.491e-3
2.710e+1, 4.442e-3
2.720e+1, 4.399e-3
2.730e+1, 4.371e-3
2.740e+1, 4.324e-3
2.750e+1, 4.285e-3
2.760e+1, 4.270e-3
2.770e+1, 4.278e-3
2.780e+1, 4.267e-3
2.790e+1, 4.305e-3
2.800e+1, 4.367e-3
2.810e+1, 4.406e-3
2.820e+1, 4.399e-3
2.830e+1, 4.419e-3
2.840e+1, 4.437e-3
2.850e+1, 4.452e-3
2.860e+1, 4.452e-3
2.870e+1, 4.442e-3
2.880e+1, 4.441e-3
2.890e+1, 4.451e-3
2.900e+1, 4.483e-3
2.910e+1, 4.548e-3
2.920e+1, 4.598e-3
2.930e+1, 4.631e-3
2.940e+1, 4.640e-3
2.950e+1, 4.646e-3
2.960e+1, 4.648e-3
2.970e+1, 4.616e-3
2.980e+1, 4.598e-3
2.990e+1, 4.634e-3
3.000e+1, 4.690e-3
3.010e+1, 4.704e-3
3.020e+1, 4.706e-3
3.030e+1, 4.709e-3
3.040e+1, 4.735e-3
3.050e+1, 4.743e-3
3.060e+1, 4.721e-3
3.070e+1, 4.653e-3
3.080e+1, 4.581e-3
3.090e+1, 4.613e-3
3.100e+1, 4.650e-3
3.110e+1, 4.637e-3
3.120e+1, 4.580e-3
3.130e+1, 4.526e-3
3.140e+1, 4.501e-3
3.150e+1, 4.508e-3
3.160e+1, 4.519e-3
3.170e+1, 4.547e-3
3.180e+1, 4.576e-3
3.190e+1, 4.582e-3
3.200e+1, 4.586e-3
3.210e+1, 4.636e-3
3.220e+1, 4.649e-3
3.230e+1, 4.665e-3
3.240e+1, 4.704e-3
3.250e+1, 4.714e-3
3.260e+1, 4.700e-3
3.270e+1, 4.680e-3
3.280e+1, 4.701e-3
3.290e+1, 4.715e-3
3.300e+1, 4.734e-3
3.310e+1, 4.731e-3
3.320e+1, 4.695e-3
3.330e+1, 4.682e-3
3.340e+1, 4.697e-3
3.350e+1, 4.687e-3
3.360e+1, 4.704e-3
3.370e+1, 4.728e-3
3.380e+1, 4.721e-3
3.390e+1, 4.696e-3
3.400e+1, 4.686e-3
3.410e+1, 4.731e-3
3.420e+1, 4.746e-3
3.430e+1, 4.720e-3
3.440e+1, 4.742e-3
3.450e+1, 4.733e-3
3.460e+1, 4.738e-3
3.470e+1, 4.762e-3
3.480e+1, 4.782e-3
3.490e+1, 4.781e-3
3.500e+1, 4.818e-3
3.510e+1, 4.827e-3
3.520e+1, 4.822e-3
3.530e+1, 4.806e-3
3.540e+1, 4.831e-3
3.550e+1, 4.854e-3
3.560e+1, 4.830e-3
3.570e+1, 4.853e-3
3.580e+1, 4.890e-3
3.590e+1, 4.915e-3
3.600e+1, 4.931e-3
3.610e+1, 4.950e-3
3.620e+1, 4.914e-3
3.630e+1, 4.869e-3
3.640e+1, 4.877e-3
3.650e+1, 4.895e-3
3.660e+1, 4.897e-3
3.670e+1, 4.857e-3
3.680e+1, 4.814e-3
3.690e+1, 4.772e-3
3.700e+1, 4.754e-3
3.710e+1, 4.782e-3
3.720e+1, 4.783e-3
3.730e+1, 4.801e-3
3.740e+1, 4.807e-3
3.750e+1, 4.805e-3
3.760e+1, 4.812e-3
3.770e+1, 4.794e-3
3.780e+1, 4.765e-3
3.790e+1, 4.735e-3
3.800e+1, 4.725e-3
3.810e+1, 4.719e-3
3.820e+1, 4.747e-3
3.830e+1, 4.775e-3
3.840e+1, 4.784e-3
3.850e+1, 4.788e-3
3.860e+1, 4.783e-3
3.870e+1, 4.850e-3
3.880e+1, 4.904e-3
3.890e+1, 4.933e-3
3.900e+1, 4.957e-3
