Apr. 23, 2025   14:29:24
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp590_r20/2025-04-16-exp1167\exp1167deposition-2025-04-23t14_23_38-deposition\exp1167deposition_it_edep_-130mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.3
Sample Interval (s) = 0.1
Run Time (sec) = 180
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 14.5

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.153e-3
2.000e-1, 3.036e-3
3.000e-1, 3.039e-3
4.000e-1, 3.033e-3
5.000e-1, 3.142e-3
6.000e-1, 3.172e-3
7.000e-1, 3.151e-3
8.000e-1, 3.298e-3
9.000e-1, 3.210e-3
1.000e+0, 3.097e-3
1.100e+0, 3.097e-3
1.200e+0, 2.971e-3
1.300e+0, 3.029e-3
1.400e+0, 2.928e-3
1.500e+0, 2.911e-3
1.600e+0, 2.924e-3
1.700e+0, 2.960e-3
1.800e+0, 3.101e-3
1.900e+0, 3.246e-3
2.000e+0, 3.226e-3
2.100e+0, 3.175e-3
2.200e+0, 3.096e-3
2.300e+0, 3.070e-3
2.400e+0, 3.008e-3
2.500e+0, 3.205e-3
2.600e+0, 3.428e-3
2.700e+0, 3.338e-3
2.800e+0, 3.221e-3
2.900e+0, 3.159e-3
3.000e+0, 3.064e-3
3.100e+0, 2.966e-3
3.200e+0, 2.941e-3
3.300e+0, 3.085e-3
3.400e+0, 3.198e-3
3.500e+0, 3.136e-3
3.600e+0, 3.185e-3
3.700e+0, 3.145e-3
3.800e+0, 3.255e-3
3.900e+0, 3.407e-3
4.000e+0, 3.437e-3
4.100e+0, 3.261e-3
4.200e+0, 3.328e-3
4.300e+0, 3.258e-3
4.400e+0, 3.171e-3
4.500e+0, 3.316e-3
4.600e+0, 3.243e-3
4.700e+0, 3.136e-3
4.800e+0, 3.133e-3
4.900e+0, 3.041e-3
5.000e+0, 3.080e-3
5.100e+0, 3.062e-3
5.200e+0, 3.064e-3
5.300e+0, 3.081e-3
5.400e+0, 3.128e-3
5.500e+0, 3.109e-3
5.600e+0, 3.124e-3
5.700e+0, 3.130e-3
5.800e+0, 3.123e-3
5.900e+0, 3.062e-3
6.000e+0, 2.962e-3
6.100e+0, 2.934e-3
6.200e+0, 2.893e-3
6.300e+0, 2.992e-3
6.400e+0, 3.088e-3
6.500e+0, 3.090e-3
6.600e+0, 3.080e-3
6.700e+0, 3.004e-3
6.800e+0, 2.928e-3
6.900e+0, 2.856e-3
7.000e+0, 2.864e-3
7.100e+0, 2.839e-3
7.200e+0, 2.797e-3
7.300e+0, 2.815e-3
7.400e+0, 2.873e-3
7.500e+0, 2.888e-3
7.600e+0, 3.111e-3
7.700e+0, 3.120e-3
7.800e+0, 3.079e-3
7.900e+0, 3.000e-3
8.000e+0, 2.951e-3
8.100e+0, 3.106e-3
8.200e+0, 3.138e-3
8.300e+0, 3.126e-3
8.400e+0, 3.059e-3
8.500e+0, 2.968e-3
8.600e+0, 3.082e-3
8.700e+0, 3.144e-3
8.800e+0, 3.122e-3
8.900e+0, 3.076e-3
9.000e+0, 3.051e-3
9.100e+0, 2.990e-3
9.200e+0, 2.928e-3
9.300e+0, 2.882e-3
9.400e+0, 2.883e-3
9.500e+0, 2.997e-3
9.600e+0, 2.905e-3
9.700e+0, 2.955e-3
9.800e+0, 2.987e-3
9.900e+0, 2.909e-3
1.000e+1, 2.839e-3
1.010e+1, 2.941e-3
1.020e+1, 3.063e-3
1.030e+1, 3.309e-3
1.040e+1, 3.387e-3
1.050e+1, 3.358e-3
1.060e+1, 3.352e-3
1.070e+1, 3.293e-3
1.080e+1, 3.240e-3
1.090e+1, 3.201e-3
1.100e+1, 3.231e-3
1.110e+1, 3.158e-3
1.120e+1, 3.087e-3
1.130e+1, 3.017e-3
1.140e+1, 3.076e-3
1.150e+1, 3.083e-3
1.160e+1, 3.122e-3
1.170e+1, 3.230e-3
1.180e+1, 3.332e-3
1.190e+1, 3.280e-3
1.200e+1, 3.242e-3
1.210e+1, 3.208e-3
1.220e+1, 3.122e-3
1.230e+1, 3.083e-3
1.240e+1, 2.992e-3
1.250e+1, 3.010e-3
1.260e+1, 3.132e-3
1.270e+1, 3.163e-3
1.280e+1, 3.192e-3
1.290e+1, 3.199e-3
1.300e+1, 3.117e-3
1.310e+1, 3.022e-3
1.320e+1, 3.035e-3
1.330e+1, 3.059e-3
1.340e+1, 3.128e-3
1.350e+1, 3.160e-3
1.360e+1, 3.104e-3
1.370e+1, 3.035e-3
1.380e+1, 2.938e-3
1.390e+1, 2.945e-3
1.400e+1, 3.080e-3
1.410e+1, 3.152e-3
1.420e+1, 3.133e-3
1.430e+1, 3.136e-3
1.440e+1, 3.121e-3
1.450e+1, 3.084e-3
1.460e+1, 3.029e-3
1.470e+1, 3.016e-3
1.480e+1, 3.105e-3
1.490e+1, 3.204e-3
1.500e+1, 3.287e-3
1.510e+1, 3.581e-3
1.520e+1, 3.508e-3
1.530e+1, 3.385e-3
1.540e+1, 3.382e-3
1.550e+1, 3.318e-3
1.560e+1, 3.414e-3
1.570e+1, 3.481e-3
1.580e+1, 3.416e-3
1.590e+1, 3.368e-3
1.600e+1, 3.313e-3
1.610e+1, 3.201e-3
1.620e+1, 3.096e-3
1.630e+1, 2.985e-3
1.640e+1, 3.135e-3
1.650e+1, 3.267e-3
1.660e+1, 3.286e-3
1.670e+1, 3.270e-3
1.680e+1, 3.246e-3
1.690e+1, 3.190e-3
1.700e+1, 3.178e-3
1.710e+1, 3.156e-3
1.720e+1, 3.197e-3
1.730e+1, 3.384e-3
1.740e+1, 3.483e-3
1.750e+1, 3.520e-3
1.760e+1, 3.497e-3
1.770e+1, 3.521e-3
1.780e+1, 3.503e-3
1.790e+1, 3.471e-3
1.800e+1, 3.393e-3
1.810e+1, 3.391e-3
1.820e+1, 3.607e-3
1.830e+1, 3.453e-3
1.840e+1, 3.331e-3
1.850e+1, 3.292e-3
1.860e+1, 3.246e-3
1.870e+1, 3.178e-3
1.880e+1, 3.189e-3
1.890e+1, 3.293e-3
1.900e+1, 3.335e-3
1.910e+1, 3.344e-3
1.920e+1, 3.329e-3
1.930e+1, 3.338e-3
1.940e+1, 3.346e-3
1.950e+1, 3.324e-3
1.960e+1, 3.342e-3
1.970e+1, 3.437e-3
1.980e+1, 3.462e-3
1.990e+1, 3.404e-3
2.000e+1, 3.353e-3
2.010e+1, 3.304e-3
2.020e+1, 3.424e-3
2.030e+1, 3.446e-3
2.040e+1, 3.448e-3
2.050e+1, 3.377e-3
2.060e+1, 3.369e-3
2.070e+1, 3.503e-3
2.080e+1, 3.546e-3
2.090e+1, 3.500e-3
2.100e+1, 3.498e-3
2.110e+1, 3.598e-3
2.120e+1, 3.641e-3
2.130e+1, 3.646e-3
2.140e+1, 3.600e-3
2.150e+1, 3.501e-3
2.160e+1, 3.386e-3
2.170e+1, 3.290e-3
2.180e+1, 3.187e-3
2.190e+1, 3.081e-3
2.200e+1, 2.991e-3
2.210e+1, 3.014e-3
2.220e+1, 2.963e-3
