Experiment,Overpotential @ 50 mA,Cdl mF cm-2
exp1,-0.5917,1.4423901332288
exp2,-0.7847,0.324548480737
exp3,-0.6637,2.3647181053543
exp4,-0.5297,20.1105303042278
exp5,-0.7347,0.1968876458105
exp6,-0.6337,0.1691144866047
exp7,-0.5057,5.362375695198
exp8,-0.3667,22.8046678014577
exp9,-0.3567,15.3568046443866
exp10,-0.8817,0.2658543288584
exp11,-0.5247,3.1283027648131
exp12,-0.4247,10.8712803054343
exp13,-0.7737,1.0460212584801
exp14,-0.8097,0.114056511704
exp15,-0.7027,0.2106062853017
exp16,-0.8357,1.2588252157248
exp17,-0.7797,0.13013449538699998
exp18,-0.6047,5.6654682547325
exp19,-0.5967,1.7161974454498
exp20,-0.7577,0.6275126899219
exp21,-0.7847,0.5062837592152
exp22,-0.4207,79.6806719622046
exp23,-0.6657,2.3757819705938004
exp24,-0.3507,22.153948529182202
exp25,-0.8697,0.146725030466
exp26,-0.7187,0.2592601374945
exp27,-0.5327,24.965506612172
exp28,-0.7487,0.5504809859722001
exp29,-0.6817,0.8130207760161
exp30,-0.7317,0.145024854027
exp31,-0.7707,0.28218494408059996
exp32,-0.6617,3.5106422157134
exp33,-0.8677,0.15701149082229998
exp34,-0.5847,4.0787607949355005
exp35,-0.6617,1.5254693142875002
exp36,-0.8847,0.1482189547476
exp37,-0.7987,0.2455359458604
exp38,-0.5907,0.7400258415714
exp39,-0.4177,8.7320842717505
exp40,-0.5947,3.0019242397620003
exp41,-0.4767,9.7556670967777
exp42,-0.7997,0.1620027098417
exp43,-0.4737,6.5689424068913
exp44,-0.4587,22.8380168284561
exp45,-0.3767,40.554094228259906
exp46,-0.8117,0.24585694833040003
exp47,-0.6977,0.4807632716235
exp48,-0.8267,0.21072255476729998
exp49,-0.7167,0.473283296464
exp50,-0.6817,1.9275445981950001
exp51,-0.8827,0.1128110693226
exp52,-0.4437,11.9635123919002
exp53,-0.6797,0.8892594278058
exp54,-0.7127,0.41295440928210003
exp55,-0.6987,0.1615156440471
exp56,-0.6797,1.6482152549768
exp57,-0.8787,0.09809633834185125
exp58,-0.7677,0.5098244890714
exp59,-0.2777,145.8108077633398
exp60,-0.6227,2.1057405755444
exp61,-0.7957,0.1874330791029
exp62,-0.7847,0.8584997158383
exp63,-0.7757,2.7289745708343
