Experiment,Overpotential @ 50 mA_Ar,Cdl mF cm-2_Ar
exp1,-0.5617,1.1909280706962735
exp2,-0.7676999999999999,0.13330186986466197
exp3,-0.7247,1.0764131455096968
exp4,-0.6426999999999999,7.614066551226045
exp5,-0.7736999999999999,0.14832014300193008
exp6,-0.6406999999999999,0.15594741542422955
exp7,-0.5367000000000001,4.541808869906356
exp8,-0.3786999999999999,19.031989494412656
exp9,-0.3686999999999999,13.069337552621848
exp10,-0.8587000000000001,0.20298140192854913
exp11,-0.5397,2.6964282534689246
exp12,-0.4367,8.919352350936089
exp13,-0.7967000000000001,0.21927675200146596
exp14,-0.7857,0.12906054368547903
exp15,-0.7107,0.15943136060446392
exp16,-0.8517,0.6763281239377119
exp17,-0.7676999999999999,0.1331815285262648
exp18,-0.5987000000000001,4.706656419943011
exp19,-0.6126999999999999,1.1731009540578794
exp20,-0.7847000000000001,0.1468703971385602
exp21,-0.7716999999999999,0.16412081162116804
exp22,-0.4387,69.05928266183243
exp23,-0.7447,0.7728803571166445
exp24,-0.3737,19.729225595507355
exp25,-0.8577,0.13511431894991696
exp26,-0.7087,0.1637651715568093
exp27,-0.6047000000000001,16.30018333075995
exp28,-0.7777,0.17668856154172485
exp29,-0.6737000000000001,1.251982308257984
exp30,-0.7627,0.13208949166905454
exp31,-0.8297,0.15049591924694622
exp32,-0.8027000000000001,0.13700391750061364
exp33,-0.8287000000000001,0.14963329258901423
exp34,-0.6837000000000001,1.0076155405818348
exp35,-0.6547,1.243257016408991
exp36,-0.8817,0.12931666385112406
exp37,-0.7837,0.1515530707431833
exp38,-0.6166999999999999,0.7236281394644456
exp39,-0.4487,6.957485247027506
exp40,-0.5587000000000001,5.997135088899365
exp41,-0.4927,9.166437624952437
exp42,-0.7727,0.12842095763502065
exp43,-0.4996999999999999,3.8797665721110492
exp44,-0.7656999999999999,0.19050198533367696
exp45,-0.4206999999999999,18.59536139033454
exp46,-0.8007000000000001,0.14242725509057158
exp47,-0.6717000000000001,0.24517595179490384
exp48,-0.8327000000000001,0.13323982512121058
exp49,-0.7456999999999999,0.501714680281744
exp50,-0.7576999999999999,0.825242082173952
exp51,-0.8846999999999999,0.10662771843931214
exp52,-0.4577000000000001,12.891071269229908
exp53,-0.6767,0.6946826489274288
exp54,-0.7337000000000001,0.16522459659547806
exp55,-0.6937000000000001,0.17958225607182626
exp56,-0.6727,1.4336522541115064
exp57,-0.8177,0.11714567150052005
exp58,-0.7627,0.17683612736915946
exp59,-0.3047000000000001,137.06124563547658
exp60,-0.5907000000000001,1.6919224644418063
exp61,-0.7807000000000001,0.15761455480521624
exp62,-0.7567,0.7886122903891022
exp63,-0.8377,2.15762218493238
exp64,-0.6497,3.4017797968793064
exp65,-0.6707,0.3486977879985528
exp66,-0.8577,0.2649402327518478
exp67,-0.4397000000000001,52.147093142957985
exp68,-0.7977,0.1416436822649728
exp69,-0.7027,0.38663794877781155
exp70,-0.7977,0.1592200328480503
exp71,-0.5407000000000001,3.0431752138138553
exp72,-0.5036999999999999,2.9556140338460253
exp73,-0.8327000000000001,0.22017509865029847
exp74,-0.8706999999999999,0.13097409331204932
exp75,-0.8527000000000001,0.13170421365163995
exp76,-0.8187000000000001,0.35762761391525105
exp77,-0.5537,2.8794164805724485
exp78,-0.5837,1.5246488721593736
exp79,-0.5887000000000001,2.031644698207633
exp80,-0.8577,0.1838363937752596
exp81,-0.6707,0.7104511955974766
exp82,-0.5367000000000001,3.147195965206118
exp83,-0.8977,0.15160485125655232
exp84,-0.6857000000000001,1.265568184621691
exp85,-0.6186999999999999,1.804200174492632
exp86,-0.7867000000000001,0.14532512819588161
exp87,-0.4657000000000001,10.093183484110321
exp88,-0.9587,0.12574801322741772
exp89,-0.8377,0.4375586395912245
exp90,-0.7327,0.3921002897186792
exp91,-0.5667000000000001,2.0987632320730714
exp95,-0.8317,0.14107356401008972
exp96,-0.8626999999999999,0.14326683221763956
exp97,-0.9727,0.16146445943961205
exp98,-0.6517000000000001,3.2830946066113365
exp99,-0.7007,0.4419552946509018
exp100,-0.9097,0.14036268175480843
exp101,-0.8387000000000001,0.17498305902434153
exp102,-0.7736999999999999,0.13778848591403464
exp103,-0.8047000000000001,0.29412794682092036
exp104,-0.7177000000000001,1.30006096207561
exp105,-0.7767000000000001,0.20766214855983883
exp106,-0.8577,0.26163571311348277
exp107,-0.4667,5.521180994735662
exp108,-0.4627,8.100664392463772
exp109,-0.6386999999999999,1.1942109062330337
exp110,-0.8427000000000001,0.15959495168831456
exp111,-0.9347,0.15363888599850425
exp112,-0.4527,2.535695799746386
exp113,-0.7607,0.16149770899825497
exp114,-0.8357,0.1689774309655016
exp115,-0.6837000000000001,3.2879170133624886
exp116,-0.6617000000000001,1.4457230013486617
exp117,-0.4777000000000001,8.392338346430872
exp118,-0.7107,0.17437386055663556
exp119,-0.6117,3.2971965971466672
