Experiment,Overpotential V at 2.0 mA/cm2,Overpotential V at 10.0 mA/cm2,Overpotential V at 50.0 mA/cm2
exp421,-0.4297000000000001,-0.5587000000000001,-0.6697000000000001
exp422,-0.2876999999999999,-0.3846999999999999,-0.5597
exp423,-0.7207,-0.7777,-0.8626999999999999
exp424,-0.7547,-0.8037,-0.8677
exp425,-0.5727000000000001,-0.6366999999999999,-0.7127
exp426,-0.3937,-0.5767000000000001,-0.7667
exp427,-0.1887000000000001,-0.2847,-0.3846999999999999
exp428,-0.6897000000000001,-0.7547,-0.8307000000000001
exp429,-0.4367,-0.5897,-0.7187
exp430,-0.2317000000000001,-0.3187000000000001,-0.4527
exp431,-0.1957000000000001,-0.3177,-0.4657000000000001
exp432,-0.1567,-0.3016999999999999,-0.4306999999999999
exp433,-0.6707,-0.7317000000000001,-0.7927000000000001
exp434,-0.2907,-0.4137,-0.6366999999999999
exp435,-0.2816999999999999,-0.3806999999999999,-0.6246999999999999
exp436,-0.4607,-0.5507000000000001,-0.6587
exp437,0.0132999999999998,-0.4026999999999999,-0.5236999999999999
exp438,-0.6717000000000001,-0.7137000000000001,-0.7647
exp439,-0.5437,-0.6047000000000001,-0.6837000000000001
exp440,-0.6707,-0.7337000000000001,-0.8127000000000001
exp441,-0.1467,-0.2436999999999999,-0.3577
exp442,-0.3377,-0.4317000000000001,-0.5667000000000001
exp443,-0.2687,-0.3587000000000001,-0.5527000000000001
exp444,-0.2197000000000001,-0.3036999999999999,-0.4327
exp445,-0.4577000000000001,-0.6117,-0.7157000000000001
exp446,-0.6097,-0.6777000000000001,-0.7627
exp447,-0.5227,-0.6007000000000001,-0.6847
exp448,-0.5367000000000001,-0.6067000000000001,-0.6847
exp449,-0.2787,-0.3746999999999999,-0.5457
exp450,-0.1847000000000001,-0.2587,-0.3617
exp451,-0.2996999999999999,-0.5737,-0.6857000000000001
exp452,-0.4647,-0.5687000000000001,-0.6657000000000001
exp453,-0.5577,-0.6266999999999999,-0.7157000000000001
exp454,-0.3946999999999999,-0.5337,-0.6406999999999999
exp455,-0.5267000000000001,-0.6466999999999999,-0.7317000000000001
exp456,-0.6406999999999999,-0.6947,-0.7556999999999999
exp457,-0.6226999999999999,-0.6717000000000001,-0.7357000000000001
exp458,-0.6507,-0.7067,-0.7927000000000001
exp459,-0.1987,-0.2687,-0.3746999999999999
exp460,-0.6047000000000001,-0.6587,-0.7467
exp461,-0.6627,-0.7087,-0.7827000000000001
exp462,-0.2267,-0.3177,-0.4567
exp463,-0.4487,-0.5216999999999999,-0.6277
exp464,-0.6397,-0.7137000000000001,-0.8177
exp465,-0.2017000000000001,-0.2667,-0.3537
exp466,-0.2636999999999999,-0.3457,-0.4717000000000001
exp467,-0.4936999999999999,-0.5717,-0.6567
exp468,-0.5867000000000001,-0.6717000000000001,-0.7527
exp469,-0.1687,-0.2436999999999999,-0.3347000000000001
exp470,-0.5537,-0.6277,-0.7147
exp471,-0.3457,-0.4996999999999999,-0.6297
exp472,-0.5977,-0.6777000000000001,-0.7656999999999999
exp473,-0.5297,-0.6337,-0.7367
exp474,-0.2277000000000001,-0.3167000000000001,-0.4367
exp475,-0.2357000000000001,-0.3237,-0.4857000000000001
exp476,-0.6266999999999999,-0.7197000000000001,-0.8267000000000001
exp477,-0.5547000000000001,-0.6517000000000001,-0.7387
exp478,-0.7187,-0.7967000000000001,-0.9097
exp479,-0.2716999999999999,-0.3706999999999999,-0.5427000000000001
exp480,-0.5147,-0.5817,-0.6657000000000001
exp481,-0.6537000000000001,-0.7197000000000001,-0.8117
exp482,-0.2427,-0.3187000000000001,-0.4317000000000001
exp483,-0.4936999999999999,-0.6377,-0.7576999999999999
exp484,-0.4956999999999999,-0.5657,-0.6466999999999999
exp485,-0.5657,-0.6607,-0.7696999999999999
exp486,-0.2596999999999999,-0.3447000000000001,-0.4727
exp487,-0.6466999999999999,-0.6957000000000001,-0.7587
exp488,-0.3897,-0.5196999999999999,-0.6217
exp489,-0.2687,-0.3447000000000001,-0.4587
exp490,-0.3237,-0.4257000000000001,-0.5637
exp491,-0.5727000000000001,-0.6266999999999999,-0.7017000000000001
exp492,-0.5967000000000001,-0.6627,-0.7347
exp493,-0.2747,-0.4146999999999999,-0.6326999999999999
exp494,-0.3937,-0.5587000000000001,-0.6747
exp495,-0.5637,-0.6277,-0.7077000000000001
exp496,-0.2177000000000001,-0.3087000000000001,-0.4507
exp497,-0.3357,-0.4567,-0.6077
exp498,-0.2867,-0.3917,-0.5847000000000001
exp499,-0.4006999999999999,-0.5236999999999999,-0.6406999999999999
exp500,-0.3167000000000001,-0.3786999999999999,-0.4627
exp501,-0.3517,-0.4086999999999999,-0.5247
exp502,-0.2587,-0.3377,-0.4647
exp503,-0.6947,-0.7656999999999999,-0.8587000000000001
exp504,-0.5457,-0.6386999999999999,-0.7757
exp505,-0.0267000000000001,-0.0997000000000001,-0.3337
exp506,-0.4077,-0.5397,-0.6847
exp507,-0.0477,-0.2496999999999999,-0.3637
exp508,-0.6157,-0.6777000000000001,-0.7476999999999999
exp509,-0.3127000000000001,-0.4837000000000001,-0.6747
exp510,-0.4717000000000001,-0.5747000000000001,-0.7137000000000001
exp511,-0.7937,-0.8587000000000001,-0.9707
exp512,-0.2707,-0.3177,-0.3817
exp514,0.0032999999999998,-0.1517000000000001,-0.2427
exp515,-0.4887,-0.6107000000000001,-0.6827
exp516,-0.0777000000000001,-0.2656999999999999,-0.3826999999999999
exp517,-0.7277000000000001,-0.7747,-0.8357
exp518,-0.1297000000000001,-0.1937000000000001,-0.2456999999999999
exp519,-0.7217000000000001,-0.7647,-0.8387000000000001
exp520,-0.6346999999999999,-0.7277000000000001,-0.8137
exp521,-0.7227,-0.7957,-0.8857
exp522,-0.2167,-0.2987000000000001,-0.4266999999999999
exp523,-0.6507,-0.7157000000000001,-0.7817
exp524,-0.4557000000000001,-0.6186999999999999,-0.6847
