Experiment,Voltage_Ar,Overpotential V at 0.5 mA/cm2_Ar,Current Density 0.5 mA/cm2_Ar,Overpotential V at 1.0 mA/cm2_Ar,Current Density 1.0 mA/cm2_Ar,Overpotential V at 1.5 mA/cm2_Ar,Current Density 1.5 mA/cm2_Ar,Overpotential V at 2.0 mA/cm2_Ar,Current Density 2.0 mA/cm2_Ar,Overpotential V at 2.5 mA/cm2_Ar,Current Density 2.5 mA/cm2_Ar,Overpotential V at 3.0 mA/cm2_Ar,Current Density 3.0 mA/cm2_Ar,Overpotential V at 3.5 mA/cm2_Ar,Current Density 3.5 mA/cm2_Ar,Overpotential V at 4.0 mA/cm2_Ar,Current Density 4.0 mA/cm2_Ar,Overpotential V at 4.5 mA/cm2_Ar,Current Density 4.5 mA/cm2_Ar,Overpotential V at 5.0 mA/cm2_Ar,Current Density 5.0 mA/cm2_Ar,Overpotential V at 5.5 mA/cm2_Ar,Current Density 5.5 mA/cm2_Ar,Overpotential V at 6.0 mA/cm2_Ar,Current Density 6.0 mA/cm2_Ar,Overpotential V at 6.5 mA/cm2_Ar,Current Density 6.5 mA/cm2_Ar,Overpotential V at 7.0 mA/cm2_Ar,Current Density 7.0 mA/cm2_Ar,Overpotential V at 7.5 mA/cm2_Ar,Current Density 7.5 mA/cm2_Ar,Overpotential V at 8.0 mA/cm2_Ar,Current Density 8.0 mA/cm2_Ar,Overpotential V at 8.5 mA/cm2_Ar,Current Density 8.5 mA/cm2_Ar,Overpotential V at 9.0 mA/cm2_Ar,Current Density 9.0 mA/cm2_Ar,Overpotential V at 9.5 mA/cm2_Ar,Current Density 9.5 mA/cm2_Ar,Overpotential V at 10.0 mA/cm2_Ar,Current Density 10.0 mA/cm2_Ar,Overpotential V at 20.0 mA/cm2_Ar,Current Density 20.0 mA/cm2_Ar,Overpotential V at 30.0 mA/cm2_Ar,Current Density 30.0 mA/cm2_Ar,Overpotential V at 40.0 mA/cm2_Ar,Current Density 40.0 mA/cm2_Ar,Overpotential V at 50.0 mA/cm2_Ar,Current Density 50.0 mA/cm2_Ar
exp378,-1500mV,-0.0467000000000001,-0.503637222751953,-0.1857000000000002,-0.9989276488347024,-0.2287,-1.4967645552572086,-0.2467,-1.9904987989101068,-0.2587,-2.49696544426179,-0.2676999999999999,-3.028896893011044,-0.2747,-3.5113134462650213,-0.2807,-4.023438936816164,-0.2856999999999999,-4.4973672222709515,-0.2907,-5.037786938819395,-0.2947000000000001,-5.5145446468739125,-0.2987000000000001,-6.01393773572627,-0.3027000000000001,-6.5670898539735,-0.3056999999999999,-6.999991511732201,-0.3087000000000001,-7.4498697050892835,-0.3117,-7.929456835743531,-0.3147000000000001,-8.41470281159724,-0.3177,-8.936731281247436,-0.3207000000000001,-9.45451561699804,-0.3237,-10.00200889004581,-0.3666999999999999,-19.919135102099716,-0.3997,-30.18993913911989,-0.4246999999999999,-39.86656443019674,-0.4467,-49.81198486824794
exp379,-1600mV,-0.0467000000000001,-0.4879339273234511,-0.2387,-0.999352062224662,-0.2816999999999999,-1.4868615761581534,-0.3036999999999999,-2.0004017780091616,-0.3147000000000001,-2.49413602166206,-0.3257,-3.010505646112798,-0.3347000000000001,-3.532534115762996,-0.3427000000000001,-4.026268359415894,-0.3467000000000001,-4.4322905024771595,-0.3537,-5.037786938819395,-0.3597,-5.532935893772159,-0.3626999999999999,-6.043646673023436,-0.3666999999999999,-6.4850365985813285,-0.3706999999999999,-6.974526708334631,-0.3746999999999999,-7.510702290983478,-0.3786999999999999,-8.003021823336512,-0.3846999999999999,-8.515147313887656,-0.3866999999999999,-9.0838612564334,-0.3886999999999999,-9.47715099779588,-0.3926999999999999,-10.007667735245269,-0.4437000000000001,-20.06060623208622,-0.4807,-30.06261512213203,-0.5096999999999999,-39.85241731719808,-0.5337,-49.98175022423175
exp380,-1900mV,-0.5527000000000001,-0.4965636662526278,-0.5917,-1.0009082446545134,-0.6107000000000001,-1.501008689156804,-0.6237,-1.9961576441095663,-0.6337,-2.49979486686152,-0.6417,-2.9807967088156326,-0.6486999999999999,-3.4674573959692045,-0.6557000000000001,-4.034756627215084,-0.6607,-4.512929046569467,-0.6657000000000001,-5.0292986710202054,-0.6697000000000001,-5.473518019177827,-0.6737000000000001,-5.975740530629915,-0.6777000000000001,-6.487866021181058,-0.6817000000000001,-7.048091695927613,-0.6847,-7.512117002283345,-0.6877000000000001,-8.019998358934892,-0.6907,-8.52787971558644,-0.6927,-8.901363498750811,-0.6957000000000001,-9.512518780292506,-0.6987,-10.048694362941356,-0.7347,-20.117194684080825,-0.7576999999999999,-29.921143992145527,-0.7767000000000001,-40.20609514216434,-0.7927000000000001,-50.179809806212845
exp381,-1800mV,-0.5067,-0.5032128093619935,-0.5547000000000001,-0.9932688036352422,-0.5807000000000001,-1.4925204213576138,-0.5967000000000001,-1.9989870667092968,-0.6087000000000001,-2.5012095781613843,-0.6177,-3.028896893011044,-0.6246999999999999,-3.4886780654671803,-0.6306999999999999,-3.956947505722508,-0.6366999999999999,-4.511514335269602,-0.6417,-5.050519340518181,-0.6457,-5.537180027671754,-0.6486999999999999,-5.929055057734368,-0.6527,-6.537380916676335,-0.6557000000000001,-7.028285737729503,-0.6587,-7.558802475178892,-0.6607,-7.936530392242855,-0.6637000000000001,-8.557588652883606,-0.6657000000000001,-8.993319733242037,-0.6677000000000001,-9.453100905698175,-0.6697000000000001,-9.935517458952152,-0.6987,-20.187930249074075,-0.7167,-29.90699687914687,-0.7317000000000001,-40.03632978618054,-0.7447,-49.71295507725739
exp382,-1800mV,-0.3547000000000001,-0.502222511452088,-0.4126999999999999,-0.9955323417150264,-0.4477000000000001,-1.4911057100577487,-0.4747,-2.017378313607542,-0.4927,-2.49413602166206,-0.5067,-3.013335068712528,-0.5207,-3.4632132620696097,-0.5337,-3.9781681752204823,-0.5427000000000001,-4.511514335269602,-0.5517,-5.026469248420476,-0.5597,-5.474932730477692,-0.5707000000000001,-6.074770321620467,-0.5777,-6.521819092377819,-0.5847000000000001,-6.9575501727362505,-0.5907000000000001,-7.444210859889823,-0.5987000000000001,-7.945018660042045,-0.6037,-8.397726275998858,-0.6077,-9.035761072237989,-0.6126999999999999,-9.499786378593722,-0.6186999999999999,-9.936932170252016,-0.6777000000000001,-20.13134179707947,-0.7037000000000001,-30.13335068712528,-0.7217000000000001,-40.06462401217784,-0.7357000000000001,-49.88272043324119
exp383,-1900mV,-0.6317,-0.5023639825820745,-0.6587,-1.0010497157844995,-0.6747,-1.4911057100577487,-0.6867,-1.9975723554094316,-0.6957000000000001,-2.478574197363544,-0.7037000000000001,-2.990699687914687,-0.7107,-3.515557580164616,-0.7167,-4.0319272046153545,-0.7217000000000001,-4.514343757869332,-0.7267,-5.046275206618586,-0.7307,-5.5145446468739125,-0.7347,-6.015352447026135,-0.7387,-6.55294274097485,-0.7416999999999999,-6.983014976133821,-0.7447,-7.441381437290093,-0.7476999999999999,-7.919553856644475,-0.7507,-8.423191079396428,-0.7536999999999999,-8.960781373345142,-0.7567,-9.515348202892236,-0.7587,-9.907223232954852,-0.7967000000000001,-19.947429328097016,-0.8227000000000001,-30.11920357412663,-0.8437,-40.05047689917919,-0.8617,-49.925161772237146
exp384,-1900mV,-0.5767000000000001,-0.5019395691921149,-0.6237,-1.0002008890045808,-0.6486999999999999,-1.5151558021554543,-0.6647,-2.004645911908757,-0.6767,-2.4884771764625997,-0.6867,-2.977967286215902,-0.6957000000000001,-3.5183870027643462,-0.7027,-4.000803556018323,-0.7087,-4.481805397972437,-0.7147,-5.023639825820745,-0.7197000000000001,-5.520203492073373,-0.7237000000000001,-6.008278890526811,-0.7277000000000001,-6.4864513098811925,-0.7307,-6.9306706580388155,-0.7347,-7.503628734484154,-0.7376999999999999,-7.970483463439617,-0.7407,-8.484023665290625,-0.7436999999999999,-9.013125691440148,-0.7467,-9.569107232287108,-0.7487,-9.98786177704716,-0.7837,-20.00401778009162,-0.8057,-29.96358533114148,-0.8237,-40.092918238175145,-0.8397,-50.30713382320071
exp385,-1900mV,-0.6486999999999999,-0.4951489549527627,-0.6797000000000001,-1.0068500321139466,-0.6947,-1.4826174422585583,-0.7057000000000001,-1.9961576441095663,-0.7137000000000001,-2.504039000761115,-0.7197000000000001,-2.9850408427152275,-0.7247,-3.4561397055702843,-0.7297000000000001,-4.007877112517649,-0.7337000000000001,-4.5171731804690625,-0.7367,-4.943001281728439,-0.7407,-5.57820665536784,-0.7427,-5.926225635134639,-0.7456999999999999,-6.480792464681733,-0.7487,-7.0891183236236985,-0.7507,-7.529093537881726,-0.7527,-8.000192400736783,-0.7547,-8.486853087890356,-0.7567,-9.001808001041228,-0.7587,-9.553545407988592,-0.7607,-10.130747618333528,-0.7857,-20.117194684080825,-0.8027000000000001,-29.949438218142824,-0.8167000000000001,-39.76753463920618,-0.8297,-49.89686754623985
exp386,-1900mV,-0.4817000000000001,-0.4984027909424524,-0.5487000000000001,-0.9958152839749992,-0.5817,-1.506667534356264,-0.6017,-1.9904987989101068,-0.6177,-2.512527268560305,-0.6297,-3.009090934812933,-0.6397,-3.4900927767670455,-0.6486999999999999,-4.007877112517649,-0.6547,-4.473317130173245,-0.6617000000000001,-5.040616361419126,-0.6677000000000001,-5.472103307877963,-0.6737000000000001,-5.984228798429105,-0.6797000000000001,-6.517574958478224,-0.6857000000000001,-7.041018139428288,-0.6897000000000001,-7.50504344578402,-0.6947,-8.022827781534623,-0.6977000000000001,-8.461388284492784,-0.7017000000000001,-8.93531656994757,-0.7057000000000001,-9.512518780292506,-0.7097000000000001,-10.003423601345672,-0.7667,-19.862546650105116,-0.7987000000000001,-29.90699687914687,-0.8237,-39.76753463920618,-0.8447000000000001,-50.22225114520881
exp387,-1900mV,-0.5056999999999999,-0.4993930888523579,-0.5787000000000001,-0.9951079283250668,-0.6077,-1.4925204213576138,-0.6257,-2.014548891007812,-0.6377,-2.51111255726044,-0.6466999999999999,-2.994943821814283,-0.6547,-3.525460559263671,-0.6607,-3.9979741334185936,-0.6667,-4.546882117766228,-0.6707,-4.962807239926549,-0.6757000000000001,-5.542838872871213,-0.6797000000000001,-6.057793786022088,-0.6827,-6.480792464681733,-0.6857000000000001,-6.934914791938409,-0.6887,-7.418746056492251,-0.6917000000000001,-7.942189237442316,-0.6947,-8.50241491218887,-0.6977000000000001,-9.099423080731915,-0.6997000000000001,-9.523836470691428,-0.7017000000000001,-9.968055818849049,-0.7337000000000001,-20.10304757108217,-0.7536999999999999,-29.878702653149578,-0.7707,-40.20609514216434,-0.7847000000000001,-50.0807800152223
