Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp425,15,15,5,0,5,0,0,10,5,5,10,-1.2,90,-0.6367,-0.6647,-0.6837,-0.6997,-0.7127
exp426,0,0,5,20,0,5,0,0,15,15,10,-1.2,120,-0.5767,-0.6697,-0.7127,-0.7417,-0.7667
exp427,0,5,0,20,0,10,10,0,10,15,0,-1.2,120,-0.2847,-0.3217,-0.3467,-0.3667,-0.3847
exp428,25,5,5,0,0,5,0,5,20,0,5,-1.5,60,-0.7547,-0.7827,-0.8017,-0.8167,-0.8307
exp429,0,5,10,5,5,0,0,5,10,20,10,-1.3,60,-0.5897,-0.6437,-0.6747,-0.6977,-0.7187
exp430,0,5,0,5,0,10,20,20,0,0,10,-1.3,120,-0.3187,-0.3667,-0.4007,-0.4287,-0.4527
exp431,5,5,5,0,5,5,20,5,10,5,5,-1.4,150,-0.3177,-0.3727,-0.4117,-0.4407,-0.4657
exp432,0,0,5,15,10,0,0,25,0,15,0,-1.2,150,-0.3017,-0.3487,-0.3817,-0.4087,-0.4307
exp433,5,0,10,10,5,0,0,20,20,0,0,-1.1,120,-0.7317,-0.7547,-0.7697,-0.7817,-0.7927
exp434,5,5,0,15,5,5,15,10,10,0,0,-1.4,90,-0.4137,-0.5137,-0.5727,-0.6097,-0.6367
exp435,0,0,5,0,0,5,15,15,5,10,15,-1.2,90,-0.3807,-0.4677,-0.5387,-0.5897,-0.6247
exp436,10,0,5,0,0,15,10,0,5,20,5,-1.1,150,-0.5507,-0.5927,-0.6197,-0.6407,-0.6587
exp437,5,5,0,20,5,0,5,15,0,5,10,-1.4,60,-0.4027,-0.4447,-0.4767,-0.5017,-0.5237
exp438,5,0,5,10,10,0,0,5,20,0,15,-1.1,150,-0.7137,-0.7317,-0.7447,-0.7547,-0.7647
exp439,5,30,0,0,0,0,5,10,10,10,0,-1.5,90,-0.6047,-0.6347,-0.6537,-0.6697,-0.6837
exp440,20,5,5,0,0,10,0,20,0,0,10,-1.5,150,-0.7337,-0.7627,-0.7827,-0.7987,-0.8127
exp441,0,0,5,5,5,25,5,0,20,0,5,-1.2,120,-0.2437,-0.2857,-0.3147,-0.3377,-0.3577
exp442,0,5,15,5,5,0,10,20,0,5,5,-1.3,90,-0.4317,-0.4867,-0.5217,-0.5467,-0.5667
exp443,10,0,0,10,0,5,15,20,5,0,5,-1.5,150,-0.3587,-0.4267,-0.4787,-0.5197,-0.5527
exp444,0,10,0,0,15,15,10,10,10,0,0,-1.2,150,-0.3037,-0.3477,-0.3817,-0.4097,-0.4327
exp445,20,0,10,15,5,0,0,5,5,10,0,-1.1,120,-0.6117,-0.6517,-0.6767,-0.6977,-0.7157
exp446,5,0,20,0,0,0,5,5,30,5,0,-1.3,60,-0.6777,-0.7077,-0.7287,-0.7467,-0.7627
exp447,0,10,0,0,0,0,15,30,5,10,0,-1.4,150,-0.6007,-0.6327,-0.6537,-0.6707,-0.6847
exp448,0,20,10,5,5,0,0,5,10,5,10,-1.1,120,-0.6067,-0.6357,-0.6557,-0.6707,-0.6847
exp449,5,10,0,0,15,0,0,15,15,10,0,-1.1,150,-0.3747,-0.4377,-0.4817,-0.5167,-0.5457
exp450,0,5,5,0,10,15,5,15,5,0,10,-1.5,90,-0.2587,-0.2957,-0.3217,-0.3427,-0.3617
exp451,0,0,5,0,0,0,25,5,20,15,0,-1.1,90,-0.5737,-0.6207,-0.6477,-0.6687,-0.6857
exp452,15,15,0,5,5,0,5,5,15,5,0,-1.2,120,-0.5687,-0.6077,-0.6317,-0.6497,-0.6657
exp453,5,10,10,5,0,0,0,20,5,15,0,-1.3,60,-0.6267,-0.6597,-0.6817,-0.6997,-0.7157
exp454,0,0,10,10,10,0,0,20,0,10,10,-1.3,90,-0.5337,-0.5837,-0.6077,-0.6257,-0.6407
exp455,5,10,0,5,0,20,5,20,0,5,0,-1.1,90,-0.6467,-0.6817,-0.7027,-0.7187,-0.7317
exp456,5,5,0,15,15,0,0,0,30,0,0,-1.5,90,-0.6947,-0.7167,-0.7317,-0.7447,-0.7557
exp457,5,10,0,5,5,0,0,0,35,5,5,-1.2,120,-0.6717,-0.6947,-0.7107,-0.7237,-0.7357
exp458,5,5,10,15,0,0,0,15,5,10,5,-1.4,60,-0.7067,-0.7367,-0.7587,-0.7757,-0.7927
exp459,0,10,10,0,5,15,0,5,5,20,0,-1.3,150,-0.2687,-0.3067,-0.3337,-0.3557,-0.3747
exp460,0,20,5,10,5,0,5,0,0,25,0,-1.2,120,-0.6587,-0.6887,-0.7107,-0.7297,-0.7467
exp461,10,35,0,5,0,0,0,5,10,5,0,-1.5,90,-0.7087,-0.7337,-0.7527,-0.7687,-0.7827
exp462,0,0,0,5,10,15,5,5,15,10,5,-1.5,60,-0.3177,-0.3677,-0.4037,-0.4317,-0.4567
exp463,10,5,5,0,5,5,10,0,5,25,0,-1.5,60,-0.5217,-0.5627,-0.5887,-0.6097,-0.6277
exp464,10,15,0,5,0,5,0,0,5,20,10,-1.5,150,-0.7137,-0.7507,-0.7767,-0.7987,-0.8177
exp465,0,5,0,0,15,15,0,0,0,25,10,-1.5,120,-0.2667,-0.2947,-0.3157,-0.3347,-0.3537
exp466,5,5,0,5,20,0,5,10,0,15,5,-1.4,60,-0.3457,-0.3917,-0.4247,-0.4497,-0.4717
exp467,0,0,0,20,0,0,15,20,0,0,15,-1.5,60,-0.5717,-0.6007,-0.6217,-0.6407,-0.6567
exp468,5,10,15,5,0,5,0,5,15,10,0,-1.4,90,-0.6717,-0.7037,-0.7237,-0.7397,-0.7527
exp469,0,20,0,0,15,10,5,0,20,0,0,-1.3,150,-0.2437,-0.2757,-0.2987,-0.3177,-0.3347
exp470,25,0,5,0,5,0,5,10,10,5,5,-1.2,60,-0.6277,-0.6607,-0.6827,-0.6997,-0.7147
exp471,15,0,0,5,5,5,10,5,15,5,5,-1.4,60,-0.4997,-0.5617,-0.5907,-0.6117,-0.6297
exp472,10,5,0,5,0,0,5,15,30,0,0,-1.4,90,-0.6777,-0.7107,-0.7327,-0.7507,-0.7657
exp473,5,15,0,0,5,10,5,0,0,20,10,-1.3,150,-0.6337,-0.6757,-0.7007,-0.7197,-0.7367
exp474,0,0,5,0,20,5,15,15,5,0,5,-1.3,90,-0.3167,-0.3597,-0.3897,-0.4147,-0.4367
exp475,5,0,5,0,5,10,20,10,5,10,0,-1.5,150,-0.3237,-0.3797,-0.4217,-0.4567,-0.4857
exp476,10,10,5,0,0,0,0,15,10,15,5,-1.3,120,-0.7197,-0.7597,-0.7857,-0.8077,-0.8267
exp477,5,5,0,5,5,5,0,25,15,0,5,-1.2,120,-0.6517,-0.6877,-0.7087,-0.7247,-0.7387
exp478,5,5,25,5,0,0,0,5,10,15,0,-1.4,60,-0.7967,-0.8367,-0.8647,-0.8887,-0.9097
exp479,0,5,5,5,5,5,15,5,5,10,10,-1.5,120,-0.3707,-0.4357,-0.4807,-0.5147,-0.5427
exp480,5,0,5,0,0,0,20,15,0,20,5,-1.2,90,-0.5817,-0.6107,-0.6327,-0.6497,-0.6657
exp481,5,15,0,10,0,0,5,5,20,0,10,-1.1,60,-0.7197,-0.7527,-0.7757,-0.7947,-0.8117
exp482,0,5,0,10,20,0,0,25,0,0,10,-1.4,120,-0.3187,-0.3587,-0.3877,-0.4117,-0.4317
exp483,5,0,5,0,5,5,10,10,25,5,0,-1.5,90,-0.6377,-0.6847,-0.7157,-0.7387,-0.7577
exp484,20,15,0,0,0,0,5,5,15,5,5,-1.1,90,-0.5657,-0.5967,-0.6167,-0.6327,-0.6467
exp485,10,5,0,10,0,0,15,0,25,0,5,-1.3,90,-0.6607,-0.7037,-0.7307,-0.7517,-0.7697
exp486,0,5,10,0,20,0,10,5,0,15,5,-1.4,90,-0.3447,-0.3927,-0.4257,-0.4517,-0.4727
exp487,25,0,15,0,5,0,0,5,15,0,5,-1.1,120,-0.6957,-0.7177,-0.7337,-0.7467,-0.7587
exp488,0,20,0,5,5,0,10,5,10,15,0,-1.5,90,-0.5197,-0.5637,-0.5877,-0.6067,-0.6217
exp489,0,0,0,20,10,5,5,0,10,20,0,-1.3,60,-0.3447,-0.3857,-0.4147,-0.4377,-0.4587
exp490,0,10,5,15,5,0,0,25,5,0,5,-1.3,120,-0.4257,-0.4827,-0.5177,-0.5427,-0.5637
exp491,10,15,5,0,5,0,0,20,0,5,10,-1.2,90,-0.6267,-0.6537,-0.6727,-0.6877,-0.7017
exp492,25,0,0,10,0,0,10,15,5,5,0,-1.5,150,-0.6627,-0.6897,-0.7077,-0.7217,-0.7347
exp493,0,5,0,10,0,5,10,5,20,10,5,-1.4,120,-0.4147,-0.5327,-0.5797,-0.6097,-0.6327
exp494,0,5,0,20,5,0,0,30,5,5,0,-1.4,60,-0.5587,-0.6117,-0.6387,-0.6587,-0.6747
exp495,20,0,10,10,5,0,0,15,10,0,0,-1.2,90,-0.6277,-0.6567,-0.6767,-0.6927,-0.7077
exp496,0,0,5,0,5,10,0,10,15,15,10,-1.1,150,-0.3087,-0.3617,-0.3977,-0.4267,-0.4507
exp497,0,0,5,5,25,0,5,10,0,10,10,-1.1,60,-0.4567,-0.5257,-0.5637,-0.5887,-0.6077
exp498,0,10,0,0,5,30,0,5,10,10,0,-1.5,120,-0.3917,-0.4597,-0.5097,-0.5487,-0.5847
exp499,0,10,10,20,5,0,0,15,5,5,0,-1.2,150,-0.5237,-0.5747,-0.6027,-0.6237,-0.6407
exp500,0,5,0,25,10,0,10,0,10,10,0,-1.4,60,-0.3787,-0.4077,-0.4287,-0.4467,-0.4627
exp501,8,0,8,0,8,8,0,0,0,7,31,-1.5,90,-0.4087,-0.4467,-0.4767,-0.5017,-0.5247
exp502,8,0,0,0,8,0,0,15,0,15,24,-1.4,90,-0.3377,-0.3837,-0.4167,-0.4437,-0.4647
exp503,8,0,8,8,0,0,8,15,15,0,8,-1.5,180,-0.7657,-0.7977,-0.8217,-0.8417,-0.8587
exp504,8,0,8,0,0,0,8,0,0,15,31,-1.4,60,-0.6387,-0.6977,-0.7327,-0.7567,-0.7757
exp505,0,0,8,8,8,0,0,15,0,0,31,-1.5,150,-0.0997,-0.2807,-0.3037,-0.3197,-0.3337
exp506,0,0,8,8,0,8,8,0,15,0,23,-1.5,60,-0.5397,-0.5987,-0.6337,-0.6617,-0.6847
exp507,8,0,0,0,8,8,0,7,7,7,25,-1.1,150,-0.2497,-0.2947,-0.3237,-0.3457,-0.3637
exp508,8,0,0,0,0,8,0,15,0,0,39,-1.5,60,-0.6777,-0.7037,-0.7217,-0.7357,-0.7477
