Experiment,Tafel Slope (mV dec-1)_Ar,Exchange Current Density (mA cm-2)_Ar,Tafel R^2_Ar
exp1,108.43561936220932,0.00039335869257639235,0.9963676144800262
exp2,104.81339032364257,4.630363995738909e-06,0.9971914739597143
exp3,186.84369019557866,0.008378382396072083,0.9988129556665098
exp4,712.0106225229133,2.729718029631434,0.5262024477259316
exp5,172.05200125317955,0.0022366943509343614,0.9968496518802071
exp6,117.6872228695687,0.0002579380670651825,0.9974885599647608
exp7,104.53499296698881,0.00030814652416568506,0.9971151942197437
exp8,99.57577737778364,0.00958067190535168,0.9947822238918166
exp9,112.38340068173477,0.02735841672236468,0.9978650501756196
exp10,127.80032248551507,1.177233200591975e-05,0.9997621202722309
exp11,93.9751420414799,9.345393362078068e-05,0.9980900382629622
exp12,112.30095917285831,0.007589429164231638,0.9960146116403565
exp13,113.5947548829759,9.082870562479896e-06,0.9987910871873312
exp14,97.48424135465145,7.640260554829304e-07,0.994493642491508
exp15,140.08235312847847,0.0007011850109058756,0.9971242416325711
exp16,221.51138048689552,0.009620434590886257,0.9937977606729659
exp17,98.50409410624829,1.4487925284758549e-06,0.997814501510602
exp18,156.78660835096122,0.008652626355444493,0.9987767997765093
exp19,151.61828002928064,0.004129864386451396,0.9997460268411045
exp20,133.14041352218135,0.00014644933489617735,0.9975416555662381
exp21,102.97830630696915,3.0766958359888495e-06,0.9973519325796554
exp22,71.89167281742141,11655.87510653269,0.022800241156281296
exp23,188.59604966710796,0.0065120437741382695,0.9977315983670919
exp24,108.08632669680401,0.02011419590439771,0.9949088497981722
exp25,122.05500633717105,7.774007870517369e-06,0.9984484229745494
exp26,101.12517588337225,1.5040493488762134e-05,0.9962797267711329
exp27,496.2753604297147,2.462916079252023,0.2321126645375403
exp28,142.9200067091796,0.00027950598891118833,0.9984529880678129
exp29,104.43415328300952,2.353945128775973e-05,0.9997662811130485
exp30,128.6119484863429,0.00013905641618344118,0.9940216713017782
exp31,123.43974398949862,1.5007802330697427e-05,0.9985956984429986
