Jan. 9, 2025   18:36:55
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-08-exp811\exp811deposition-2025-01-09t18_32_46-deposition\exp811deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 78
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.4

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 4.540e-3
2.000e-1, 4.522e-3
3.000e-1, 4.509e-3
4.000e-1, 4.464e-3
5.000e-1, 4.425e-3
6.000e-1, 4.400e-3
7.000e-1, 4.389e-3
8.000e-1, 4.382e-3
9.000e-1, 4.366e-3
1.000e+0, 4.361e-3
1.100e+0, 4.354e-3
1.200e+0, 4.348e-3
1.300e+0, 4.341e-3
1.400e+0, 4.341e-3
1.500e+0, 4.346e-3
1.600e+0, 4.371e-3
1.700e+0, 4.365e-3
1.800e+0, 4.350e-3
1.900e+0, 4.338e-3
2.000e+0, 4.309e-3
2.100e+0, 4.288e-3
2.200e+0, 4.266e-3
2.300e+0, 4.241e-3
2.400e+0, 4.210e-3
2.500e+0, 4.186e-3
2.600e+0, 4.168e-3
2.700e+0, 4.157e-3
2.800e+0, 4.144e-3
2.900e+0, 4.123e-3
3.000e+0, 4.097e-3
3.100e+0, 4.065e-3
3.200e+0, 4.079e-3
3.300e+0, 4.098e-3
3.400e+0, 4.115e-3
3.500e+0, 4.127e-3
3.600e+0, 4.137e-3
3.700e+0, 4.137e-3
3.800e+0, 4.134e-3
3.900e+0, 4.131e-3
4.000e+0, 4.137e-3
4.100e+0, 4.137e-3
4.200e+0, 4.137e-3
4.300e+0, 4.155e-3
4.400e+0, 4.186e-3
4.500e+0, 4.213e-3
4.600e+0, 4.219e-3
4.700e+0, 4.185e-3
4.800e+0, 4.169e-3
4.900e+0, 4.155e-3
5.000e+0, 4.146e-3
5.100e+0, 4.144e-3
5.200e+0, 4.146e-3
5.300e+0, 4.154e-3
5.400e+0, 4.152e-3
5.500e+0, 4.154e-3
5.600e+0, 4.150e-3
5.700e+0, 4.152e-3
5.800e+0, 4.152e-3
5.900e+0, 4.154e-3
6.000e+0, 4.153e-3
6.100e+0, 4.145e-3
6.200e+0, 4.140e-3
6.300e+0, 4.154e-3
6.400e+0, 4.152e-3
6.500e+0, 4.147e-3
6.600e+0, 4.149e-3
6.700e+0, 4.151e-3
6.800e+0, 4.157e-3
6.900e+0, 4.158e-3
7.000e+0, 4.145e-3
7.100e+0, 4.135e-3
7.200e+0, 4.135e-3
7.300e+0, 4.120e-3
7.400e+0, 4.088e-3
7.500e+0, 4.084e-3
7.600e+0, 4.089e-3
7.700e+0, 4.093e-3
7.800e+0, 4.099e-3
7.900e+0, 4.111e-3
8.000e+0, 4.124e-3
8.100e+0, 4.124e-3
8.200e+0, 4.119e-3
8.300e+0, 4.111e-3
8.400e+0, 4.109e-3
8.500e+0, 4.115e-3
8.600e+0, 4.106e-3
8.700e+0, 4.086e-3
8.800e+0, 4.082e-3
8.900e+0, 4.069e-3
9.000e+0, 4.063e-3
9.100e+0, 4.068e-3
