June 25, 2026   11:33:02
Open Circuit Potential - Time
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp5\exp5-2026-06-25t11_32_13-arkoh\ocp_2026-06-25t11_32_43.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

2.020e+0, -5.935e-1
2.030e+0, -5.935e-1
2.040e+0, -5.935e-1
2.050e+0, -5.932e-1
2.060e+0, -5.929e-1
2.070e+0, -5.926e-1
2.080e+0, -5.922e-1
2.090e+0, -5.922e-1
2.100e+0, -5.919e-1
2.110e+0, -5.919e-1
2.120e+0, -5.919e-1
2.130e+0, -5.916e-1
2.140e+0, -5.913e-1
2.150e+0, -5.910e-1
2.160e+0, -5.907e-1
2.170e+0, -5.907e-1
2.180e+0, -5.907e-1
2.190e+0, -5.904e-1
2.200e+0, -5.904e-1
2.210e+0, -5.901e-1
2.220e+0, -5.898e-1
2.230e+0, -5.895e-1
2.240e+0, -5.892e-1
2.250e+0, -5.892e-1
2.260e+0, -5.892e-1
2.270e+0, -5.892e-1
2.280e+0, -5.889e-1
2.290e+0, -5.886e-1
2.300e+0, -5.882e-1
2.310e+0, -5.879e-1
2.320e+0, -5.879e-1
2.330e+0, -5.879e-1
2.340e+0, -5.876e-1
2.350e+0, -5.873e-1
2.360e+0, -5.870e-1
2.370e+0, -5.870e-1
2.380e+0, -5.867e-1
2.390e+0, -5.864e-1
2.400e+0, -5.864e-1
2.410e+0, -5.864e-1
2.420e+0, -5.861e-1
2.430e+0, -5.858e-1
2.440e+0, -5.855e-1
2.450e+0, -5.855e-1
2.460e+0, -5.852e-1
2.470e+0, -5.852e-1
2.480e+0, -5.849e-1
2.490e+0, -5.849e-1
2.500e+0, -5.845e-1
2.510e+0, -5.842e-1
2.520e+0, -5.839e-1
2.530e+0, -5.839e-1
2.540e+0, -5.836e-1
2.550e+0, -5.836e-1
2.560e+0, -5.836e-1
2.570e+0, -5.833e-1
2.580e+0, -5.830e-1
2.590e+0, -5.827e-1
2.600e+0, -5.824e-1
2.610e+0, -5.824e-1
2.620e+0, -5.824e-1
2.630e+0, -5.821e-1
2.640e+0, -5.821e-1
2.650e+0, -5.818e-1
2.660e+0, -5.815e-1
2.670e+0, -5.812e-1
2.680e+0, -5.812e-1
2.690e+0, -5.808e-1
2.700e+0, -5.808e-1
2.710e+0, -5.808e-1
2.720e+0, -5.805e-1
2.730e+0, -5.805e-1
2.740e+0, -5.802e-1
2.750e+0, -5.799e-1
2.760e+0, -5.796e-1
2.770e+0, -5.796e-1
2.780e+0, -5.796e-1
2.790e+0, -5.796e-1
2.800e+0, -5.793e-1
2.810e+0, -5.790e-1
2.820e+0, -5.790e-1
2.830e+0, -5.787e-1
2.840e+0, -5.784e-1
2.850e+0, -5.784e-1
2.860e+0, -5.784e-1
2.870e+0, -5.781e-1
2.880e+0, -5.781e-1
2.890e+0, -5.778e-1
2.900e+0, -5.775e-1
2.910e+0, -5.771e-1
2.920e+0, -5.771e-1
2.930e+0, -5.771e-1
2.940e+0, -5.771e-1
2.950e+0, -5.768e-1
2.960e+0, -5.765e-1
2.970e+0, -5.762e-1
2.980e+0, -5.762e-1
2.990e+0, -5.759e-1
3.000e+0, -5.759e-1
3.010e+0, -5.759e-1
3.020e+0, -5.756e-1
3.030e+0, -5.756e-1
3.040e+0, -5.753e-1
3.050e+0, -5.750e-1
3.060e+0, -5.747e-1
3.070e+0, -5.747e-1
3.080e+0, -5.747e-1
3.090e+0, -5.747e-1
3.100e+0, -5.744e-1
3.110e+0, -5.741e-1
3.120e+0, -5.738e-1
3.130e+0, -5.738e-1
3.140e+0, -5.734e-1
3.150e+0, -5.734e-1
3.160e+0, -5.734e-1
3.170e+0, -5.734e-1
3.180e+0, -5.731e-1
3.190e+0, -5.728e-1
3.200e+0, -5.725e-1
3.210e+0, -5.725e-1
3.220e+0, -5.725e-1
3.230e+0, -5.722e-1
3.240e+0, -5.722e-1
3.250e+0, -5.722e-1
3.260e+0, -5.719e-1
3.270e+0, -5.716e-1
3.280e+0, -5.716e-1
3.290e+0, -5.713e-1
3.300e+0, -5.713e-1
3.310e+0, -5.713e-1
3.320e+0, -5.713e-1
3.330e+0, -5.710e-1
3.340e+0, -5.707e-1
3.350e+0, -5.704e-1
3.360e+0, -5.704e-1
3.370e+0, -5.704e-1
3.380e+0, -5.704e-1
3.390e+0, -5.701e-1
3.400e+0, -5.701e-1
3.410e+0, -5.697e-1
3.420e+0, -5.694e-1
3.430e+0, -5.694e-1
3.440e+0, -5.691e-1
3.450e+0, -5.691e-1
3.460e+0, -5.691e-1
3.470e+0, -5.691e-1
3.480e+0, -5.688e-1
3.490e+0, -5.685e-1
3.500e+0, -5.685e-1
3.510e+0, -5.682e-1
3.520e+0, -5.682e-1
3.530e+0, -5.682e-1
3.540e+0, -5.682e-1
3.550e+0, -5.679e-1
3.560e+0, -5.679e-1
3.570e+0, -5.676e-1
3.580e+0, -5.673e-1
3.590e+0, -5.673e-1
3.600e+0, -5.673e-1
3.610e+0, -5.673e-1
3.620e+0, -5.673e-1
3.630e+0, -5.670e-1
3.640e+0, -5.667e-1
3.650e+0, -5.664e-1
3.660e+0, -5.664e-1
3.670e+0, -5.664e-1
3.680e+0, -5.664e-1
3.690e+0, -5.660e-1
3.700e+0, -5.660e-1
3.710e+0, -5.657e-1
3.720e+0, -5.654e-1
3.730e+0, -5.654e-1
3.740e+0, -5.651e-1
3.750e+0, -5.651e-1
3.760e+0, -5.651e-1
3.770e+0, -5.651e-1
3.780e+0, -5.648e-1
3.790e+0, -5.645e-1
