Apr. 23, 2025   17:07:27
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp590_r20/2025-04-16-exp1168\exp1168deposition-2025-04-23t17_04_10-deposition\exp1168deposition_it_edep_-130mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.3
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 17.4

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 1.348e-3
2.000e-1, 1.352e-3
3.000e-1, 1.358e-3
4.000e-1, 1.365e-3
5.000e-1, 1.371e-3
6.000e-1, 1.380e-3
7.000e-1, 1.388e-3
8.000e-1, 1.392e-3
9.000e-1, 1.396e-3
1.000e+0, 1.399e-3
1.100e+0, 1.401e-3
1.200e+0, 1.402e-3
1.300e+0, 1.403e-3
1.400e+0, 1.404e-3
1.500e+0, 1.406e-3
1.600e+0, 1.407e-3
1.700e+0, 1.410e-3
1.800e+0, 1.412e-3
1.900e+0, 1.413e-3
2.000e+0, 1.416e-3
2.100e+0, 1.416e-3
2.200e+0, 1.419e-3
2.300e+0, 1.421e-3
2.400e+0, 1.423e-3
2.500e+0, 1.427e-3
2.600e+0, 1.432e-3
2.700e+0, 1.436e-3
2.800e+0, 1.435e-3
2.900e+0, 1.436e-3
3.000e+0, 1.434e-3
3.100e+0, 1.434e-3
3.200e+0, 1.438e-3
3.300e+0, 1.442e-3
3.400e+0, 1.449e-3
3.500e+0, 1.452e-3
3.600e+0, 1.456e-3
3.700e+0, 1.459e-3
3.800e+0, 1.463e-3
3.900e+0, 1.467e-3
4.000e+0, 1.472e-3
4.100e+0, 1.475e-3
4.200e+0, 1.479e-3
4.300e+0, 1.481e-3
4.400e+0, 1.484e-3
4.500e+0, 1.486e-3
4.600e+0, 1.488e-3
4.700e+0, 1.489e-3
4.800e+0, 1.491e-3
4.900e+0, 1.493e-3
5.000e+0, 1.494e-3
5.100e+0, 1.494e-3
5.200e+0, 1.494e-3
5.300e+0, 1.493e-3
5.400e+0, 1.496e-3
5.500e+0, 1.498e-3
5.600e+0, 1.503e-3
5.700e+0, 1.507e-3
5.800e+0, 1.513e-3
5.900e+0, 1.516e-3
6.000e+0, 1.518e-3
6.100e+0, 1.519e-3
6.200e+0, 1.517e-3
6.300e+0, 1.517e-3
6.400e+0, 1.517e-3
6.500e+0, 1.516e-3
6.600e+0, 1.516e-3
6.700e+0, 1.515e-3
6.800e+0, 1.512e-3
6.900e+0, 1.511e-3
7.000e+0, 1.509e-3
7.100e+0, 1.507e-3
7.200e+0, 1.506e-3
7.300e+0, 1.507e-3
7.400e+0, 1.509e-3
7.500e+0, 1.509e-3
7.600e+0, 1.510e-3
7.700e+0, 1.515e-3
7.800e+0, 1.522e-3
7.900e+0, 1.529e-3
8.000e+0, 1.535e-3
8.100e+0, 1.541e-3
8.200e+0, 1.546e-3
8.300e+0, 1.555e-3
8.400e+0, 1.559e-3
8.500e+0, 1.564e-3
8.600e+0, 1.566e-3
8.700e+0, 1.569e-3
8.800e+0, 1.572e-3
8.900e+0, 1.574e-3
9.000e+0, 1.578e-3
9.100e+0, 1.580e-3
9.200e+0, 1.582e-3
9.300e+0, 1.584e-3
9.400e+0, 1.587e-3
9.500e+0, 1.587e-3
9.600e+0, 1.587e-3
9.700e+0, 1.586e-3
9.800e+0, 1.585e-3
9.900e+0, 1.583e-3
1.000e+1, 1.583e-3
1.010e+1, 1.583e-3
1.020e+1, 1.587e-3
1.030e+1, 1.587e-3
1.040e+1, 1.585e-3
1.050e+1, 1.581e-3
1.060e+1, 1.579e-3
1.070e+1, 1.577e-3
1.080e+1, 1.574e-3
1.090e+1, 1.572e-3
1.100e+1, 1.569e-3
1.110e+1, 1.568e-3
1.120e+1, 1.569e-3
1.130e+1, 1.567e-3
1.140e+1, 1.567e-3
1.150e+1, 1.566e-3
1.160e+1, 1.564e-3
1.170e+1, 1.563e-3
1.180e+1, 1.563e-3
1.190e+1, 1.563e-3
1.200e+1, 1.568e-3
1.210e+1, 1.575e-3
1.220e+1, 1.584e-3
1.230e+1, 1.588e-3
1.240e+1, 1.589e-3
1.250e+1, 1.588e-3
1.260e+1, 1.586e-3
1.270e+1, 1.584e-3
1.280e+1, 1.582e-3
1.290e+1, 1.583e-3
1.300e+1, 1.584e-3
1.310e+1, 1.587e-3
1.320e+1, 1.590e-3
1.330e+1, 1.594e-3
1.340e+1, 1.597e-3
1.350e+1, 1.597e-3
1.360e+1, 1.595e-3
1.370e+1, 1.593e-3
1.380e+1, 1.590e-3
1.390e+1, 1.586e-3
1.400e+1, 1.581e-3
1.410e+1, 1.579e-3
1.420e+1, 1.578e-3
1.430e+1, 1.578e-3
1.440e+1, 1.580e-3
1.450e+1, 1.585e-3
1.460e+1, 1.589e-3
1.470e+1, 1.594e-3
1.480e+1, 1.598e-3
1.490e+1, 1.601e-3
1.500e+1, 1.605e-3
1.510e+1, 1.608e-3
1.520e+1, 1.609e-3
1.530e+1, 1.609e-3
1.540e+1, 1.609e-3
1.550e+1, 1.608e-3
1.560e+1, 1.608e-3
1.570e+1, 1.608e-3
1.580e+1, 1.609e-3
1.590e+1, 1.610e-3
1.600e+1, 1.611e-3
1.610e+1, 1.611e-3
1.620e+1, 1.608e-3
1.630e+1, 1.608e-3
1.640e+1, 1.606e-3
1.650e+1, 1.605e-3
1.660e+1, 1.603e-3
1.670e+1, 1.600e-3
1.680e+1, 1.598e-3
1.690e+1, 1.594e-3
1.700e+1, 1.591e-3
