July 13, 2024   03:18:49
Amperometric i-t Curve
File: c:/users/guazh/data/20240709_batch67/2024-07-10-exp28\exp28deposition-2024-07-13t03_13_32-deposition\exp28deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 150
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 14.9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.692e-3
2.000e-1, 3.689e-3
3.000e-1, 3.774e-3
4.000e-1, 3.928e-3
5.000e-1, 4.076e-3
6.000e-1, 4.266e-3
7.000e-1, 4.294e-3
8.000e-1, 4.205e-3
9.000e-1, 4.122e-3
1.000e+0, 4.042e-3
1.100e+0, 3.969e-3
1.200e+0, 3.901e-3
1.300e+0, 3.848e-3
1.400e+0, 3.811e-3
1.500e+0, 3.776e-3
1.600e+0, 3.746e-3
1.700e+0, 3.727e-3
1.800e+0, 3.722e-3
1.900e+0, 3.719e-3
2.000e+0, 3.757e-3
2.100e+0, 3.772e-3
2.200e+0, 3.753e-3
2.300e+0, 3.722e-3
2.400e+0, 3.703e-3
2.500e+0, 3.709e-3
2.600e+0, 3.724e-3
2.700e+0, 3.763e-3
2.800e+0, 3.768e-3
2.900e+0, 3.814e-3
3.000e+0, 3.862e-3
3.100e+0, 3.918e-3
3.200e+0, 3.943e-3
3.300e+0, 3.944e-3
3.400e+0, 4.034e-3
3.500e+0, 4.105e-3
3.600e+0, 4.148e-3
3.700e+0, 4.109e-3
3.800e+0, 4.112e-3
3.900e+0, 4.114e-3
4.000e+0, 4.108e-3
4.100e+0, 4.127e-3
4.200e+0, 4.137e-3
4.300e+0, 4.155e-3
4.400e+0, 4.155e-3
4.500e+0, 4.168e-3
4.600e+0, 4.174e-3
4.700e+0, 4.167e-3
4.800e+0, 4.164e-3
4.900e+0, 4.167e-3
5.000e+0, 4.155e-3
5.100e+0, 4.143e-3
5.200e+0, 4.132e-3
5.300e+0, 4.095e-3
5.400e+0, 4.101e-3
5.500e+0, 4.088e-3
5.600e+0, 4.089e-3
5.700e+0, 4.105e-3
5.800e+0, 4.101e-3
5.900e+0, 4.107e-3
6.000e+0, 4.090e-3
6.100e+0, 4.068e-3
6.200e+0, 4.031e-3
6.300e+0, 4.002e-3
6.400e+0, 4.068e-3
6.500e+0, 4.197e-3
6.600e+0, 4.269e-3
6.700e+0, 4.291e-3
6.800e+0, 4.295e-3
6.900e+0, 4.336e-3
7.000e+0, 4.366e-3
7.100e+0, 4.370e-3
7.200e+0, 4.444e-3
7.300e+0, 4.571e-3
7.400e+0, 4.691e-3
7.500e+0, 4.773e-3
7.600e+0, 4.797e-3
7.700e+0, 4.817e-3
7.800e+0, 4.790e-3
7.900e+0, 4.774e-3
8.000e+0, 4.763e-3
8.100e+0, 4.693e-3
8.200e+0, 4.694e-3
8.300e+0, 4.679e-3
8.400e+0, 4.597e-3
8.500e+0, 4.551e-3
8.600e+0, 4.567e-3
8.700e+0, 4.556e-3
8.800e+0, 4.511e-3
8.900e+0, 4.467e-3
9.000e+0, 4.458e-3
9.100e+0, 4.439e-3
9.200e+0, 4.427e-3
9.300e+0, 4.423e-3
9.400e+0, 4.468e-3
9.500e+0, 4.495e-3
9.600e+0, 4.572e-3
9.700e+0, 4.630e-3
9.800e+0, 4.704e-3
9.900e+0, 4.680e-3
1.000e+1, 4.651e-3
1.010e+1, 4.650e-3
1.020e+1, 4.671e-3
1.030e+1, 4.662e-3
1.040e+1, 4.628e-3
1.050e+1, 4.593e-3
1.060e+1, 4.559e-3
1.070e+1, 4.529e-3
1.080e+1, 4.529e-3
1.090e+1, 4.540e-3
1.100e+1, 4.501e-3
1.110e+1, 4.478e-3
1.120e+1, 4.483e-3
1.130e+1, 4.506e-3
1.140e+1, 4.511e-3
1.150e+1, 4.495e-3
1.160e+1, 4.478e-3
1.170e+1, 4.480e-3
1.180e+1, 4.514e-3
1.190e+1, 4.532e-3
1.200e+1, 4.573e-3
1.210e+1, 4.602e-3
1.220e+1, 4.599e-3
1.230e+1, 4.588e-3
1.240e+1, 4.559e-3
1.250e+1, 4.547e-3
1.260e+1, 4.556e-3
1.270e+1, 4.543e-3
1.280e+1, 4.587e-3
1.290e+1, 4.575e-3
1.300e+1, 4.571e-3
1.310e+1, 4.585e-3
1.320e+1, 4.664e-3
1.330e+1, 4.693e-3
1.340e+1, 4.780e-3
1.350e+1, 4.772e-3
1.360e+1, 4.721e-3
1.370e+1, 4.674e-3
1.380e+1, 4.650e-3
1.390e+1, 4.623e-3
1.400e+1, 4.619e-3
1.410e+1, 4.693e-3
1.420e+1, 4.833e-3
1.430e+1, 4.959e-3
1.440e+1, 5.019e-3
1.450e+1, 4.994e-3
1.460e+1, 4.927e-3
1.470e+1, 4.869e-3
1.480e+1, 4.820e-3
1.490e+1, 4.833e-3
1.500e+1, 4.814e-3
1.510e+1, 4.762e-3
1.520e+1, 4.822e-3
1.530e+1, 4.832e-3
1.540e+1, 4.815e-3
1.550e+1, 4.833e-3
1.560e+1, 4.847e-3
1.570e+1, 4.825e-3
1.580e+1, 4.798e-3
1.590e+1, 4.792e-3
1.600e+1, 4.795e-3
1.610e+1, 4.779e-3
1.620e+1, 4.765e-3
1.630e+1, 4.775e-3
1.640e+1, 4.793e-3
1.650e+1, 4.794e-3
1.660e+1, 4.768e-3
1.670e+1, 4.786e-3
1.680e+1, 4.756e-3
1.690e+1, 4.754e-3
1.700e+1, 4.732e-3
1.710e+1, 4.722e-3
1.720e+1, 4.718e-3
1.730e+1, 4.748e-3
1.740e+1, 4.722e-3
1.750e+1, 4.713e-3
1.760e+1, 4.728e-3
1.770e+1, 4.769e-3
1.780e+1, 4.742e-3
1.790e+1, 4.750e-3
1.800e+1, 4.771e-3
1.810e+1, 4.749e-3
1.820e+1, 4.786e-3
1.830e+1, 4.785e-3
1.840e+1, 4.736e-3
1.850e+1, 4.726e-3
1.860e+1, 4.708e-3
1.870e+1, 4.690e-3
1.880e+1, 4.730e-3
1.890e+1, 4.743e-3
1.900e+1, 4.735e-3
1.910e+1, 4.714e-3
1.920e+1, 4.709e-3
1.930e+1, 4.654e-3
1.940e+1, 4.642e-3
1.950e+1, 4.657e-3
1.960e+1, 4.676e-3
1.970e+1, 4.687e-3
1.980e+1, 4.670e-3
1.990e+1, 4.665e-3
2.000e+1, 4.687e-3
2.010e+1, 4.692e-3
2.020e+1, 4.720e-3
2.030e+1, 4.753e-3
2.040e+1, 4.745e-3
2.050e+1, 4.730e-3
2.060e+1, 4.807e-3
2.070e+1, 4.830e-3
2.080e+1, 4.816e-3
2.090e+1, 4.808e-3
2.100e+1, 4.819e-3
2.110e+1, 4.789e-3
2.120e+1, 4.794e-3
2.130e+1, 4.815e-3
2.140e+1, 4.799e-3
2.150e+1, 4.757e-3
2.160e+1, 4.743e-3
2.170e+1, 4.723e-3
2.180e+1, 4.682e-3
2.190e+1, 4.637e-3
2.200e+1, 4.614e-3
2.210e+1, 4.588e-3
2.220e+1, 4.582e-3
2.230e+1, 4.588e-3
2.240e+1, 4.623e-3
2.250e+1, 4.649e-3
2.260e+1, 4.726e-3
2.270e+1, 4.799e-3
2.280e+1, 4.805e-3
2.290e+1, 4.802e-3
2.300e+1, 4.842e-3
2.310e+1, 4.969e-3
2.320e+1, 5.007e-3
2.330e+1, 5.074e-3
2.340e+1, 5.028e-3
2.350e+1, 4.973e-3
2.360e+1, 4.960e-3
2.370e+1, 4.994e-3
2.380e+1, 5.028e-3
2.390e+1, 5.013e-3
2.400e+1, 4.985e-3
2.410e+1, 5.030e-3
2.420e+1, 4.984e-3
2.430e+1, 5.005e-3
2.440e+1, 4.999e-3
