Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp830,0,20,0,15,27,0,0,0,0,8,8,-1.4,180,-0.0317,-0.0187,-0.0087,-0.1607,0.0053
exp831,0,30,0,15,17,3,5,0,0,0,0,-1.4,140,-0.0627,-0.0947,0.0003,-0.2997,-0.3537
exp832,0,26,0,15,21,0,0,0,0,8,8,-1.5,180,-0.0677,-0.0907,-0.1157,-0.1447,-0.1867
exp833,0,20,0,15,27,0,0,0,0,8,8,-1.5,180,-0.0297,-0.0927,-0.1217,-0.0017,-0.2487
exp834,5,28,5,15,17,0,0,0,0,0,0,-1.5,30,-0.3287,-0.3717,-0.3837,-0.3937,-0.4027
exp835,5,20,0,25,17,0,0,0,0,3,3,-1.5,37,-0.1427,-0.3237,-0.3627,-0.3797,-0.3917
exp836,0,20,0,25,17,0,0,0,0,8,8,-1.5,136,-0.0797,-0.0997,-0.1207,-0.1427,-0.1637
exp837,0,20,0,24,17,0,0,1,0,8,8,-1.5,135,-0.0727,-0.1397,0.0093,-0.3217,-0.3427
exp838,0,23,5,15,23,0,0,0,0,4,4,-1.5,180,-0.0727,-0.0377,-0.0287,-0.1257,-0.1467
exp839,0,20,3,22,17,0,0,0,0,8,8,-1.5,180,-0.0807,-0.0947,-0.1087,-0.1237,-0.1377
exp840,1,24,0,15,17,5,0,0,0,8,8,-1.5,180,-0.0907,-0.1137,-0.1377,-0.0257,-0.1887
exp841,5,20,0,25,17,0,0,0,0,3,3,-1.5,30,-0.1647,-0.3597,-0.3847,-0.3957,-0.4057
exp842,0,20,5,15,22,0,5,0,0,3,3,-1.5,65,-0.4117,-0.4207,-0.4447,-0.4707,-0.4887
exp843,5,30,0,15,17,0,0,0,0,3,3,-1.5,180,-0.0607,-0.0857,-0.1147,-0.1447,0.0003
