Apr. 4, 2025   22:09:35
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp994_r5/2025-03-28-exp984\exp984deposition-2025-04-04t22_05_52-deposition\exp984deposition_it_edep_-100mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1
Sample Interval (s) = 0.1
Run Time (sec) = 53
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.6

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 8.424e-6
2.000e-1, 8.463e-6
3.000e-1, 8.462e-6
4.000e-1, 8.430e-6
5.000e-1, 8.404e-6
6.000e-1, 8.383e-6
7.000e-1, 8.363e-6
8.000e-1, 8.278e-6
9.000e-1, 8.211e-6
1.000e+0, 8.229e-6
1.100e+0, 8.241e-6
1.200e+0, 8.215e-6
1.300e+0, 8.178e-6
1.400e+0, 8.118e-6
1.500e+0, 8.166e-6
1.600e+0, 8.157e-6
1.700e+0, 8.010e-6
1.800e+0, 7.892e-6
1.900e+0, 7.871e-6
2.000e+0, 7.874e-6
2.100e+0, 8.016e-6
2.200e+0, 8.187e-6
2.300e+0, 8.438e-6
2.400e+0, 8.572e-6
2.500e+0, 8.636e-6
2.600e+0, 8.740e-6
2.700e+0, 8.834e-6
2.800e+0, 8.874e-6
2.900e+0, 8.846e-6
3.000e+0, 8.839e-6
3.100e+0, 8.781e-6
3.200e+0, 8.701e-6
3.300e+0, 8.698e-6
3.400e+0, 8.543e-6
3.500e+0, 8.490e-6
3.600e+0, 8.508e-6
3.700e+0, 8.591e-6
3.800e+0, 8.909e-6
3.900e+0, 9.278e-6
4.000e+0, 9.683e-6
4.100e+0, 1.001e-5
4.200e+0, 1.006e-5
4.300e+0, 1.009e-5
4.400e+0, 1.014e-5
4.500e+0, 1.020e-5
4.600e+0, 1.037e-5
4.700e+0, 1.056e-5
4.800e+0, 1.073e-5
4.900e+0, 1.087e-5
5.000e+0, 1.105e-5
5.100e+0, 1.124e-5
5.200e+0, 1.137e-5
5.300e+0, 1.158e-5
5.400e+0, 1.178e-5
5.500e+0, 1.188e-5
5.600e+0, 1.198e-5
5.700e+0, 1.221e-5
5.800e+0, 1.248e-5
5.900e+0, 1.284e-5
6.000e+0, 1.316e-5
6.100e+0, 1.392e-5
6.200e+0, 1.424e-5
6.300e+0, 1.442e-5
6.400e+0, 1.461e-5
6.500e+0, 1.476e-5
6.600e+0, 1.504e-5
6.700e+0, 1.542e-5
6.800e+0, 1.591e-5
6.900e+0, 1.648e-5
7.000e+0, 1.707e-5
7.100e+0, 1.772e-5
