Aug. 29, 2024   08:14:46
Open Circuit Potential - Time
File: c:/users/guazh/data/20240813_batch_181_500/2024-08-25-exp213\1acid_2ac-2024-08-29t08_13_22-lsvinphos\ocp_2024-08-29t08_14_27.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

2.010e+0, -1.427e-1
2.020e+0, -1.433e-1
2.030e+0, -1.437e-1
2.040e+0, -1.430e-1
2.050e+0, -1.443e-1
2.060e+0, -1.433e-1
2.070e+0, -1.440e-1
2.080e+0, -1.443e-1
2.090e+0, -1.437e-1
2.100e+0, -1.449e-1
2.110e+0, -1.440e-1
2.120e+0, -1.446e-1
2.130e+0, -1.452e-1
2.140e+0, -1.443e-1
2.150e+0, -1.455e-1
2.160e+0, -1.449e-1
2.170e+0, -1.452e-1
2.180e+0, -1.458e-1
2.190e+0, -1.449e-1
2.200e+0, -1.464e-1
2.210e+0, -1.455e-1
2.220e+0, -1.458e-1
2.230e+0, -1.461e-1
2.240e+0, -1.452e-1
2.250e+0, -1.467e-1
2.260e+0, -1.455e-1
2.270e+0, -1.461e-1
2.280e+0, -1.464e-1
2.290e+0, -1.458e-1
2.300e+0, -1.470e-1
2.310e+0, -1.461e-1
2.320e+0, -1.464e-1
2.330e+0, -1.467e-1
2.340e+0, -1.461e-1
2.350e+0, -1.474e-1
2.360e+0, -1.461e-1
2.370e+0, -1.467e-1
2.380e+0, -1.470e-1
2.390e+0, -1.464e-1
2.400e+0, -1.477e-1
2.410e+0, -1.467e-1
2.420e+0, -1.474e-1
2.430e+0, -1.477e-1
2.440e+0, -1.467e-1
2.450e+0, -1.483e-1
2.460e+0, -1.474e-1
2.470e+0, -1.477e-1
2.480e+0, -1.480e-1
2.490e+0, -1.474e-1
2.500e+0, -1.486e-1
2.510e+0, -1.477e-1
2.520e+0, -1.480e-1
2.530e+0, -1.483e-1
2.540e+0, -1.477e-1
2.550e+0, -1.489e-1
2.560e+0, -1.480e-1
2.570e+0, -1.486e-1
2.580e+0, -1.489e-1
2.590e+0, -1.480e-1
2.600e+0, -1.495e-1
2.610e+0, -1.483e-1
2.620e+0, -1.489e-1
2.630e+0, -1.492e-1
2.640e+0, -1.483e-1
2.650e+0, -1.498e-1
2.660e+0, -1.486e-1
2.670e+0, -1.492e-1
2.680e+0, -1.495e-1
2.690e+0, -1.486e-1
2.700e+0, -1.501e-1
2.710e+0, -1.489e-1
2.720e+0, -1.495e-1
2.730e+0, -1.498e-1
2.740e+0, -1.492e-1
2.750e+0, -1.504e-1
2.760e+0, -1.492e-1
2.770e+0, -1.498e-1
2.780e+0, -1.501e-1
2.790e+0, -1.495e-1
2.800e+0, -1.507e-1
2.810e+0, -1.495e-1
2.820e+0, -1.501e-1
2.830e+0, -1.504e-1
2.840e+0, -1.498e-1
2.850e+0, -1.511e-1
2.860e+0, -1.501e-1
