Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp979,0,0,0,0,28,1,0,0,0,0,41,-1,85,-0.6827,-0.7127,-0.7337,-0.7517,-0.7667
exp980,0,0,0,20,28,4,18,0,0,0,0,-1.5,30,-0.6277,-0.6687,-0.6967,-0.7187,-0.7367
exp981,0,0,28,20,0,2,20,0,0,0,0,-1.2,122,-0.6387,-0.6777,-0.7017,-0.7197,-0.7357
exp982,9,0,0,0,28,0,0,20,0,13,13,-1.5,180,-0.3067,-0.3377,-0.3577,-0.3747,-0.3887
exp983,0,10,0,0,28,0,0,20,12,0,0,-1.5,180,-0.2937,-0.3257,-0.3457,-0.3617,-0.3767
exp984,0,0,0,0,28,20,0,20,0,0,2,-1.5,180,-0.2587,-0.2897,-0.3087,-0.3237,-0.3367
exp985,20,0,0,0,15,15,20,0,0,0,0,-1.5,30,-0.5277,-0.5697,-0.5997,-0.6247,-0.6477
exp986,0,0,0,0,13,16,14,2,0,25,25,-1.5,180,-0.3857,-0.4227,-0.4487,-0.4697,-0.4877
exp987,0,0,21,0,9,10,7,0,0,0,23,-1,163,-0.5057,-0.5417,-0.5707,-0.5947,-0.6167
exp988,0,0,0,0,27,0,0,19,0,0,24,-1.5,30,-0.4137,-0.4497,-0.4767,-0.4977,-0.5167
exp989,7,20,0,20,2,0,20,0,1,0,0,-1.2,180,-0.6587,-0.7037,-0.7327,-0.7557,-0.7757
exp990,0,0,0,20,9,20,6,0,0,15,15,-1.5,180,-0.0047,-0.2277,-0.3107,-0.3217,-0.3287
exp991,0,0,4,0,10,20,0,0,0,0,36,-1.5,144,-0.3577,-0.3737,-0.3817,-0.3877,-0.3937
exp992,0,0,28,0,26,0,16,0,0,0,0,-1.5,180,-0.4077,-0.4277,-0.4367,-0.4427,
exp993,0,0,19,0,16,0,0,0,0,35,35,-1.3,30,-0.2737,-0.2907,-0.3017,-0.3097,-0.3167
exp994,0,0,11,20,19,0,0,0,0,20,20,-1.5,180,-0.0737,-0.0347,-0.1107,-0.1307,-0.1517
exp995,0,0,28,0,16,0,0,0,0,26,26,-1.3,180,-0.1027,0.0083,-0.2987,-0.3067,-0.3127
exp996,0,0,0,0,11,15,20,0,0,0,24,-1.4,180,-0.3227,-0.3487,-0.3627,-0.3717,-0.3797
exp997,20,0,0,20,28,2,0,0,0,0,0,-1.4,130,-0.6107,-0.6487,-0.6737,-0.6937,-0.7097
exp998,0,0,28,20,0,20,2,0,0,0,0,-1.5,180,-0.0527,-0.0887,-0.1357,-0.2117,-0.3507
exp999,0,0,0,0,0,20,0,20,0,0,30,-1.5,180,-0.2767,-0.3107,-0.3347,-0.3537,-0.3707
exp1000,0,20,28,0,22,0,0,0,0,0,0,-1.5,180,-0.2727,-0.3317,-0.3587,-0.3767,-0.3917
exp1001,0,3,0,0,17,20,1,0,0,0,29,-1.3,180,-0.2507,-0.3107,-0.3297,-0.3407,-0.3507
exp1002,0,0,14,20,28,0,0,0,0,0,8,-1.4,180,-0.0637,-0.0917,-0.1197,0.0003,-0.3297
exp1003,0,0,14,20,16,20,0,0,0,0,0,-1.5,30,0.0083,-0.3787,-0.3877,-0.3927,-0.3977
exp1004,0,0,0,0,28,0,8,20,0,0,14,-1.4,180,-0.2877,-0.3197,-0.3407,-0.3567,-0.3707
exp1005,0,0,0,20,20,18,0,0,0,0,12,-1.5,180,-0.0567,-0.0757,-0.0987,-0.1277,-0.1687
exp1006,0,0,0,0,28,0,0,10,0,0,32,-1.5,180,-0.3657,-0.4027,-0.4267,-0.4467,-0.4657
exp1007,0,0,28,0,9,0,5,0,0,0,28,-1.3,30,-0.5137,-0.5397,-0.5577,-0.5717,-0.5847
exp1008,0,1,0,0,22,10,0,0,0,0,37,-1.5,30,-0.3677,-0.3907,-0.4057,-0.4177,-0.4277
exp1009,0,0,0,20,25,5,0,20,0,0,0,-1.5,162,-0.3207,-0.3557,-0.3787,-0.3987,-0.4167
exp1010,0,0,0,20,24,0,0,20,0,0,6,-1.5,180,-0.2437,-0.3507,-0.3747,-0.3937,-0.4107
exp1011,0,0,0,20,26,20,0,0,0,4,4,-1.3,180,-0.0657,-0.0997,-0.1417,-0.2937,-0.3277
exp1012,0,0,28,0,13,20,3,6,0,0,0,-1.5,78,-0.2387,-0.2687,-0.2877,-0.3037,-0.3157
exp1013,0,0,27,0,25,0,0,18,0,0,0,-1.5,33,-0.3357,-0.3697,-0.3927,-0.4117,-0.4267
exp1014,0,0,8,0,16,20,0,0,0,26,26,-1.5,112,-0.3117,-0.3477,-0.3737,-0.3997,-0.4227
exp1015,0,0,17,0,27,0,0,0,0,0,26,-1.3,180,-0.3947,-0.4157,-0.4247,-0.4297,-0.4337
exp1016,0,0,0,0,19,20,20,11,0,0,0,-1.5,171,-0.2357,-0.2697,-0.2907,-0.3057,-0.3187
exp1017,0,14,28,0,28,0,0,0,0,0,0,-1.4,109,-0.2927,-0.3417,-0.3667,-0.3837,-0.3967
exp1018,0,0,0,0,6,20,0,0,0,4,44,-1.5,30,-0.2837,-0.2967,-0.3067,-0.3187,-0.3327
exp1019,0,20,0,0,12,0,0,6,0,33,32,-1.5,180,-0.5147,-0.5637,-0.5977,-0.6237,-0.6457
exp1020,0,0,0,20,25,0,0,0,0,25,25,-1.3,30,-0.3227,-0.3437,-0.3517,-0.3577,-0.3637
exp1021,20,14,0,0,28,0,3,0,4,0,1,-1.3,180,-0.3097,-0.3517,-0.3787,-0.3997,-0.4167
exp1022,0,0,0,0,27,0,0,10,0,33,33,-1.2,180,-0.4747,-0.5187,-0.5467,-0.5687,-0.5867
exp1023,0,0,0,20,19,11,0,20,0,0,0,-1.5,180,0.0033,-0.3517,-0.3747,-0.3957,-0.4127
exp1024,0,0,0,20,10,11,3,14,0,0,12,-1.5,180,-0.1517,-0.3247,-0.3537,-0.3717,-0.3867
exp1025,0,0,11,0,23,16,0,20,0,0,0,-1.5,180,-0.2837,-0.3167,-0.3387,-0.3567,-0.3737
exp1026,11,0,21,0,27,0,0,10,0,0,1,-1.5,81,-0.3437,-0.3777,-0.4027,-0.4217,-0.4387
exp1027,0,20,0,0,24,9,0,16,0,0,1,-1.5,180,-0.2617,-0.2937,-0.3127,-0.3287,-0.3417
exp1028,0,0,0,0,14,18,20,17,0,0,1,-1.2,180,-0.3077,-0.3417,-0.3637,-0.3817,-0.3977
exp1029,0,0,6,20,17,10,0,17,0,0,0,-1.5,180,-0.1217,-0.2447,-0.3057,-0.3217,-0.3347
exp1030,0,9,21,0,0,20,20,0,0,0,0,-1.5,151,-0.4157,-0.4577,-0.4877,-0.5127,-0.5327
exp1031,0,0,28,20,2,20,0,0,0,0,0,-1.5,180,-0.0767,-0.1217,0.0033,-0.2377,-0.3727
exp1032,0,0,28,0,15,0,0,0,0,23,27,-1,180,-0.2917,-0.3027,-0.3117,-0.3207,-0.3307
exp1033,0,0,23,0,27,20,0,0,0,0,0,-1.5,180,-0.3367,-0.3787,-0.3957,-0.4037,-0.4087
exp1034,0,0,0,0,9,20,0,3,0,0,38,-1.5,136,-0.2517,-0.2817,-0.3007,-0.3167,-0.3297
exp1035,0,0,0,20,23,0,0,0,0,0,27,-1.2,180,-0.3747,-0.3907,-0.4007,-0.4107,-0.4197
exp1036,0,0,28,0,6,0,0,0,0,0,36,-1.5,69,-0.5987,-0.6327,-0.6537,-0.6707,-0.6817
exp1037,0,10,0,0,22,20,18,0,0,0,0,-1.5,156,-0.3567,-0.3807,-0.3957,-0.4087,-0.4207
exp1038,20,0,1,0,19,13,0,0,0,0,17,-1.5,88,-0.6837,-0.7047,-0.7187,-0.7317,-0.7427
exp1039,0,5,11,15,14,0,0,0,0,25,25,-1.5,180,-0.0637,-0.0357,-0.0287,-0.1137,-0.0167
