May 3, 2025   17:59:06
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp1108_r5/2025-04-30-exp1230\exp1230deposition-2025-05-03t17_55_50-deposition\exp1230deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 13.6

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.174e-3
2.000e-1, 3.186e-3
3.000e-1, 3.202e-3
4.000e-1, 3.200e-3
5.000e-1, 3.223e-3
6.000e-1, 3.332e-3
7.000e-1, 3.529e-3
8.000e-1, 3.494e-3
9.000e-1, 3.487e-3
1.000e+0, 3.491e-3
1.100e+0, 3.543e-3
1.200e+0, 3.634e-3
1.300e+0, 3.666e-3
1.400e+0, 3.708e-3
1.500e+0, 3.711e-3
1.600e+0, 3.712e-3
1.700e+0, 3.705e-3
1.800e+0, 3.705e-3
1.900e+0, 3.705e-3
2.000e+0, 3.720e-3
2.100e+0, 3.732e-3
2.200e+0, 3.735e-3
2.300e+0, 3.735e-3
2.400e+0, 3.730e-3
2.500e+0, 3.726e-3
2.600e+0, 3.707e-3
2.700e+0, 3.707e-3
2.800e+0, 3.692e-3
2.900e+0, 3.710e-3
3.000e+0, 3.753e-3
3.100e+0, 3.740e-3
3.200e+0, 3.705e-3
3.300e+0, 3.679e-3
3.400e+0, 3.670e-3
3.500e+0, 3.687e-3
3.600e+0, 3.718e-3
3.700e+0, 3.716e-3
3.800e+0, 3.711e-3
3.900e+0, 3.723e-3
4.000e+0, 3.774e-3
4.100e+0, 3.795e-3
4.200e+0, 3.784e-3
4.300e+0, 3.780e-3
4.400e+0, 3.817e-3
4.500e+0, 3.824e-3
4.600e+0, 3.839e-3
4.700e+0, 3.867e-3
4.800e+0, 3.859e-3
4.900e+0, 3.833e-3
5.000e+0, 3.810e-3
5.100e+0, 3.815e-3
5.200e+0, 3.816e-3
5.300e+0, 3.814e-3
5.400e+0, 3.817e-3
5.500e+0, 3.846e-3
5.600e+0, 3.865e-3
5.700e+0, 3.883e-3
5.800e+0, 3.885e-3
5.900e+0, 3.914e-3
6.000e+0, 3.965e-3
6.100e+0, 3.991e-3
6.200e+0, 4.036e-3
6.300e+0, 4.109e-3
6.400e+0, 4.147e-3
6.500e+0, 4.171e-3
6.600e+0, 4.489e-3
6.700e+0, 4.478e-3
6.800e+0, 4.397e-3
6.900e+0, 4.342e-3
7.000e+0, 4.281e-3
7.100e+0, 4.241e-3
7.200e+0, 4.208e-3
7.300e+0, 4.177e-3
7.400e+0, 4.159e-3
7.500e+0, 4.147e-3
7.600e+0, 4.134e-3
7.700e+0, 4.126e-3
7.800e+0, 4.118e-3
7.900e+0, 4.113e-3
8.000e+0, 4.116e-3
8.100e+0, 4.119e-3
8.200e+0, 4.126e-3
8.300e+0, 4.143e-3
8.400e+0, 4.158e-3
8.500e+0, 4.160e-3
8.600e+0, 4.360e-3
8.700e+0, 4.457e-3
8.800e+0, 4.483e-3
8.900e+0, 4.618e-3
9.000e+0, 4.616e-3
9.100e+0, 4.605e-3
9.200e+0, 4.584e-3
9.300e+0, 4.570e-3
9.400e+0, 4.560e-3
9.500e+0, 4.558e-3
9.600e+0, 4.561e-3
9.700e+0, 4.591e-3
9.800e+0, 4.620e-3
9.900e+0, 4.616e-3
1.000e+1, 4.622e-3
1.010e+1, 4.628e-3
1.020e+1, 4.654e-3
1.030e+1, 4.666e-3
1.040e+1, 4.675e-3
1.050e+1, 4.673e-3
1.060e+1, 4.709e-3
1.070e+1, 4.736e-3
1.080e+1, 4.746e-3
1.090e+1, 4.757e-3
1.100e+1, 4.777e-3
1.110e+1, 4.811e-3
1.120e+1, 4.827e-3
1.130e+1, 4.836e-3
1.140e+1, 4.839e-3
1.150e+1, 4.854e-3
1.160e+1, 4.862e-3
1.170e+1, 4.869e-3
1.180e+1, 4.894e-3
1.190e+1, 4.921e-3
1.200e+1, 4.938e-3
1.210e+1, 4.954e-3
1.220e+1, 4.974e-3
1.230e+1, 4.985e-3
1.240e+1, 5.061e-3
1.250e+1, 5.138e-3
1.260e+1, 5.213e-3
1.270e+1, 5.257e-3
1.280e+1, 5.323e-3
1.290e+1, 5.496e-3
1.300e+1, 5.563e-3
1.310e+1, 5.558e-3
1.320e+1, 5.530e-3
1.330e+1, 5.536e-3
1.340e+1, 5.541e-3
1.350e+1, 5.578e-3
1.360e+1, 5.562e-3
1.370e+1, 5.515e-3
1.380e+1, 5.492e-3
1.390e+1, 5.477e-3
1.400e+1, 5.485e-3
1.410e+1, 5.482e-3
1.420e+1, 5.514e-3
1.430e+1, 5.580e-3
1.440e+1, 5.564e-3
1.450e+1, 5.548e-3
1.460e+1, 5.617e-3
1.470e+1, 5.635e-3
1.480e+1, 5.634e-3
1.490e+1, 5.687e-3
1.500e+1, 5.795e-3
1.510e+1, 5.884e-3
1.520e+1, 5.962e-3
1.530e+1, 6.068e-3
1.540e+1, 6.178e-3
1.550e+1, 6.245e-3
1.560e+1, 6.241e-3
1.570e+1, 6.217e-3
1.580e+1, 6.196e-3
1.590e+1, 6.212e-3
1.600e+1, 6.216e-3
1.610e+1, 6.227e-3
1.620e+1, 6.286e-3
1.630e+1, 6.333e-3
1.640e+1, 6.341e-3
1.650e+1, 6.342e-3
1.660e+1, 6.335e-3
1.670e+1, 6.337e-3
1.680e+1, 6.337e-3
1.690e+1, 6.332e-3
1.700e+1, 6.326e-3
1.710e+1, 6.328e-3
1.720e+1, 6.330e-3
1.730e+1, 6.335e-3
1.740e+1, 6.342e-3
1.750e+1, 6.356e-3
1.760e+1, 6.373e-3
1.770e+1, 6.392e-3
1.780e+1, 6.463e-3
1.790e+1, 6.515e-3
1.800e+1, 6.555e-3
1.810e+1, 6.573e-3
1.820e+1, 6.583e-3
1.830e+1, 6.602e-3
1.840e+1, 6.618e-3
1.850e+1, 6.647e-3
1.860e+1, 6.676e-3
1.870e+1, 6.712e-3
1.880e+1, 6.758e-3
1.890e+1, 6.791e-3
1.900e+1, 6.850e-3
1.910e+1, 6.893e-3
1.920e+1, 6.972e-3
1.930e+1, 7.079e-3
1.940e+1, 7.238e-3
1.950e+1, 7.251e-3
1.960e+1, 7.283e-3
1.970e+1, 7.299e-3
1.980e+1, 7.373e-3
1.990e+1, 7.533e-3
2.000e+1, 7.710e-3
2.010e+1, 7.715e-3
2.020e+1, 7.714e-3
2.030e+1, 7.713e-3
2.040e+1, 7.721e-3
2.050e+1, 7.729e-3
2.060e+1, 7.749e-3
2.070e+1, 7.851e-3
2.080e+1, 7.836e-3
2.090e+1, 7.823e-3
2.100e+1, 7.876e-3
2.110e+1, 7.966e-3
2.120e+1, 8.055e-3
2.130e+1, 8.072e-3
2.140e+1, 8.079e-3
2.150e+1, 8.071e-3
2.160e+1, 8.051e-3
2.170e+1, 8.083e-3
2.180e+1, 8.126e-3
2.190e+1, 8.154e-3
2.200e+1, 8.167e-3
2.210e+1, 8.223e-3
2.220e+1, 8.246e-3
2.230e+1, 8.266e-3
2.240e+1, 8.302e-3
2.250e+1, 8.347e-3
2.260e+1, 8.436e-3
2.270e+1, 8.432e-3
2.280e+1, 8.455e-3
2.290e+1, 8.479e-3
2.300e+1, 8.533e-3
2.310e+1, 8.535e-3
2.320e+1, 8.594e-3
2.330e+1, 8.576e-3
2.340e+1, 8.601e-3
2.350e+1, 8.692e-3
2.360e+1, 8.731e-3
2.370e+1, 8.780e-3
2.380e+1, 8.708e-3
2.390e+1, 8.634e-3
2.400e+1, 8.624e-3
2.410e+1, 8.660e-3
2.420e+1, 8.738e-3
2.430e+1, 8.714e-3
2.440e+1, 8.682e-3
2.450e+1, 8.470e-3
2.460e+1, 8.899e-3
2.470e+1, 8.886e-3
2.480e+1, 8.864e-3
2.490e+1, 8.855e-3
2.500e+1, 8.869e-3
2.510e+1, 8.896e-3
2.520e+1, 8.935e-3
2.530e+1, 8.954e-3
2.540e+1, 8.966e-3
2.550e+1, 8.988e-3
2.560e+1, 9.008e-3
2.570e+1, 9.024e-3
2.580e+1, 9.050e-3
2.590e+1, 9.089e-3
2.600e+1, 9.123e-3
2.610e+1, 9.156e-3
2.620e+1, 9.173e-3
2.630e+1, 9.173e-3
2.640e+1, 9.232e-3
2.650e+1, 9.253e-3
2.660e+1, 9.289e-3
2.670e+1, 9.414e-3
2.680e+1, 9.478e-3
2.690e+1, 9.523e-3
2.700e+1, 9.622e-3
2.710e+1, 9.663e-3
2.720e+1, 9.711e-3
2.730e+1, 9.737e-3
2.740e+1, 9.774e-3
2.750e+1, 9.802e-3
2.760e+1, 9.896e-3
2.770e+1, 1.000e-2
2.780e+1, 1.006e-2
2.790e+1, 1.003e-2
2.800e+1, 1.005e-2
2.810e+1, 1.004e-2
2.820e+1, 1.004e-2
2.830e+1, 1.003e-2
2.840e+1, 1.001e-2
2.850e+1, 1.001e-2
2.860e+1, 1.004e-2
2.870e+1, 1.010e-2
2.880e+1, 1.011e-2
2.890e+1, 1.011e-2
2.900e+1, 1.011e-2
2.910e+1, 1.011e-2
2.920e+1, 1.011e-2
2.930e+1, 1.011e-2
2.940e+1, 1.011e-2
2.950e+1, 1.011e-2
2.960e+1, 1.011e-2
2.970e+1, 1.011e-2
2.980e+1, 1.011e-2
2.990e+1, 1.011e-2
3.000e+1, 1.011e-2
