Jan. 13, 2025   19:29:58
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp836\exp836deposition-2025-01-13t19_24_52-deposition\exp836deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 136
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.1

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 4.026e-3
2.000e-1, 4.003e-3
3.000e-1, 3.983e-3
4.000e-1, 3.963e-3
5.000e-1, 3.950e-3
6.000e-1, 3.942e-3
7.000e-1, 3.934e-3
8.000e-1, 3.918e-3
9.000e-1, 3.905e-3
1.000e+0, 3.891e-3
1.100e+0, 3.875e-3
1.200e+0, 3.855e-3
1.300e+0, 3.832e-3
1.400e+0, 3.816e-3
1.500e+0, 3.810e-3
1.600e+0, 3.809e-3
1.700e+0, 3.826e-3
1.800e+0, 3.836e-3
1.900e+0, 3.841e-3
2.000e+0, 3.834e-3
2.100e+0, 3.828e-3
2.200e+0, 3.822e-3
2.300e+0, 3.817e-3
2.400e+0, 3.813e-3
2.500e+0, 3.806e-3
2.600e+0, 3.797e-3
2.700e+0, 3.797e-3
2.800e+0, 3.826e-3
2.900e+0, 3.837e-3
3.000e+0, 3.841e-3
3.100e+0, 3.836e-3
3.200e+0, 3.828e-3
3.300e+0, 3.822e-3
3.400e+0, 3.813e-3
3.500e+0, 3.797e-3
3.600e+0, 3.784e-3
3.700e+0, 3.779e-3
3.800e+0, 3.785e-3
3.900e+0, 3.789e-3
4.000e+0, 3.781e-3
4.100e+0, 3.767e-3
4.200e+0, 3.753e-3
4.300e+0, 3.751e-3
4.400e+0, 3.753e-3
4.500e+0, 3.757e-3
4.600e+0, 3.766e-3
4.700e+0, 3.777e-3
4.800e+0, 3.775e-3
4.900e+0, 3.759e-3
5.000e+0, 3.747e-3
5.100e+0, 3.750e-3
5.200e+0, 3.753e-3
5.300e+0, 3.756e-3
5.400e+0, 3.758e-3
5.500e+0, 3.758e-3
5.600e+0, 3.762e-3
5.700e+0, 3.775e-3
5.800e+0, 3.805e-3
5.900e+0, 3.819e-3
6.000e+0, 3.833e-3
6.100e+0, 3.840e-3
6.200e+0, 3.832e-3
6.300e+0, 3.818e-3
6.400e+0, 3.820e-3
6.500e+0, 3.832e-3
6.600e+0, 3.840e-3
6.700e+0, 3.835e-3
6.800e+0, 3.823e-3
6.900e+0, 3.815e-3
7.000e+0, 3.808e-3
7.100e+0, 3.806e-3
7.200e+0, 3.805e-3
7.300e+0, 3.800e-3
7.400e+0, 3.797e-3
7.500e+0, 3.799e-3
7.600e+0, 3.796e-3
7.700e+0, 3.786e-3
7.800e+0, 3.774e-3
7.900e+0, 3.769e-3
8.000e+0, 3.777e-3
8.100e+0, 3.783e-3
8.200e+0, 3.786e-3
8.300e+0, 3.787e-3
8.400e+0, 3.785e-3
8.500e+0, 3.783e-3
8.600e+0, 3.783e-3
8.700e+0, 3.783e-3
8.800e+0, 3.778e-3
8.900e+0, 3.773e-3
9.000e+0, 3.768e-3
9.100e+0, 3.774e-3
9.200e+0, 3.782e-3
9.300e+0, 3.781e-3
9.400e+0, 3.778e-3
9.500e+0, 3.785e-3
9.600e+0, 3.800e-3
9.700e+0, 3.816e-3
9.800e+0, 3.821e-3
9.900e+0, 3.833e-3
1.000e+1, 3.830e-3
1.010e+1, 3.819e-3
1.020e+1, 3.812e-3
1.030e+1, 3.814e-3
1.040e+1, 3.809e-3
1.050e+1, 3.804e-3
1.060e+1, 3.810e-3
1.070e+1, 3.807e-3
1.080e+1, 3.807e-3
1.090e+1, 3.818e-3
1.100e+1, 3.835e-3
1.110e+1, 3.845e-3
1.120e+1, 3.858e-3
1.130e+1, 3.878e-3
1.140e+1, 3.894e-3
1.150e+1, 3.896e-3
1.160e+1, 3.892e-3
1.170e+1, 3.885e-3
1.180e+1, 3.879e-3
1.190e+1, 3.877e-3
1.200e+1, 3.877e-3
1.210e+1, 3.885e-3
1.220e+1, 3.892e-3
1.230e+1, 3.903e-3
