Potential V vs RHE, Current mA cm-2
0.013299999999999867,-0.2426229879268538
0.012299999999999978,-0.34151130778741984
0.011299999999999866,-0.3747570233342482
0.010299999999999976,-0.39640210622218325
0.009299999999999864,-0.3930067991025072
0.008299999999999974,-0.37291789864442365
0.007299999999999862,-0.3740496676843157
0.006299999999999972,-0.4022024225516299
0.00529999999999986,-0.4187545447600509
0.0042999999999999705,-0.4112565748707662
0.0032999999999998586,-0.39229944345257467
0.0022999999999999687,-0.39060178989273664
0.0012999999999998568,-0.4149348242504153
0.00029999999999996696,-0.4338919556686068
-0.000700000000000145,-0.423564563179592
-0.0017000000000000348,-0.40503184515136
-0.0027000000000001467,-0.3990900576919268
-0.0037000000000000366,-0.423281620919619
-0.0047000000000001485,-0.44393640589764854
-0.005700000000000038,-0.43261871549872827
-0.00670000000000015,-0.4112565748707662
-0.00770000000000004,-0.41054921922083365
-0.008700000000000152,-0.43049664854893066
-0.009700000000000042,-0.45341497160674427
-0.010700000000000154,-0.44096551216793195
-0.011700000000000044,-0.41847160250007787
-0.012700000000000156,-0.41847160250007787
-0.013700000000000045,-0.43728726278828284
-0.014700000000000157,-0.4585079322862584
-0.015700000000000047,-0.44605847284744604
-0.01670000000000016,-0.42087661170984847
-0.01770000000000005,-0.4254036878694165
-0.01870000000000016,-0.44181433894785094
-0.01970000000000005,-0.46289353731584
-0.020700000000000163,-0.45242467369683875
-0.021700000000000053,-0.42879899498909263
-0.022700000000000164,-0.42625251464933556
-0.023700000000000054,-0.4505855490070142
-0.024700000000000166,-0.4655814887855836
-0.025700000000000056,-0.4593567590661774
-0.026700000000000168,-0.4327601866287147
-0.027700000000000058,-0.43261871549872827
-0.02870000000000017,-0.4558199808165148
-0.02970000000000006,-0.47053297833511115
-0.03070000000000017,-0.46105441262601543
-0.03170000000000006,-0.43884344521813434
-0.03270000000000017,-0.43615549374839085
-0.03370000000000006,-0.46077147036604243
-0.034700000000000175,-0.47675770805451734
-0.035700000000000065,-0.46331795070579956
-0.03670000000000018,-0.44605847284744604
-0.03770000000000007,-0.44238022346779693
-0.03870000000000018,-0.46388383522574556
-0.03970000000000007,-0.4804359574341665
-0.04070000000000018,-0.4686938536452867
-0.04170000000000007,-0.4507270201370007
-0.04270000000000018,-0.4447852326775675
-0.04370000000000007,-0.4664303155655025
-0.044700000000000184,-0.4866606871535727
-0.045700000000000074,-0.4703915072051247
