Jan. 12, 2025   16:59:22
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp825\exp825deposition-2025-01-12t16_55_06-deposition\exp825deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 86
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.2

Results:

Channel 1:

Time/sec, Current/A

1.970e+1, 4.265e-4
1.980e+1, 4.267e-4
1.990e+1, 4.274e-4
2.000e+1, 4.270e-4
2.010e+1, 4.269e-4
2.020e+1, 4.272e-4
2.030e+1, 4.288e-4
2.040e+1, 4.301e-4
2.050e+1, 4.313e-4
2.060e+1, 4.318e-4
2.070e+1, 4.319e-4
2.080e+1, 4.325e-4
2.090e+1, 4.321e-4
2.100e+1, 4.312e-4
2.110e+1, 4.319e-4
2.120e+1, 4.316e-4
2.130e+1, 4.316e-4
2.140e+1, 4.311e-4
2.150e+1, 4.297e-4
2.160e+1, 4.299e-4
2.170e+1, 4.309e-4
2.180e+1, 4.322e-4
2.190e+1, 4.336e-4
2.200e+1, 4.337e-4
2.210e+1, 4.341e-4
2.220e+1, 4.351e-4
2.230e+1, 4.364e-4
2.240e+1, 4.366e-4
2.250e+1, 4.372e-4
2.260e+1, 4.392e-4
2.270e+1, 4.411e-4
2.280e+1, 4.406e-4
2.290e+1, 4.392e-4
2.300e+1, 4.377e-4
2.310e+1, 4.351e-4
2.320e+1, 4.333e-4
2.330e+1, 4.325e-4
2.340e+1, 4.325e-4
2.350e+1, 4.326e-4
2.360e+1, 4.327e-4
2.370e+1, 4.325e-4
2.380e+1, 4.322e-4
2.390e+1, 4.318e-4
2.400e+1, 4.330e-4
2.410e+1, 4.333e-4
2.420e+1, 4.325e-4
2.430e+1, 4.320e-4
2.440e+1, 4.321e-4
2.450e+1, 4.320e-4
2.460e+1, 4.313e-4
2.470e+1, 4.318e-4
2.480e+1, 4.334e-4
2.490e+1, 4.345e-4
2.500e+1, 4.343e-4
2.510e+1, 4.343e-4
2.520e+1, 4.357e-4
2.530e+1, 4.361e-4
2.540e+1, 4.357e-4
2.550e+1, 4.360e-4
2.560e+1, 4.365e-4
2.570e+1, 4.368e-4
2.580e+1, 4.363e-4
2.590e+1, 4.379e-4
2.600e+1, 4.394e-4
2.610e+1, 4.400e-4
2.620e+1, 4.402e-4
2.630e+1, 4.416e-4
2.640e+1, 4.441e-4
2.650e+1, 4.452e-4
2.660e+1, 4.455e-4
2.670e+1, 4.449e-4
2.680e+1, 4.438e-4
2.690e+1, 4.418e-4
2.700e+1, 4.405e-4
2.710e+1, 4.397e-4
2.720e+1, 4.394e-4
2.730e+1, 4.395e-4
2.740e+1, 4.391e-4
2.750e+1, 4.401e-4
2.760e+1, 4.418e-4
2.770e+1, 4.415e-4
2.780e+1, 4.415e-4
2.790e+1, 4.417e-4
2.800e+1, 4.430e-4
2.810e+1, 4.444e-4
2.820e+1, 4.460e-4
2.830e+1, 4.442e-4
2.840e+1, 4.421e-4
2.850e+1, 4.417e-4
2.860e+1, 4.422e-4
2.870e+1, 4.424e-4
2.880e+1, 4.417e-4
2.890e+1, 4.412e-4
2.900e+1, 4.411e-4
2.910e+1, 4.437e-4
2.920e+1, 4.453e-4
2.930e+1, 4.463e-4
2.940e+1, 4.472e-4
2.950e+1, 4.474e-4
2.960e+1, 4.480e-4
2.970e+1, 4.484e-4
2.980e+1, 4.465e-4
2.990e+1, 4.451e-4
3.000e+1, 4.456e-4
3.010e+1, 4.460e-4
3.020e+1, 4.470e-4
3.030e+1, 4.483e-4
3.040e+1, 4.488e-4
3.050e+1, 4.487e-4
3.060e+1, 4.501e-4
3.070e+1, 4.518e-4
3.080e+1, 4.539e-4
3.090e+1, 4.557e-4
3.100e+1, 4.572e-4
3.110e+1, 4.586e-4
3.120e+1, 4.590e-4
3.130e+1, 4.587e-4
3.140e+1, 4.581e-4
3.150e+1, 4.581e-4
3.160e+1, 4.575e-4
3.170e+1, 4.560e-4
3.180e+1, 4.562e-4
3.190e+1, 4.564e-4
3.200e+1, 4.561e-4
3.210e+1, 4.555e-4
3.220e+1, 4.547e-4
3.230e+1, 4.541e-4
3.240e+1, 4.530e-4
3.250e+1, 4.521e-4
3.260e+1, 4.515e-4
3.270e+1, 4.505e-4
