Mar. 12, 2025   04:16:02
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp891_r5/2025-03-03-exp883\exp883deposition-2025-03-12t04_12_40-deposition\exp883deposition_it_edep_-100mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 19.4

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 1.894e-4
2.000e-1, 1.859e-4
3.000e-1, 1.794e-4
4.000e-1, 1.742e-4
5.000e-1, 1.783e-4
6.000e-1, 1.823e-4
7.000e-1, 1.847e-4
8.000e-1, 1.855e-4
9.000e-1, 1.813e-4
1.000e+0, 1.746e-4
1.100e+0, 1.693e-4
1.200e+0, 1.650e-4
1.300e+0, 1.614e-4
1.400e+0, 1.586e-4
1.500e+0, 1.564e-4
1.600e+0, 1.575e-4
1.700e+0, 1.566e-4
1.800e+0, 1.559e-4
1.900e+0, 1.567e-4
2.000e+0, 1.578e-4
2.100e+0, 1.615e-4
2.200e+0, 1.646e-4
2.300e+0, 1.618e-4
2.400e+0, 1.613e-4
2.500e+0, 1.594e-4
2.600e+0, 1.606e-4
2.700e+0, 1.621e-4
2.800e+0, 1.623e-4
2.900e+0, 1.887e-4
3.000e+0, 1.998e-4
3.100e+0, 2.165e-4
3.200e+0, 2.470e-4
3.300e+0, 2.516e-4
3.400e+0, 2.685e-4
3.500e+0, 2.631e-4
3.600e+0, 2.450e-4
3.700e+0, 2.258e-4
3.800e+0, 2.112e-4
3.900e+0, 2.010e-4
4.000e+0, 1.941e-4
4.100e+0, 1.895e-4
4.200e+0, 1.849e-4
4.300e+0, 1.808e-4
4.400e+0, 1.768e-4
4.500e+0, 1.760e-4
4.600e+0, 1.761e-4
4.700e+0, 1.759e-4
4.800e+0, 1.766e-4
4.900e+0, 1.774e-4
5.000e+0, 1.792e-4
5.100e+0, 1.787e-4
5.200e+0, 1.798e-4
5.300e+0, 1.941e-4
5.400e+0, 1.919e-4
5.500e+0, 1.894e-4
5.600e+0, 1.868e-4
5.700e+0, 1.872e-4
5.800e+0, 2.228e-4
5.900e+0, 2.405e-4
6.000e+0, 2.388e-4
6.100e+0, 2.285e-4
6.200e+0, 2.185e-4
6.300e+0, 2.117e-4
6.400e+0, 2.050e-4
6.500e+0, 2.007e-4
6.600e+0, 2.044e-4
6.700e+0, 2.069e-4
6.800e+0, 2.079e-4
6.900e+0, 2.054e-4
7.000e+0, 2.062e-4
7.100e+0, 2.054e-4
7.200e+0, 2.036e-4
7.300e+0, 2.073e-4
7.400e+0, 2.184e-4
7.500e+0, 2.292e-4
7.600e+0, 2.259e-4
7.700e+0, 2.450e-4
7.800e+0, 2.553e-4
7.900e+0, 2.528e-4
8.000e+0, 2.462e-4
8.100e+0, 2.384e-4
8.200e+0, 2.337e-4
8.300e+0, 2.299e-4
8.400e+0, 2.466e-4
8.500e+0, 2.584e-4
8.600e+0, 2.520e-4
8.700e+0, 2.464e-4
8.800e+0, 2.427e-4
8.900e+0, 2.435e-4
9.000e+0, 2.480e-4
9.100e+0, 2.428e-4
9.200e+0, 2.412e-4
9.300e+0, 2.443e-4
9.400e+0, 2.471e-4
9.500e+0, 2.472e-4
9.600e+0, 2.466e-4
9.700e+0, 2.641e-4
9.800e+0, 2.837e-4
9.900e+0, 2.789e-4
1.000e+1, 2.768e-4
1.010e+1, 2.818e-4
1.020e+1, 2.809e-4
1.030e+1, 2.847e-4
1.040e+1, 2.873e-4
1.050e+1, 2.823e-4
1.060e+1, 2.764e-4
1.070e+1, 2.729e-4
1.080e+1, 2.726e-4
1.090e+1, 2.731e-4
1.100e+1, 2.719e-4
1.110e+1, 2.715e-4
1.120e+1, 2.728e-4
1.130e+1, 2.715e-4
1.140e+1, 2.711e-4
1.150e+1, 2.705e-4
1.160e+1, 2.696e-4
1.170e+1, 2.736e-4
1.180e+1, 2.773e-4
1.190e+1, 2.850e-4
1.200e+1, 2.871e-4
1.210e+1, 2.926e-4
1.220e+1, 2.919e-4
1.230e+1, 2.931e-4
1.240e+1, 2.927e-4
1.250e+1, 2.953e-4
1.260e+1, 2.960e-4
1.270e+1, 2.983e-4
1.280e+1, 3.002e-4
1.290e+1, 3.077e-4
1.300e+1, 3.112e-4
1.310e+1, 3.114e-4
1.320e+1, 3.144e-4
1.330e+1, 3.148e-4
1.340e+1, 3.134e-4
1.350e+1, 3.169e-4
1.360e+1, 3.175e-4
1.370e+1, 3.227e-4
1.380e+1, 3.196e-4
1.390e+1, 3.156e-4
1.400e+1, 3.135e-4
1.410e+1, 3.138e-4
1.420e+1, 3.126e-4
1.430e+1, 3.098e-4
1.440e+1, 3.270e-4
1.450e+1, 3.311e-4
1.460e+1, 3.319e-4
1.470e+1, 3.313e-4
1.480e+1, 3.303e-4
1.490e+1, 3.296e-4
1.500e+1, 3.300e-4
1.510e+1, 3.305e-4
1.520e+1, 3.337e-4
1.530e+1, 3.364e-4
1.540e+1, 3.366e-4
1.550e+1, 3.374e-4
1.560e+1, 3.374e-4
1.570e+1, 3.377e-4
1.580e+1, 3.397e-4
1.590e+1, 3.450e-4
1.600e+1, 3.422e-4
1.610e+1, 3.467e-4
1.620e+1, 3.504e-4
1.630e+1, 3.531e-4
1.640e+1, 3.536e-4
1.650e+1, 3.518e-4
1.660e+1, 3.504e-4
1.670e+1, 3.525e-4
1.680e+1, 3.570e-4
1.690e+1, 3.616e-4
1.700e+1, 3.646e-4
1.710e+1, 3.658e-4
1.720e+1, 3.681e-4
1.730e+1, 3.692e-4
1.740e+1, 3.696e-4
1.750e+1, 3.695e-4
1.760e+1, 3.684e-4
1.770e+1, 3.668e-4
1.780e+1, 3.615e-4
1.790e+1, 3.689e-4
1.800e+1, 3.788e-4
1.810e+1, 3.800e-4
1.820e+1, 3.922e-4
1.830e+1, 3.990e-4
1.840e+1, 4.034e-4
1.850e+1, 4.064e-4
1.860e+1, 4.260e-4
1.870e+1, 4.325e-4
1.880e+1, 4.313e-4
1.890e+1, 4.234e-4
1.900e+1, 4.144e-4
1.910e+1, 4.055e-4
1.920e+1, 4.014e-4
1.930e+1, 3.939e-4
1.940e+1, 3.854e-4
1.950e+1, 3.798e-4
1.960e+1, 3.762e-4
1.970e+1, 3.988e-4
1.980e+1, 4.246e-4
1.990e+1, 4.317e-4
2.000e+1, 4.406e-4
2.010e+1, 4.621e-4
2.020e+1, 4.556e-4
2.030e+1, 4.513e-4
2.040e+1, 4.421e-4
2.050e+1, 4.308e-4
2.060e+1, 4.221e-4
2.070e+1, 4.101e-4
2.080e+1, 4.010e-4
2.090e+1, 3.945e-4
2.100e+1, 3.888e-4
2.110e+1, 3.849e-4
2.120e+1, 3.803e-4
2.130e+1, 3.993e-4
2.140e+1, 4.034e-4
2.150e+1, 4.021e-4
2.160e+1, 4.007e-4
2.170e+1, 3.975e-4
2.180e+1, 3.938e-4
2.190e+1, 3.907e-4
2.200e+1, 3.897e-4
2.210e+1, 3.934e-4
2.220e+1, 3.965e-4
2.230e+1, 3.998e-4
2.240e+1, 4.074e-4
2.250e+1, 4.131e-4
2.260e+1, 4.128e-4
2.270e+1, 4.150e-4
2.280e+1, 4.196e-4
2.290e+1, 4.137e-4
2.300e+1, 4.100e-4
2.310e+1, 4.041e-4
2.320e+1, 4.049e-4
2.330e+1, 4.019e-4
2.340e+1, 4.001e-4
2.350e+1, 3.993e-4
2.360e+1, 3.965e-4
2.370e+1, 3.905e-4
2.380e+1, 3.866e-4
2.390e+1, 4.026e-4
2.400e+1, 4.037e-4
2.410e+1, 4.038e-4
2.420e+1, 4.002e-4
2.430e+1, 3.947e-4
2.440e+1, 3.903e-4
2.450e+1, 3.912e-4
2.460e+1, 3.918e-4
2.470e+1, 3.923e-4
2.480e+1, 3.932e-4
2.490e+1, 3.972e-4
2.500e+1, 4.002e-4
2.510e+1, 4.064e-4
2.520e+1, 4.095e-4
2.530e+1, 4.144e-4
2.540e+1, 4.259e-4
2.550e+1, 4.413e-4
2.560e+1, 4.407e-4
2.570e+1, 4.335e-4
2.580e+1, 4.255e-4
2.590e+1, 4.194e-4
2.600e+1, 4.171e-4
2.610e+1, 4.171e-4
2.620e+1, 4.164e-4
2.630e+1, 4.133e-4
2.640e+1, 4.108e-4
2.650e+1, 4.098e-4
2.660e+1, 4.135e-4
2.670e+1, 4.168e-4
2.680e+1, 4.181e-4
2.690e+1, 4.206e-4
2.700e+1, 4.235e-4
2.710e+1, 4.252e-4
2.720e+1, 4.284e-4
2.730e+1, 4.279e-4
2.740e+1, 4.294e-4
2.750e+1, 4.335e-4
2.760e+1, 4.363e-4
2.770e+1, 4.366e-4
2.780e+1, 4.372e-4
2.790e+1, 4.361e-4
2.800e+1, 4.355e-4
2.810e+1, 4.351e-4
2.820e+1, 4.346e-4
2.830e+1, 4.320e-4
2.840e+1, 4.307e-4
2.850e+1, 4.316e-4
2.860e+1, 4.321e-4
2.870e+1, 4.302e-4
2.880e+1, 4.271e-4
2.890e+1, 4.282e-4
2.900e+1, 4.318e-4
2.910e+1, 4.355e-4
2.920e+1, 4.388e-4
2.930e+1, 4.398e-4
2.940e+1, 4.397e-4
2.950e+1, 4.387e-4
2.960e+1, 4.357e-4
2.970e+1, 4.334e-4
2.980e+1, 4.335e-4
2.990e+1, 4.340e-4
3.000e+1, 4.354e-4
