Potential V vs RHE, Current mA cm-2
0.013299999999999867,-0.09669551734577525
0.012299999999999978,-0.13871244295176685
0.011299999999999866,-0.1513741090855589
0.010299999999999976,-0.15717442541500556
0.009299999999999864,-0.1574573676749786
0.008299999999999974,-0.15476941620523502
0.007299999999999862,-0.1625503283544927
0.006299999999999972,-0.16622857773414182
0.00529999999999986,-0.15943796349478964
0.0042999999999999705,-0.16721887564404736
0.0032999999999998586,-0.17146300954364244
0.0022999999999999687,-0.16424798191433077
0.0012999999999998568,-0.16820917355395287
0.00029999999999996696,-0.17033124050375043
-0.000700000000000145,-0.17118006728366944
-0.0017000000000000348,-0.16905800033387192
-0.0027000000000001467,-0.17457537440334553
-0.0037000000000000366,-0.17542420118326454
-0.0047000000000001485,-0.17429243214337253
-0.005700000000000038,-0.17174595180361546
-0.00670000000000015,-0.18009274847281917
-0.00770000000000004,-0.17259477858353447
-0.008700000000000152,-0.1728777208435075
-0.009700000000000042,-0.18362952672248176
-0.010700000000000154,-0.18150745977268423
-0.011700000000000044,-0.17627302796318356
-0.012700000000000156,-0.18320511333252223
-0.013700000000000045,-0.18391246898245475
-0.014700000000000157,-0.17896097943292713
-0.015700000000000047,-0.1806586329927652
-0.01670000000000016,-0.1858930648022658
-0.01770000000000005,-0.18292217107254924
-0.01870000000000016,-0.18348805559249526
-0.01970000000000005,-0.18674189158218485
-0.020700000000000163,-0.18631747819222533
-0.021700000000000053,-0.18136598864269768
-0.022700000000000164,-0.18815660288204988
-0.023700000000000054,-0.19126896774175295
-0.024700000000000166,-0.18306364220253574
-0.025700000000000056,-0.192400736781645
-0.026700000000000168,-0.19183485226169897
-0.027700000000000058,-0.1849027668923603
-0.02870000000000017,-0.19070308322180693
-0.02970000000000006,-0.19126896774175295
-0.03070000000000017,-0.19282515017160448
-0.03170000000000006,-0.18971278531190142
-0.03270000000000017,-0.19126896774175295
-0.03370000000000006,-0.19890840876102414
-0.034700000000000175,-0.18787366062207686
-0.035700000000000065,-0.19395691921149652
-0.03670000000000018,-0.19876693763103764
-0.03770000000000007,-0.18942984305192842
-0.03870000000000018,-0.193249563561564
