Dec. 26, 2024   16:09:44
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp136_r20/2024-12-24-exp749\exp749deposition-2024-12-26t16_03_57-deposition\exp749deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 180
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 10.4

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 2.142e-5
2.000e-1, 2.144e-5
3.000e-1, 2.155e-5
4.000e-1, 2.169e-5
5.000e-1, 2.175e-5
6.000e-1, 2.175e-5
7.000e-1, 2.180e-5
8.000e-1, 2.180e-5
9.000e-1, 2.178e-5
1.000e+0, 2.189e-5
1.100e+0, 2.216e-5
1.200e+0, 2.238e-5
1.300e+0, 2.269e-5
1.400e+0, 2.296e-5
1.500e+0, 2.321e-5
1.600e+0, 2.466e-5
1.700e+0, 2.479e-5
1.800e+0, 2.469e-5
1.900e+0, 2.468e-5
2.000e+0, 2.460e-5
2.100e+0, 2.452e-5
2.200e+0, 2.440e-5
2.300e+0, 2.435e-5
2.400e+0, 2.430e-5
2.500e+0, 2.432e-5
2.600e+0, 2.440e-5
2.700e+0, 2.444e-5
2.800e+0, 2.430e-5
2.900e+0, 2.413e-5
3.000e+0, 2.416e-5
3.100e+0, 2.436e-5
3.200e+0, 2.441e-5
3.300e+0, 2.448e-5
3.400e+0, 2.472e-5
3.500e+0, 2.484e-5
3.600e+0, 2.493e-5
3.700e+0, 2.507e-5
3.800e+0, 2.528e-5
3.900e+0, 2.542e-5
4.000e+0, 2.561e-5
4.100e+0, 2.576e-5
4.200e+0, 2.584e-5
4.300e+0, 2.598e-5
4.400e+0, 2.602e-5
4.500e+0, 2.627e-5
4.600e+0, 2.655e-5
4.700e+0, 2.675e-5
4.800e+0, 2.708e-5
4.900e+0, 2.730e-5
5.000e+0, 2.743e-5
5.100e+0, 2.738e-5
5.200e+0, 2.756e-5
5.300e+0, 2.962e-5
5.400e+0, 2.991e-5
5.500e+0, 2.994e-5
5.600e+0, 3.012e-5
5.700e+0, 2.995e-5
5.800e+0, 2.992e-5
5.900e+0, 2.992e-5
6.000e+0, 3.023e-5
6.100e+0, 3.045e-5
6.200e+0, 3.053e-5
6.300e+0, 3.066e-5
6.400e+0, 3.086e-5
6.500e+0, 3.092e-5
6.600e+0, 3.111e-5
6.700e+0, 3.128e-5
6.800e+0, 3.143e-5
6.900e+0, 3.162e-5
7.000e+0, 3.180e-5
7.100e+0, 3.215e-5
7.200e+0, 3.232e-5
7.300e+0, 3.233e-5
7.400e+0, 3.239e-5
7.500e+0, 3.244e-5
7.600e+0, 3.258e-5
7.700e+0, 3.274e-5
7.800e+0, 3.287e-5
7.900e+0, 3.317e-5
8.000e+0, 3.363e-5
8.100e+0, 3.390e-5
8.200e+0, 3.407e-5
8.300e+0, 3.418e-5
8.400e+0, 3.432e-5
8.500e+0, 3.446e-5
8.600e+0, 3.460e-5
8.700e+0, 3.458e-5
8.800e+0, 3.467e-5
8.900e+0, 3.477e-5
9.000e+0, 3.495e-5
9.100e+0, 3.517e-5
9.200e+0, 3.513e-5
9.300e+0, 3.528e-5
9.400e+0, 3.533e-5
9.500e+0, 3.534e-5
9.600e+0, 3.517e-5
9.700e+0, 3.527e-5
9.800e+0, 3.533e-5
9.900e+0, 3.541e-5
1.000e+1, 3.575e-5
1.010e+1, 3.582e-5
1.020e+1, 3.600e-5
1.030e+1, 3.627e-5
1.040e+1, 3.656e-5
1.050e+1, 3.686e-5
1.060e+1, 3.701e-5
1.070e+1, 3.701e-5
1.080e+1, 3.704e-5
1.090e+1, 3.702e-5
1.100e+1, 3.705e-5
1.110e+1, 3.705e-5
1.120e+1, 3.730e-5
1.130e+1, 3.732e-5
1.140e+1, 3.744e-5
1.150e+1, 3.774e-5
1.160e+1, 3.802e-5
1.170e+1, 3.846e-5
1.180e+1, 3.912e-5
1.190e+1, 3.943e-5
1.200e+1, 4.025e-5
1.210e+1, 4.003e-5
1.220e+1, 4.035e-5
1.230e+1, 4.044e-5
1.240e+1, 4.077e-5
1.250e+1, 4.057e-5
1.260e+1, 4.054e-5
1.270e+1, 4.075e-5
1.280e+1, 4.089e-5
1.290e+1, 4.125e-5
1.300e+1, 4.141e-5
1.310e+1, 4.156e-5
1.320e+1, 4.178e-5
1.330e+1, 4.200e-5
1.340e+1, 4.221e-5
1.350e+1, 4.243e-5
1.360e+1, 4.265e-5
1.370e+1, 4.265e-5
1.380e+1, 4.281e-5
1.390e+1, 4.290e-5
1.400e+1, 4.304e-5
1.410e+1, 4.326e-5
1.420e+1, 4.334e-5
1.430e+1, 4.353e-5
1.440e+1, 4.374e-5
1.450e+1, 4.382e-5
1.460e+1, 4.386e-5
1.470e+1, 4.408e-5
1.480e+1, 4.440e-5
1.490e+1, 4.461e-5
1.500e+1, 4.494e-5
1.510e+1, 4.497e-5
1.520e+1, 4.501e-5
1.530e+1, 4.516e-5
1.540e+1, 4.534e-5
1.550e+1, 4.544e-5
1.560e+1, 4.546e-5
1.570e+1, 4.570e-5
1.580e+1, 4.594e-5
1.590e+1, 4.632e-5
1.600e+1, 4.652e-5
1.610e+1, 4.670e-5
1.620e+1, 4.669e-5
1.630e+1, 4.686e-5
1.640e+1, 4.708e-5
1.650e+1, 4.706e-5
1.660e+1, 4.716e-5
1.670e+1, 4.720e-5
1.680e+1, 4.733e-5
1.690e+1, 4.758e-5
1.700e+1, 4.777e-5
1.710e+1, 4.799e-5
1.720e+1, 4.811e-5
1.730e+1, 4.828e-5
1.740e+1, 4.844e-5
1.750e+1, 4.876e-5
1.760e+1, 4.916e-5
1.770e+1, 4.940e-5
1.780e+1, 4.951e-5
1.790e+1, 4.976e-5
1.800e+1, 4.992e-5
1.810e+1, 5.028e-5
1.820e+1, 5.040e-5
1.830e+1, 5.051e-5
1.840e+1, 5.056e-5
1.850e+1, 5.072e-5
1.860e+1, 5.094e-5
1.870e+1, 5.110e-5
1.880e+1, 5.133e-5
1.890e+1, 5.143e-5
1.900e+1, 5.166e-5
1.910e+1, 5.140e-5
1.920e+1, 5.144e-5
1.930e+1, 5.157e-5
1.940e+1, 5.166e-5
1.950e+1, 5.188e-5
1.960e+1, 5.213e-5
1.970e+1, 5.229e-5
1.980e+1, 5.255e-5
1.990e+1, 5.275e-5
2.000e+1, 5.306e-5
2.010e+1, 5.340e-5
2.020e+1, 5.359e-5
2.030e+1, 5.407e-5
2.040e+1, 5.470e-5
2.050e+1, 5.512e-5
2.060e+1, 5.538e-5
2.070e+1, 5.558e-5
2.080e+1, 5.583e-5
2.090e+1, 5.583e-5
2.100e+1, 5.593e-5
2.110e+1, 5.631e-5
2.120e+1, 5.651e-5
2.130e+1, 5.681e-5
2.140e+1, 5.691e-5
2.150e+1, 5.714e-5
2.160e+1, 5.748e-5
2.170e+1, 5.768e-5
2.180e+1, 5.779e-5
2.190e+1, 5.786e-5
2.200e+1, 5.791e-5
2.210e+1, 5.798e-5
2.220e+1, 5.812e-5
2.230e+1, 5.825e-5
2.240e+1, 5.832e-5
2.250e+1, 5.853e-5
2.260e+1, 5.863e-5
