Apr. 5, 2025   20:42:08
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp994_r5/2025-03-28-exp993\exp993deposition-2025-04-05t20_38_46-deposition\exp993deposition_it_edep_-100mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.0

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.500e-4
2.000e-1, 3.545e-4
3.000e-1, 3.538e-4
4.000e-1, 3.550e-4
5.000e-1, 3.694e-4
6.000e-1, 3.714e-4
7.000e-1, 3.648e-4
8.000e-1, 3.619e-4
9.000e-1, 3.622e-4
1.000e+0, 3.651e-4
1.100e+0, 3.674e-4
1.200e+0, 3.668e-4
1.300e+0, 3.659e-4
1.400e+0, 3.664e-4
1.500e+0, 3.631e-4
1.600e+0, 3.611e-4
1.700e+0, 3.906e-4
1.800e+0, 3.834e-4
1.900e+0, 3.664e-4
2.000e+0, 3.567e-4
2.100e+0, 3.666e-4
2.200e+0, 3.839e-4
2.300e+0, 3.723e-4
2.400e+0, 3.577e-4
2.500e+0, 3.487e-4
2.600e+0, 3.411e-4
2.700e+0, 3.324e-4
2.800e+0, 3.298e-4
2.900e+0, 3.317e-4
3.000e+0, 3.333e-4
3.100e+0, 3.305e-4
3.200e+0, 3.273e-4
3.300e+0, 3.233e-4
3.400e+0, 3.187e-4
3.500e+0, 3.186e-4
3.600e+0, 3.166e-4
3.700e+0, 3.176e-4
3.800e+0, 3.159e-4
3.900e+0, 3.159e-4
4.000e+0, 3.116e-4
4.100e+0, 3.095e-4
4.200e+0, 3.097e-4
4.300e+0, 3.103e-4
4.400e+0, 3.110e-4
4.500e+0, 3.114e-4
4.600e+0, 3.107e-4
4.700e+0, 3.107e-4
4.800e+0, 3.048e-4
4.900e+0, 3.021e-4
5.000e+0, 3.028e-4
5.100e+0, 3.056e-4
5.200e+0, 3.079e-4
5.300e+0, 3.070e-4
5.400e+0, 3.092e-4
5.500e+0, 3.123e-4
5.600e+0, 3.100e-4
5.700e+0, 3.064e-4
5.800e+0, 3.023e-4
5.900e+0, 3.001e-4
