Potential V vs RHE, Current mA cm-2
0.013299999999999867,-0.05346194002189974
0.012299999999999978,-0.07009894490831257
0.011299999999999866,-0.07497969889284695
0.010299999999999976,-0.07776668015358107
0.009299999999999864,-0.08062439697930844
0.008299999999999974,-0.08235034476514379
0.007299999999999862,-0.08571735765882257
0.006299999999999972,-0.08733012854066871
0.00529999999999986,-0.08847604469355938
0.0042999999999999705,-0.08963610795944872
0.0032999999999998586,-0.0909517894683232
0.0022999999999999687,-0.09303141507912481
0.0012999999999998568,-0.0944036850399939
0.00029999999999996696,-0.09576180788786433
-0.000700000000000145,-0.09637013374680631
-0.0017000000000000348,-0.09755849123869292
-0.0027000000000001467,-0.10016156003044459
-0.0037000000000000366,-0.1006142676464014
-0.0047000000000001485,-0.10259486346621245
-0.005700000000000038,-0.1022694798672435
-0.00670000000000015,-0.10351442581112473
-0.00770000000000004,-0.10651361376683861
-0.008700000000000152,-0.10628725995886021
-0.009700000000000042,-0.10856494515164292
-0.010700000000000154,-0.10901765276759973
-0.011700000000000044,-0.1097674497565282
-0.012700000000000156,-0.11266760792125154
-0.013700000000000045,-0.11300713863321914
-0.014700000000000157,-0.11461990951506526
-0.015700000000000047,-0.11536970650399375
-0.01670000000000016,-0.11558191319897348
-0.01770000000000005,-0.11920357412662799
-0.01870000000000016,-0.11978360575957266
-0.01970000000000005,-0.1213963766414188
-0.020700000000000163,-0.12207543806535401
-0.021700000000000053,-0.12271205815029328
-0.022700000000000164,-0.1262771306259532
-0.023700000000000054,-0.12702692761488163
-0.024700000000000166,-0.12854066870573724
-0.025700000000000056,-0.13004026268359417
-0.026700000000000168,-0.13037979339556177
-0.027700000000000058,-0.13329409867328376
-0.02870000000000017,-0.13534543005808805
-0.02970000000000006,-0.1365337875499747
-0.03070000000000017,-0.1386417073867736
-0.03170000000000006,-0.1392641803587142
-0.03270000000000017,-0.1420370145064497
-0.03370000000000006,-0.14444202371622025
-0.034700000000000175,-0.14599820614607179
-0.035700000000000065,-0.14727144631595032
-0.03670000000000018,-0.14953498439573437
-0.03770000000000007,-0.15236440699546444
-0.03870000000000018,-0.15349617603535648
-0.03970000000000007,-0.15632559863508652
-0.04070000000000018,-0.15774030993495158
-0.04170000000000007,-0.15957943462477614
-0.04270000000000018,-0.16325768400442522
-0.04370000000000007,-0.16424798191433077
-0.044700000000000184,-0.16764328903400685
-0.045700000000000074,-0.16863358694391237
-0.046700000000000186,-0.17132153841365594
-0.047700000000000076,-0.17429243214337253
-0.04870000000000019,-0.1768389124831296
-0.04970000000000008,-0.17952686395287318
-0.05070000000000019,-0.18108304638272468
-0.05170000000000008,-0.18348805559249526
-0.05270000000000019,-0.18730777610213087
-0.05370000000000008,-0.18928837192194192
-0.05470000000000019,-0.19169338113171247
-0.05570000000000008,-0.19438133260145604
-0.056700000000000195,-0.1966448706812401
-0.057700000000000085,-0.20032312006088918
-0.058700000000000196,-0.20244518701068673
-0.059700000000000086,-0.20527460961041682
-0.0607000000000002,-0.20838697447011992
-0.06170000000000009,-0.21079198367989047
-0.0627000000000002,-0.21404581966958006
-0.06370000000000009,-0.21687524226931013
-0.0647000000000002,-0.2202705493889862
-0.06570000000000009,-0.22225114520879727
-0.0667000000000002,-0.2250805678085273
-0.0677000000000001,-0.2284758749282034
-0.0687000000000002,-0.23201265317786599
-0.0697000000000001,-0.23512501803756908
-0.07070000000000021,-0.23753002724733965
-0.0717000000000001,-0.24092533436701574
-0.07270000000000021,-0.2443206414866918
-0.0737000000000001,-0.24799889086634092
-0.07470000000000021,-0.2512527268560305
-0.0757000000000001,-0.2537992071957876
-0.07670000000000021,-0.2577603988354097
-0.0777000000000001,-0.26129717708507233
-0.07870000000000021,-0.2656827821146539
-0.0797000000000001,-0.2689366181043435
-0.08070000000000022,-0.2728978097439656
-0.0817000000000001,-0.2765760591236147
-0.08270000000000022,-0.2805372507632368
-0.08370000000000011,-0.28478138466283187
-0.08470000000000022,-0.28930846082239997
-0.08570000000000011,-0.2927037679420761
-0.08670000000000022,-0.2972308441016442
-0.08770000000000011,-0.3018993913911988
-0.08870000000000022,-0.3076997077206455
-0.08970000000000011,-0.31151942823028106
-0.09070000000000022,-0.3156220909998897
-0.09170000000000011,-0.32014916715945774
-0.09270000000000023,-0.326373896878864
-0.09370000000000012,-0.3320327420783241
-0.09470000000000023,-0.33655981823789227
-0.09570000000000012,-0.34108689439746037
-0.09670000000000023,-0.347453095246853
-0.09770000000000012,-0.3533948827062862
-0.09870000000000023,-0.35933667016571935
-0.09970000000000012,-0.36541992875513896
-0.10070000000000023,-0.37164465847454514
-0.10170000000000012,-0.37716203254401875
-0.10270000000000024,-0.38508441582326297
-0.10370000000000013,-0.39215797232258814
-0.10470000000000024,-0.3986656443019673
-0.10570000000000013,-0.4054562585413195
-0.10670000000000024,-0.4122468727806717
-0.10770000000000013,-0.42073514057986194
-0.10870000000000024,-0.42894046611907916
-0.10970000000000013,-0.43615549374839085
-0.11070000000000024,-0.4442193481576215
-0.11170000000000013,-0.45185878917689276
-0.11270000000000002,-0.46091294149602896
-0.11370000000000013,-0.47095739172507073
-0.11470000000000002,-0.4784553616143554
-0.11570000000000014,-0.4868021582835591
-0.11670000000000003,-0.4969880796425873
-0.11770000000000014,-0.5049104629218315
-0.11870000000000003,-0.5158037399307923
-0.11970000000000014,-0.5247164211199421
-0.12070000000000003,-0.5330632177891458
-0.12170000000000014,-0.5438150236681201
-0.12270000000000003,-0.5527277048572699
-0.12370000000000014,-0.5630550973462846
-0.12470000000000003,-0.5726751341853669
-0.12570000000000014,-0.5807389885945976
-0.12670000000000003,-0.5906419676936527
-0.12770000000000015,-0.5995546488828025
-0.12870000000000004,-0.6091746857218847
-0.12970000000000015,-0.6178044246510616
-0.13070000000000004,-0.6243120966304406
-0.13170000000000015,-0.6329418355596174
-0.13270000000000004,-0.6419959878787537
-0.13370000000000015,-0.6487866021181058
-0.13470000000000004,-0.6562845720073905
-0.13570000000000015,-0.6618019460768642
-0.13670000000000004,-0.6691584448361624
-0.13770000000000016,-0.675524645685555
-0.13870000000000005,-0.6813249620150017
-0.13970000000000016,-0.6871252783444484
-0.14070000000000005,-0.6922182390239625
-0.14170000000000016,-0.6973111997034765
-0.14270000000000005,-0.7039603428128423
-0.14370000000000016,-0.7083459478424239
-0.14470000000000005,-0.7130144951319785
