Jan. 14, 2025   10:18:26
Open Circuit Potential - Time
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp842\exp842-2025-01-14t10_17_38-arkoh\ocp_2025-01-14t10_18_08.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

2.010e+0, -1.005e+0
2.020e+0, -1.005e+0
2.030e+0, -1.005e+0
2.040e+0, -1.005e+0
2.050e+0, -1.005e+0
2.060e+0, -1.006e+0
2.070e+0, -1.005e+0
2.080e+0, -1.005e+0
2.090e+0, -1.005e+0
2.100e+0, -1.005e+0
2.110e+0, -1.005e+0
2.120e+0, -1.005e+0
2.130e+0, -1.006e+0
2.140e+0, -1.006e+0
2.150e+0, -1.005e+0
2.160e+0, -1.005e+0
2.170e+0, -1.005e+0
2.180e+0, -1.005e+0
2.190e+0, -1.005e+0
2.200e+0, -1.005e+0
2.210e+0, -1.006e+0
2.220e+0, -1.005e+0
2.230e+0, -1.005e+0
2.240e+0, -1.005e+0
2.250e+0, -1.005e+0
2.260e+0, -1.005e+0
2.270e+0, -1.005e+0
2.280e+0, -1.006e+0
2.290e+0, -1.006e+0
2.300e+0, -1.005e+0
2.310e+0, -1.005e+0
2.320e+0, -1.005e+0
2.330e+0, -1.005e+0
2.340e+0, -1.005e+0
2.350e+0, -1.005e+0
2.360e+0, -1.006e+0
2.370e+0, -1.005e+0
2.380e+0, -1.005e+0
2.390e+0, -1.005e+0
2.400e+0, -1.005e+0
2.410e+0, -1.005e+0
2.420e+0, -1.005e+0
2.430e+0, -1.006e+0
2.440e+0, -1.006e+0
2.450e+0, -1.005e+0
2.460e+0, -1.005e+0
2.470e+0, -1.005e+0
2.480e+0, -1.005e+0
2.490e+0, -1.005e+0
2.500e+0, -1.005e+0
2.510e+0, -1.006e+0
2.520e+0, -1.005e+0
2.530e+0, -1.005e+0
2.540e+0, -1.005e+0
2.550e+0, -1.005e+0
2.560e+0, -1.005e+0
2.570e+0, -1.005e+0
2.580e+0, -1.006e+0
2.590e+0, -1.006e+0
2.600e+0, -1.005e+0
2.610e+0, -1.005e+0
2.620e+0, -1.005e+0
2.630e+0, -1.005e+0
2.640e+0, -1.005e+0
2.650e+0, -1.005e+0
2.660e+0, -1.006e+0
2.670e+0, -1.005e+0
2.680e+0, -1.005e+0
2.690e+0, -1.005e+0
2.700e+0, -1.005e+0
2.710e+0, -1.005e+0
2.720e+0, -1.005e+0
2.730e+0, -1.006e+0
2.740e+0, -1.005e+0
2.750e+0, -1.005e+0
2.760e+0, -1.005e+0
2.770e+0, -1.005e+0
2.780e+0, -1.005e+0
2.790e+0, -1.005e+0
2.800e+0, -1.005e+0
2.810e+0, -1.006e+0
2.820e+0, -1.005e+0
2.830e+0, -1.005e+0
2.840e+0, -1.005e+0
2.850e+0, -1.005e+0
2.860e+0, -1.005e+0
2.870e+0, -1.005e+0
2.880e+0, -1.006e+0
2.890e+0, -1.006e+0
2.900e+0, -1.005e+0
2.910e+0, -1.005e+0
2.920e+0, -1.005e+0
2.930e+0, -1.005e+0
2.940e+0, -1.005e+0
2.950e+0, -1.005e+0
2.960e+0, -1.006e+0
2.970e+0, -1.005e+0
2.980e+0, -1.005e+0
2.990e+0, -1.005e+0
3.000e+0, -1.005e+0
3.010e+0, -1.005e+0
3.020e+0, -1.005e+0
3.030e+0, -1.006e+0
3.040e+0, -1.005e+0
3.050e+0, -1.005e+0
3.060e+0, -1.005e+0
3.070e+0, -1.005e+0
3.080e+0, -1.005e+0
3.090e+0, -1.005e+0
3.100e+0, -1.005e+0
3.110e+0, -1.006e+0
3.120e+0, -1.005e+0
3.130e+0, -1.005e+0
3.140e+0, -1.005e+0
3.150e+0, -1.005e+0
3.160e+0, -1.005e+0
3.170e+0, -1.005e+0
3.180e+0, -1.006e+0
3.190e+0, -1.006e+0
3.200e+0, -1.005e+0
3.210e+0, -1.005e+0
3.220e+0, -1.005e+0
3.230e+0, -1.005e+0
3.240e+0, -1.005e+0
3.250e+0, -1.005e+0
3.260e+0, -1.006e+0
3.270e+0, -1.005e+0
3.280e+0, -1.005e+0
3.290e+0, -1.005e+0
3.300e+0, -1.005e+0
3.310e+0, -1.005e+0
3.320e+0, -1.005e+0
3.330e+0, -1.006e+0
3.340e+0, -1.005e+0
3.350e+0, -1.005e+0
3.360e+0, -1.005e+0
3.370e+0, -1.005e+0
3.380e+0, -1.005e+0
3.390e+0, -1.005e+0
3.400e+0, -1.005e+0
3.410e+0, -1.006e+0
3.420e+0, -1.005e+0
3.430e+0, -1.005e+0
3.440e+0, -1.005e+0
3.450e+0, -1.005e+0
3.460e+0, -1.005e+0
3.470e+0, -1.005e+0
3.480e+0, -1.006e+0
3.490e+0, -1.005e+0
3.500e+0, -1.005e+0
3.510e+0, -1.005e+0
3.520e+0, -1.005e+0
3.530e+0, -1.005e+0
3.540e+0, -1.005e+0
3.550e+0, -1.005e+0
3.560e+0, -1.006e+0
3.570e+0, -1.005e+0
3.580e+0, -1.005e+0
3.590e+0, -1.005e+0
3.600e+0, -1.005e+0
3.610e+0, -1.005e+0
3.620e+0, -1.005e+0
3.630e+0, -1.006e+0
3.640e+0, -1.005e+0
3.650e+0, -1.005e+0
3.660e+0, -1.005e+0
3.670e+0, -1.005e+0
3.680e+0, -1.005e+0
3.690e+0, -1.005e+0
3.700e+0, -1.005e+0
3.710e+0, -1.006e+0
3.720e+0, -1.005e+0
3.730e+0, -1.005e+0
3.740e+0, -1.005e+0
3.750e+0, -1.005e+0
3.760e+0, -1.005e+0
3.770e+0, -1.005e+0
3.780e+0, -1.006e+0
